row_id	n	m	M	d_chain	D_seq	d_s	n1	m1	g_Gamma	triple(n,m,D2)/d_s	Ms_eq_n_2	ell	u_s	child_Mlast_class
R026	180	120	[-120, 132, 150, 178]	[180, 60, 12, 6, 2]	['120', '108', '522', '1016']	6	3	2	1	(30, 20, 18)	True	3	1	n-2-ell
R027	180	120	[-120, 132, 150, 178]	[180, 60, 12, 6, 2]	['120', '108', '522', '1016']	6	3	2	1	(30, 20, 18)	True	3	1	n-2-ell
R028	180	120	[-120, 132, 150, 178]	[180, 60, 12, 6, 2]	['120', '108', '522', '1016']	6	3	2	1	(30, 20, 18)	True	3	1	n-2-ell
R029	168	112	[-112, 144, 166]	[168, 56, 8, 2]	['112', '80', '538']	8	3	2	1	(21, 14, 10)	True	1	3	other
R030	180	144	[-144, 150, 178]	[180, 36, 6, 2]	['144', '426', '2528']	6	5	4	6	(30, 24, 71)	True	3	1	n-2-ell
R031	132	88	[-88, 120, 130]	[132, 44, 4, 2]	['88', '56', '606']	4	3	2	1	(33, 22, 14)	True	1	1	n-2-ell
R032	196	112	[-112, 176, 194]	[196, 28, 4, 2]	['112', '496', '3454']	4	7	4	9	(49, 28, 124)	True	1	1	other
R033	196	112	[-112, 176, 194]	[196, 28, 4, 2]	['112', '496', '3454']	4	7	4	9	(49, 28, 124)	True	1	1	other
R034	128	96	[-96, 112, 116, 126]	[128, 32, 16, 4, 2]	['96', '176', '348', '1382']	4	4	3	3	(32, 24, 44)	True	1	1	n-2-ell
R035	144	108	[-108, 117, 142]	[144, 36, 9, 1]	['108', '207', '803']	9	4	3	3	(16, 12, 23)	True	4	2	n-2-ell
R036	175	100	[-100, 155, 173]	[175, 25, 5, 1]	['100', '445', '2207']	5	7	4	9	(35, 20, 89)	True	2	1	n-2-ell
R037	175	125	[-125, 155, 173]	[175, 25, 5, 1]	['125', '595', '2957']	5	7	5	12	(35, 25, 119)	True	2	1	n-2-ell
R038	135	90	[-90, 105, 133]	[135, 45, 15, 1]	['90', '75', '197']	15	3	2	1	(9, 6, 5)	True	6	4	n-2-ell
R039	144	96	[-96, 32, 132, 142]	[144, 48, 16, 4, 2]	['96', '160', '380', '1510']	4	3	2	1	(36, 24, 40)	True	1	1	n-2-ell
R040	144	96	[-96, 32, 132, 142]	[144, 48, 16, 4, 2]	['96', '160', '380', '1510']	4	3	2	1	(36, 24, 40)	True	1	1	n-2-ell
R041	144	96	[-96, 112, 132, 142]	[144, 48, 16, 4, 2]	['96', '80', '220', '870']	4	3	2	1	(36, 24, 20)	True	1	1	n-2-ell
R042	144	96	[-96, 112, 132, 142]	[144, 48, 16, 4, 2]	['96', '80', '220', '870']	4	3	2	1	(36, 24, 20)	True	1	1	n-2-ell
R043	168	112	[-112, 126, 166]	[168, 56, 14, 2]	['112', '98', '352']	14	3	2	1	(12, 8, 7)	True	7	3	n-2-ell
R044	147	42	[-42, 133, 145]	[147, 21, 7, 1]	['42', '119', '345']	7	7	2	3	(21, 6, 17)	True	2	2	n-2-ell
R045	147	63	[-63, 133, 145]	[147, 21, 7, 1]	['63', '245', '723']	7	7	3	6	(21, 9, 35)	True	2	2	n-2-ell
R046	160	112	[-112, 148, 158]	[160, 16, 4, 2]	['112', '860', '3430']	4	10	7	27	(40, 28, 215)	True	1	1	n-2-ell
R047	200	150	[-150, 75, 180, 198]	[200, 50, 25, 5, 1]	['150', '375', '645', '3207']	5	4	3	3	(40, 30, 75)	True	2	1	n-2-ell
R048	200	150	[-150, 75, 180, 198]	[200, 50, 25, 5, 1]	['150', '375', '645', '3207']	5	4	3	3	(40, 30, 75)	True	2	1	n-2-ell
R049	189	126	[-126, 162, 187]	[189, 63, 9, 1]	['126', '90', '605']	9	3	2	1	(21, 14, 10)	True	4	2	n-2-ell
R050	196	56	[-56, 184, 194]	[196, 28, 4, 2]	['56', '152', '1054']	4	7	2	3	(49, 14, 38)	True	1	1	n-2-ell
R051	180	144	[-144, 153, 178]	[180, 36, 9, 1]	['144', '423', '1667']	9	5	4	6	(20, 16, 47)	True	4	2	n-2-ell
R052	165	99	[-99, 143, 163]	[165, 33, 11, 1]	['99', '253', '739']	11	5	3	4	(15, 9, 23)	True	4	3	n-2-ell
R053	200	150	[-150, 170, 198]	[200, 50, 10, 2]	['150', '280', '1372']	10	4	3	3	(20, 15, 28)	True	3	3	other
R054	175	70	[-70, 161, 173]	[175, 35, 7, 1]	['70', '119', '583']	7	5	2	2	(25, 10, 17)	True	2	2	n-2-ell
R055	171	114	[-114, 133, 169]	[171, 57, 19, 1]	['114', '95', '249']	19	3	2	1	(9, 6, 5)	True	8	5	n-2-ell
R056	180	120	[-120, 140, 168, 178]	[180, 60, 20, 4, 2]	['120', '100', '272', '1350']	4	3	2	1	(45, 30, 25)	True	1	1	n-2-ell
R057	192	144	[-144, 156, 174, 190]	[192, 48, 12, 6, 2]	['144', '276', '1086', '2156']	6	4	3	3	(32, 24, 46)	True	3	1	other
R058	192	144	[-144, 156, 174, 190]	[192, 48, 12, 6, 2]	['144', '276', '1086', '2156']	6	4	3	3	(32, 24, 46)	True	3	1	other
R059	192	128	[-128, 160, 176, 180, 190]	[192, 64, 32, 16, 4, 2]	['128', '96', '176', '348', '1382']	4	3	2	1	(48, 32, 24)	True	1	1	n-2-ell
R060	192	128	[-128, 160, 180, 190]	[192, 64, 32, 4, 2]	['128', '96', '172', '1366']	4	3	2	1	(48, 32, 24)	True	1	1	n-2-ell
R061	200	120	[-120, 188, 198]	[200, 40, 4, 2]	['120', '292', '2910']	4	5	3	4	(50, 30, 73)	True	1	1	n-2-ell
R062	180	135	[-135, 150, 178]	[180, 45, 15, 1]	['135', '255', '737']	15	4	3	3	(12, 9, 17)	True	6	4	n-2-ell
R063	168	112	[-112, 140, 160, 166]	[168, 56, 28, 4, 2]	['112', '84', '148', '1030']	4	3	2	1	(42, 28, 21)	True	1	1	n-2
R064	180	120	[-120, 168, 172, 178]	[180, 60, 12, 4, 2]	['120', '72', '356', '1062']	4	3	2	1	(45, 30, 18)	True	1	1	n-2
R065	180	120	[-120, 168, 178]	[180, 60, 12, 2]	['120', '72', '350']	12	3	2	1	(15, 10, 6)	True	5	3	other
R066	162	108	[-108, 126, 153, 160]	[162, 54, 18, 9, 1]	['108', '90', '243', '479']	9	3	2	1	(18, 12, 10)	True	4	2	n-2
