t	branch	kind	r	weight	support	leader_monomial	leader_compact	leader_unit
2	split_b0	b	0	3	1	b4^3	(0*d-77)/80	True
2	split_b0	b	1	4	1	b4^4	(0*d+7)/40	True
2	split_b0	c	0	6	1	b4^6	(0*d+413)/128	True
2	split_b0	c	1	7	1	b4^7	(0*d-49)/128	True
2	split_b0	B	1	4	0	b4^4	(0*d+0)/1	False
2	split_b0	C	1	7	0	b4^7	(0*d+0)/1	False
2	split_b1	a	0	0	1	b4^0	(0*d-28)/625	True
2	split_b1	a	1	1	1	b4^1	(0*d-252)/3625	True
2	split_b1	b	0	3	1	b4^3	(0*d-34944)/3048625	True
2	split_b1	b	1	4	1	b4^4	(0*d+115776)/17682025	True
2	split_b1	c	0	6	1	b4^6	(0*d+675939222)/14870583025	True
2	split_b1	c	1	7	1	b4^7	(0*d-76780386)/2974116605	True
2	split_b1	B	1	4	1	b4^4	(0*d-12047616)/11051265625	True
2	split_b1	C	1	7	1	b4^7	(0*d+232682357376)/53905863465625	True
