index	X_power	W_power	leading_X	leading_W	normalization	diagonal	lower_entries	literal_coefficient_terms
77	6	17	5	18	-1/36	1	78	87
78	5	17	4	18	-1/36	1	73	82
79	4	17	3	18	-1/36	1	76	82
80	3	17	2	18	-1/36	1	70	73
81	2	17	1	18	-1/36	1	61	61
82	1	17	0	18	-1/36	1	50	50
83	7	18	6	19	-1/38	1	84	102
84	6	18	5	19	-1/38	1	85	97
85	5	18	4	19	-1/38	1	85	94
86	4	18	3	19	-1/38	1	82	88
87	3	18	2	19	-1/38	1	76	79
88	2	18	1	19	-1/38	1	67	67
89	1	18	0	19	-1/38	1	54	54
90	8	19	7	20	-1/40	1	91	109
91	7	19	6	20	-1/40	1	91	105
92	6	19	5	20	-1/40	1	92	110
93	5	19	4	20	-1/40	1	91	100
94	4	19	3	20	-1/40	1	84	90
95	3	19	2	20	-1/40	1	78	81
96	2	19	1	20	-1/40	1	71	71
97	1	19	0	20	-1/40	1	56	56
98	8	20	7	21	-1/42	1	99	119
99	7	20	6	21	-1/42	1	100	118
100	6	20	5	21	-1/42	1	94	112
101	5	20	4	21	-1/42	1	97	106
102	4	20	3	21	-1/42	1	94	100
103	3	20	2	21	-1/42	1	86	89
104	2	20	1	21	-1/42	1	73	73
105	1	20	0	21	-1/42	1	60	60
106	8	21	7	22	-1/44	1	107	134
107	7	21	6	22	-1/44	1	107	128
108	6	21	5	22	-1/44	1	108	126
109	5	21	4	22	-1/44	1	105	114
110	4	21	3	22	-1/44	1	100	106
111	3	21	2	22	-1/44	1	90	93
112	2	21	1	22	-1/44	1	79	79
113	1	21	0	22	-1/44	1	62	62
114	9	22	8	23	-1/46	1	115	142
115	8	22	7	23	-1/46	1	116	143
116	7	22	6	23	-1/46	1	116	143
117	6	22	5	23	-1/46	1	116	134
118	5	22	4	23	-1/46	1	113	122
119	4	22	3	23	-1/46	1	106	112
120	3	22	2	23	-1/46	1	96	99
121	2	22	1	23	-1/46	1	83	83
122	1	22	0	23	-1/46	1	66	66
123	9	23	8	24	-1/48	1	124	151
124	8	23	7	24	-1/48	1	124	150
125	7	23	6	24	-1/48	1	118	145
126	6	23	5	24	-1/48	1	124	142
127	5	23	4	24	-1/48	1	115	124
128	4	23	3	24	-1/48	1	112	118
129	3	23	2	24	-1/48	1	98	101
130	2	23	1	24	-1/48	1	85	85
131	1	23	0	24	-1/48	1	68	68
132	9	24	8	25	-1/50	1	132	164
133	8	24	7	25	-1/50	1	134	164
134	7	24	6	25	-1/50	1	134	161
135	6	24	5	25	-1/50	1	132	150
136	5	24	4	25	-1/50	1	127	136
137	4	24	3	25	-1/50	1	114	120
138	3	24	2	25	-1/50	1	106	109
139	2	24	1	25	-1/50	1	91	91
140	1	24	0	25	-1/50	1	72	72
141	10	25	9	26	-1/52	1	142	178
142	9	25	8	26	-1/52	1	143	178
143	8	25	7	26	-1/52	1	143	179
144	7	25	6	26	-1/52	1	142	169
145	6	25	5	26	-1/52	1	140	158
146	5	25	4	26	-1/52	1	133	142
147	4	25	3	26	-1/52	1	124	130
148	3	25	2	26	-1/52	1	110	113
149	2	25	1	26	-1/52	1	95	95
150	1	25	0	26	-1/52	1	74	74
151	9	26	8	27	-1/54	1	152	188
152	8	26	7	27	-1/54	1	145	181
153	7	26	6	27	-1/54	1	152	179
154	6	26	5	27	-1/54	1	148	166
155	5	26	4	27	-1/54	1	139	148
156	4	26	3	27	-1/54	1	130	136
157	3	26	2	27	-1/54	1	116	119
158	2	26	1	27	-1/54	1	97	97
159	1	26	0	27	-1/54	1	78	78
160	8	27	7	28	-1/56	1	161	197
161	7	27	6	28	-1/56	1	158	185
162	6	27	5	28	-1/56	1	150	168
163	5	27	4	28	-1/56	1	147	156
164	4	27	3	28	-1/56	1	136	142
165	3	27	2	28	-1/56	1	118	121
166	2	27	1	28	-1/56	1	103	103
167	1	27	0	28	-1/56	1	80	80
168	7	28	6	29	-1/58	1	168	195
169	6	28	5	29	-1/58	1	164	182
170	5	28	4	29	-1/58	1	155	164
171	4	28	3	29	-1/58	1	142	148
172	3	28	2	29	-1/58	1	126	129
173	2	28	1	29	-1/58	1	107	107
174	1	28	0	29	-1/58	1	84	84
175	6	29	5	30	-1/60	1	170	188
176	5	29	4	30	-1/60	1	157	166
177	4	29	3	30	-1/60	1	144	150
178	3	29	2	30	-1/60	1	130	133
179	2	29	1	30	-1/60	1	109	109
180	1	29	0	30	-1/60	1	86	86
181	5	30	4	31	-1/62	1	167	176
182	4	30	3	31	-1/62	1	154	160
183	3	30	2	31	-1/62	1	136	139
184	2	30	1	31	-1/62	1	115	115
185	1	30	0	31	-1/62	1	90	90
186	4	31	3	32	-1/64	1	158	164
187	3	31	2	32	-1/64	1	138	141
188	2	31	1	32	-1/64	1	119	119
189	1	31	0	32	-1/64	1	92	92
