source_kind	source_index	source_key	parameter_monomial	coefficient_exact
FIRST	4	('X-2', 4)	(106,)	"(('211581043344/1405*V^15*U^7 - 7018941608448/1405*V^13*U^10 + 96382004520384/1405*V^11*U^13 - 137497410734112/281*V^9*U^16 + 8133849246270304/4215*V^7*U^19 - 5818225705382272/1405*V^5*U^22 + 6089863223850496/1405*V^3*U^25 - 6616214214621184/4215*V*U^28', '1'), ('-78346928880/281*V^15*U^7 + 2599063272960/281*V^13*U^10 - 35689558639680/281*V^11*U^13 + 254571479791200/281*V^9*U^16 - 3011905501298080/843*V^7*U^19 + 2154446865101440/281*V^5*U^22 - 2255032272017920/281*V^3*U^25 + 2449936234055680/843*V*U^28', '1'), ('64908562158/281*V^15*U^7 - 2153261939136/281*V^13*U^10 + 29567948207688/281*V^11*U^13 - 210906399981420/281*V^9*U^16 + 2495291879844628/843*V^7*U^19 - 1784907848445904/281*V^5*U^22 + 1868240459313472/281*V^3*U^25 - 2029713743788288/843*V*U^28', '1'), ('-29074500972/281*V^15*U^7 + 964510909824/281*V^13*U^10 - 13244375014992/281*V^11*U^13 + 94471332092280/281*V^9*U^16 - 1117716427138952/843*V^7*U^19 + 799514012469536/281*V^5*U^22 - 836841200056448/281*V^3*U^25 + 909169950075392/843*V*U^28', '1'), ('7011321768/281*V^15*U^7 - 232592000256/281*V^13*U^10 + 3193883703648/281*V^11*U^13 - 22781780770320/281*V^9*U^16 + 89845847209296/281*V^7*U^19 - 192802965211584/281*V^5*U^22 + 201804424019712/281*V^3*U^25 - 73082172220416/281*V*U^28', '1'), ('-3686169168/1405*V^15*U^7 + 122284141056/1405*V^13*U^10 - 1679169210048/1405*V^11*U^13 + 2395482639264/281*V^9*U^16 - 47236028072096/1405*V^7*U^19 + 101365244582784/1405*V^5*U^22 - 106097718861312/1405*V^3*U^25 + 38422605449216/1405*V*U^28', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	4	('X-2', 4)	(107,)	"(('721956040608/1405*V^14*U^8 - 3050802682752/281*V^12*U^11 + 154116951321696/1405*V^10*U^14 - 905008761091248/1405*V^8*U^17 + 3072252014180448/1405*V^6*U^20 - 1114112627937408/281*V^4*U^23 + 4529688402252288/1405*V^2*U^26 - 1095476422182912/1405*U^29', '1'), ('-267335096160/281*V^14*U^8 + 5648450755200/281*V^12*U^11 - 57068391541920/281*V^10*U^14 + 335118193578960/281*V^8*U^17 - 1137632683212960/281*V^6*U^20 + 2062739209660800/281*V^4*U^23 - 1677310828469760/281*V^2*U^26 + 405646989834240/281*U^29', '1'), ('221480751756/281*V^14*U^8 - 4679606746320/281*V^12*U^11 + 47279801424372/281*V^10*U^14 - 277637431474986/281*V^8*U^17 + 942501547755636/281*V^6*U^20 - 1708930242959280/281*V^4*U^23 + 1389612020846016/281*V^2*U^26 - 336068857200384/281*U^29', '1'), ('-99207902904/281*V^14*U^8 + 2096136878880/281*V^12*U^11 - 21178047807048/281*V^10*U^14 + 124362171998724/281*V^8*U^17 - 422174844970824/281*V^6*U^20 + 765481353431520/281*V^4*U^23 - 622449099279744/281*V^2*U^26 + 150535368377856/281*U^29', '1'), ('23924005776/281*V^14*U^8 - 505483830720/281*V^12*U^11 + 5107090496112/281*V^10*U^14 - 29989962836856/281*V^8*U^17 + 101807548934256/281*V^6*U^20 - 184595982626880/281*V^4*U^23 + 150103725716736/281*V^2*U^26 - 36301634417664/281*U^29', '1'), ('-12577932576/1405*V^14*U^8 + 53151145344/281*V^12*U^11 - 2685028607712/1405*V^10*U^14 + 15767080732656/1405*V^8*U^17 - 53524836025056/1405*V^6*U^20 + 19410092482176/281*V^4*U^23 - 78916321921536/1405*V^2*U^26 + 19085412132864/1405*U^29', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	4	('X-2', 4)	(108,)	"(('-22118513472/281*V^13*U^9 + 442370269440/281*V^11*U^12 - 3472606615104/281*V^9*U^15 + 13492293217920/281*V^7*U^18 - 26719164274176/281*V^5*U^21 + 24772735088640/281*V^3*U^24 - 8493509173248/281*V*U^27', '1'), ('40951627200/281*V^13*U^9 - 819032544000/281*V^11*U^12 + 6429405470400/281*V^9*U^15 - 24980492592000/281*V^7*U^18 + 49469565657600/281*V^5*U^21 - 45865822464000/281*V^3*U^24 + 15725424844800/281*V*U^27', '1'), ('-33927446520/281*V^13*U^9 + 678548930400/281*V^11*U^12 - 5326609103640/281*V^9*U^15 + 20695742377200/281*V^7*U^18 - 40984355396160/281*V^5*U^21 + 37998740102400/281*V^3*U^24 - 13028139463680/281*V*U^27', '1'), ('15197125680/281*V^13*U^9 - 303942513600/281*V^11*U^12 + 2385948731760/281*V^9*U^15 - 9270246664800/281*V^7*U^18 + 18358127821440/281*V^5*U^21 - 17020780761600/281*V^3*U^24 + 5835696261120/281*V*U^27', '1'), ('-3664789920/281*V^13*U^9 + 73295798400/281*V^11*U^12 - 575372017440/281*V^9*U^15 + 2235521851200/281*V^7*U^18 - 4427066223360/281*V^5*U^21 + 4104564710400/281*V^3*U^24 - 1407279329280/281*V*U^27', '1'), ('385349184/281*V^13*U^9 - 7706983680/281*V^11*U^12 + 60499821888/281*V^9*U^15 - 235063002240/281*V^7*U^18 + 465501814272/281*V^5*U^21 - 431591086080/281*V^3*U^24 + 147974086656/281*V*U^27', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	4	('X-2', 4)	(109,)	"(('-840762208/1405*V^14*U^7 + 67649020736/1405*V^12*U^10 - 1289535205024/1405*V^10*U^13 + 11018770801984/1405*V^8*U^16 - 49495541836928/1405*V^6*U^19 + 119754547162624/1405*V^4*U^22 - 28795976275968/281*V^2*U^25 + 63924832198656/1405*U^28', '1'), ('311328160/281*V^14*U^7 - 25049942720/281*V^12*U^10 + 477505552480/281*V^10*U^13 - 4080171071680/281*V^8*U^16 + 18327840882560/281*V^6*U^19 - 44344242004480/281*V^4*U^22 + 53314707916800/281*V^2*U^25 - 23670902661120/281*U^28', '1'), ('-257927956/281*V^14*U^7 + 20753280152/281*V^12*U^10 - 395601962668/281*V^10*U^13 + 3380324428888/281*V^8*U^16 - 15184179088496/281*V^6*U^19 + 36738146978368/281*V^4*U^22 - 44169964058880/281*V^2*U^25 + 19610778350592/281*U^28', '1'), ('115533704/281*V^14*U^7 - 9296019568/281*V^12*U^10 + 177202040312/281*V^10*U^13 - 1514149175792/281*V^8*U^16 + 6801451380064/281*V^6*U^19 - 16456123114112/281*V^4*U^22 + 19785057937920/281*V^2*U^25 - 8784258582528/281*U^28', '1'), ('-27860976/281*V^14*U^7 + 2241736992/281*V^12*U^10 - 42732307728/281*V^10*U^13 + 365137378848/281*V^8*U^16 - 1640171370816/281*V^6*U^19 + 3968397404928/281*V^4*U^22 - 4771170708480/281*V^2*U^25 + 2118325727232/281*U^28', '1'), ('14647776/1405*V^14*U^7 - 1178582592/1405*V^12*U^10 + 22466308128/1405*V^10*U^13 - 191969245248/1405*V^8*U^16 + 862312319616/1405*V^6*U^19 - 2086366115328/1405*V^4*U^22 + 501684074496/281*V^2*U^25 - 1113699704832/1405*U^28', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	4	('X-2', 4)	(110,)	"(('-1681524416/1405*V^13*U^8 + 27292434752/1405*V^11*U^11 - 678301079808/1405*V^9*U^14 + 1365009781696/281*V^7*U^17 - 27793787724032/1405*V^5*U^20 + 43790000145408/1405*V^3*U^23 - 14677379887104/1405*V*U^26', '1'), ('622656320/281*V^13*U^8 - 10106191040/281*V^11*U^11 + 251169980160/281*V^9*U^14 - 2527266209600/281*V^7*U^17 + 10291838416640/281*V^5*U^20 - 16215120092160/281*V^3*U^23 + 5434927534080/281*V*U^26', '1'), ('-515855912/281*V^13*U^8 + 8372738264/281*V^11*U^11 - 208088338656/281*V^9*U^14 + 2093779784360/281*V^7*U^17 - 8526542688224/281*V^5*U^20 + 13433840297856/281*V^3*U^23 - 4502707849728/281*V*U^26', '1'), ('231067408/281*V^13*U^8 - 3750401776/281*V^11*U^11 + 93209037504/281*V^9*U^14 - 937867060240/281*V^7*U^17 + 3819295412416/281*V^5*U^20 - 6017421890304/281*V^3*U^23 + 2016898532352/281*V*U^26', '1'), ('-55721952/281*V^13*U^8 + 904410144/281*V^11*U^11 - 22477378176/281*V^9*U^14 + 226166830560/281*V^7*U^17 - 921023858304/281*V^5*U^20 + 1451102501376/281*V^3*U^23 - 486375487488/281*V*U^26', '1'), ('29295552/1405*V^13*U^8 - 475489344/1405*V^11*U^11 + 11817374976/1405*V^9*U^14 - 23781227712/281*V^7*U^17 + 484223925504/1405*V^5*U^20 - 762910258176/1405*V^3*U^23 + 255709605888/1405*V*U^26', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	4	('X-2', 4)	(111,)	"(('5907700906624/843*V^15*U^8 - 2814366580176448/21075*V^13*U^11 + 26363623568901344/21075*V^11*U^14 - 6077094130979872/843*V^9*U^17 + 530964003646496128/21075*V^7*U^20 - 1028073553026622976/21075*V^5*U^23 + 314369592664881152/7025*V^3*U^26 - 100017124054204416/7025*V*U^29', '1'), ('-10937894422400/843*V^15*U^8 + 208427914726592/843*V^13*U^11 - 1952451796367776/843*V^11*U^14 + 11251519846767200/843*V^9*U^17 - 39322425463133312/843*V^7*U^20 + 76137639052501504/843*V^5*U^23 - 23281756937463808/281*V^3*U^26 + 7407123418251264/281*V*U^29', '1'), ('9061784681840/843*V^15*U^8 - 863387783790136/4215*V^13*U^11 + 8087798755911908/4215*V^11*U^14 - 9321615866583020/843*V^9*U^17 + 162888458671202896/4215*V^7*U^20 - 315391091115520832/4215*V^5*U^23 + 96441901994488064/1405*V^3*U^26 - 30683125533990912/1405*V*U^29', '1'), ('-4059046430560/843*V^15*U^8 + 386737406043824/4215*V^13*U^11 - 3622768783842472/4215*V^11*U^14 + 4175432648066680/843*V^9*U^17 - 72962649186949664/4215*V^7*U^20 + 141273173836098688/4215*V^5*U^23 - 43199234123454976/1405*V^3*U^26 + 13743896544657408/1405*V*U^29', '1'), ('326279954880/281*V^15*U^8 - 31087267798752/1405*V^13*U^11 + 291210474074256/1405*V^11*U^14 - 335635474814640/281*V^9*U^17 + 5864985851211072/1405*V^7*U^20 - 11356018112519424/1405*V^5*U^23 + 10417504013650944/1405*V^3*U^26 - 3314343421181952/1405*V*U^29', '1'), ('-34308027776/281*V^15*U^8 + 16343983612352/7025*V^13*U^11 - 153102525665056/7025*V^11*U^14 + 35291751823328/281*V^9*U^17 - 3083488496300672/7025*V^7*U^20 + 5970372666202624/7025*V^5*U^23 - 5476953329670144/7025*V^3*U^26 + 1742500335255552/7025*V*U^29', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	4	('X-2', 4)	(112,)	"(('-3512704505024/7025*V^16*U^6 + 142070749993304/7025*V^14*U^9 - 5603473929677536/21075*V^12*U^12 + 40345382924589424/21075*V^10*U^15 - 12459507053885408/1405*V^8*U^18 + 547834326944762176/21075*V^6*U^21 - 892700008269101824/21075*V^4*U^24 + 212202374470665216/7025*V^2*U^27 - 44798931351556096/7025*U^30', '1'), ('260145810496/281*V^16*U^6 - 10521554076616/281*V^14*U^9 + 414985167395744/843*V^12*U^12 - 2987920653638096/843*V^10*U^15 + 4613665277392160/281*V^8*U^18 - 40571817184378304/843*V^6*U^21 + 66112070300477696/843*V^4*U^24 - 15715400659774464/281*V^2*U^27 + 3317744002985984/281*U^30', '1'), ('-1077623000168/1405*V^16*U^6 + 43584283171253/1405*V^14*U^9 - 1719026573065252/4215*V^12*U^12 + 12377105027747218/4215*V^10*U^15 - 3822311655540356/281*V^8*U^18 + 168063914898870232/4215*V^6*U^21 - 273861368010052768/4215*V^4*U^24 + 65099173327216512/1405*V^2*U^27 - 13743358924252672/1405*U^30', '1'), ('482699815312/1405*V^16*U^6 - 19522713819202/1405*V^14*U^9 + 770003803932968/4215*V^12*U^12 - 5544078318725012/4215*V^10*U^15 + 1712128573635304/281*V^8*U^18 - 75280891990658288/4215*V^6*U^21 + 122670759383323712/4215*V^4*U^24 - 29159881458647808/1405*V^2*U^27 + 6156064610229248/1405*U^30', '1'), ('-116403157728/1405*V^16*U^6 + 4707906371388/1405*V^14*U^9 - 61895524158864/1405*V^12*U^12 + 445651867903176/1405*V^10*U^15 - 412880150531376/281*V^8*U^18 + 6051334090960224/1405*V^6*U^21 - 9860692781275776/1405*V^4*U^24 + 7031911289559552/1405*V^2*U^27 - 1484536221222912/1405*U^30', '1'), ('61198408128/7025*V^16*U^6 - 2475159447288/7025*V^14*U^9 + 32541278284064/7025*V^12*U^12 - 234299356024976/7025*V^10*U^15 + 217069781038176/1405*V^8*U^18 - 3181460199583424/7025*V^6*U^21 + 5184212464952576/7025*V^4*U^24 - 3696994011313152/7025*V^2*U^27 + 780487877824512/7025*U^30', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	4	('X-2', 4)	(113,)	"(('2760642709968/7025*V^15*U^7 - 26206169979264/1405*V^13*U^10 + 2035554765461184/7025*V^11*U^13 - 14943195719503392/7025*V^9*U^16 + 57773109191955168/7025*V^7*U^19 - 117691968359577216/7025*V^5*U^22 + 22854980809622016/1405*V^3*U^25 - 38985095348508672/7025*V*U^28', '1'), ('-204449202672/281*V^15*U^7 + 9703955057280/281*V^13*U^10 - 150750239171136/281*V^11*U^13 + 1106671442556768/281*V^9*U^16 - 4278592831853472/281*V^7*U^19 + 8716096800622464/281*V^5*U^22 - 8463033964408320/281*V^3*U^25 + 2887179724965888/281*V*U^28', '1'), ('846906443526/1405*V^15*U^7 - 8039495344848/281*V^13*U^10 + 624464890293288/1405*V^11*U^13 - 4584254491181244/1405*V^9*U^16 + 17723560626128676/1405*V^7*U^19 - 36105391688350512/1405*V^5*U^22 + 7011421812914112/281*V^3*U^25 - 11959797743080704/1405*V*U^28', '1'), ('-379354917084/1405*V^15*U^7 + 3601132230432/281*V^13*U^10 - 279716642245392/1405*V^11*U^13 + 2053425730419096/1405*V^9*U^16 - 7938916893542184/1405*V^7*U^19 + 16172692952003808/1405*V^5*U^22 - 3140627115086208/281*V^3*U^25 + 5357153810612736/1405*V*U^28', '1'), ('91481514696/1405*V^15*U^7 - 868413763008/281*V^13*U^10 + 67453724641248/1405*V^11*U^13 - 495184028662224/1405*V^9*U^16 + 1914471408594096/1405*V^7*U^19 - 3900048164223552/1405*V^5*U^22 + 757362861649152/281*V^3*U^25 - 1291878720912384/1405*V*U^28', '1'), ('-48095972496/7025*V^15*U^7 + 456564417408/1405*V^13*U^10 - 35463475827648/7025*V^11*U^13 + 260340654635424/7025*V^9*U^16 - 1006524263596896/7025*V^7*U^19 + 2050431826177152/7025*V^5*U^22 - 398179932682752/1405*V^3*U^25 + 679199110723584/7025*V*U^28', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	4	('X-2', 4)	(114,)	"(('8321023572576/7025*V^14*U^8 - 202625761696512/7025*V^12*U^11 + 2329800648554016/7025*V^10*U^14 - 14736900321802032/7025*V^8*U^17 + 51131702669299296/7025*V^6*U^20 - 90762782203234944/7025*V^4*U^23 + 68634473722163712/7025*V^2*U^26 - 14208262514214912/7025*U^29', '1'), ('-616242959904/281*V^14*U^8 + 15006170581248/281*V^12*U^11 - 172541663309664/281*V^10*U^14 + 1091393504045328/281*V^8*U^17 - 3786739879178784/281*V^6*U^20 + 6721760257762176/281*V^4*U^23 - 5082969765570048/281*V^2*U^26 + 1052243353294848/281*U^29', '1'), ('2552712980532/1405*V^14*U^8 - 62161272295584/1405*V^12*U^11 + 714733266375612/1405*V^10*U^14 - 4520967452640474/1405*V^8*U^17 + 15686118418267572/1405*V^6*U^20 - 27844090364434608/1405*V^4*U^23 + 21055596160065984/1405*V^2*U^26 - 4358792621424384/1405*U^29', '1'), ('-1143437068488/1405*V^14*U^8 + 27843907054656/1405*V^12*U^11 - 320150568077208/1405*V^10*U^14 + 2025077558738916/1405*V^8*U^17 - 7026285131515848/1405*V^6*U^20 + 12472207139554272/1405*V^4*U^23 - 9431436018128256/1405*V^2*U^26 + 1952434564793856/1405*U^29', '1'), ('275740079472/1405*V^14*U^8 - 6714563796864/1405*V^12*U^11 + 77204374003152/1405*V^10*U^14 - 488347861349304/1405*V^8*U^17 + 1694390075283312/1405*V^6*U^20 - 3007675264891968/1405*V^4*U^23 + 2274392696235264/1405*V^2*U^26 - 470829988721664/1405*U^29', '1'), ('-144969039072/7025*V^14*U^8 + 3530150072064/7025*V^12*U^11 - 40589833486752/7025*V^10*U^14 + 256746572091504/7025*V^8*U^17 - 890817546354912/7025*V^6*U^20 + 1581271006474368/7025*V^4*U^23 - 1195751173630464/7025*V^2*U^26 + 247536633636864/7025*U^29', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	4	('X-2', 4)	(115,)	"(('-484279031808/1405*V^13*U^9 + 7192009275264/1405*V^11*U^12 - 28653952136832/1405*V^9*U^15 - 48702638400768/1405*V^7*U^18 + 591956611918848/1405*V^5*U^21 - 1292876005994496/1405*V^3*U^24 + 771568254369792/1405*V*U^27', '1'), ('179325020160/281*V^13*U^9 - 2663148977280/281*V^11*U^12 + 10610351072640/281*V^9*U^15 + 18034234479360/281*V^7*U^18 - 219197248680960/281*V^5*U^21 + 478742626897920/281*V^3*U^24 - 285706139811840/281*V*U^27', '1'), ('-148566502656/281*V^13*U^9 + 2206355416848/281*V^11*U^12 - 8790422827824/281*V^9*U^15 - 14940933185376/281*V^7*U^18 + 181599693111936/281*V^5*U^21 - 396626849321472/281*V^3*U^24 + 236700723308544/281*V*U^27', '1'), ('66547413504/281*V^13*U^9 - 988293078432/281*V^11*U^12 + 3937495278816/281*V^9*U^15 + 6692494209984/281*V^7*U^18 - 81343974945024/281*V^5*U^21 + 177661117928448/281*V^3*U^24 - 106025386807296/281*V*U^27', '1'), ('-16047922176/281*V^13*U^9 + 238327075008/281*V^11*U^12 - 949527779904/281*V^9*U^15 - 1613896327296/281*V^7*U^18 + 19616115949056/281*V^5*U^21 - 42843014387712/281*V^3*U^24 + 25568043393024/281*V*U^27', '1'), ('8437118976/1405*V^13*U^9 - 125299329408/1405*V^11*U^12 + 499209727104/1405*V^9*U^15 + 848498340096/1405*V^7*U^18 - 10313079929856/1405*V^5*U^21 + 22524511629312/1405*V^3*U^24 - 13442277556224/1405*V*U^27', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	4	('X-2', 4)	(116,)	"(('-1681524416/1405*V^14*U^7 - 127795855616/1405*V^12*U^10 + 2692120590016/1405*V^10*U^13 - 19445148346624/1405*V^8*U^16 + 62781395595776/1405*V^6*U^19 - 82704096876544/1405*V^4*U^22 + 13559812890624/1405*V^2*U^25 + 23245393526784/1405*U^28', '1'), ('622656320/281*V^14*U^7 + 47321880320/281*V^12*U^10 - 996872768320/281*V^10*U^13 + 7200397684480/281*V^8*U^16 - 23247496363520/281*V^6*U^19 + 30624728442880/281*V^4*U^22 - 5021100564480/281*V^2*U^25 - 8607600967680/281*U^28', '1'), ('-515855912/281*V^14*U^7 - 39205049312/281*V^12*U^10 + 825885315112/281*V^10*U^13 - 5965357766368/281*V^8*U^16 + 19259996330432/281*V^6*U^19 - 25371857175808/281*V^4*U^22 + 4159862074368/281*V^2*U^25 + 7131192127488/281*U^28', '1'), ('231067408/281*V^14*U^7 + 17561123008/281*V^12*U^10 - 369938920208/281*V^10*U^13 + 2672063506112/281*V^8*U^16 - 8627132745088/281*V^6*U^19 + 11364819395072/281*V^4*U^22 - 1863327578112/281*V^2*U^25 - 3194275848192/281*U^28', '1'), ('-55721952/281*V^14*U^7 - 4234868352/281*V^12*U^10 + 89210845152/281*V^10*U^13 - 644368652928/281*V^8*U^16 + 2080434799872/281*V^6*U^19 - 2740628487168/281*V^4*U^22 + 449341820928/281*V^2*U^25 + 770300264448/281*U^28', '1'), ('29295552/1405*V^14*U^7 + 2226461952/1405*V^12*U^10 - 46902178752/1405*V^10*U^13 + 338773763328/1405*V^8*U^16 - 1093778729472/1405*V^6*U^19 + 1440872429568/1405*V^4*U^22 - 236239331328/1405*V^2*U^25 - 404981710848/1405*U^28', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	4	('X-2', 4)	(117,)	"(('383891718441088/21075*V^15*U^8 - 8715898923250288/21075*V^13*U^11 + 97414788032783936/21075*V^11*U^14 - 623308123048424704/21075*V^9*U^17 + 2249496814472435968/21075*V^7*U^20 - 4288001950078229504/21075*V^5*U^23 + 1249219652563030016/7025*V^3*U^26 - 375208042073407488/7025*V*U^29', '1'), ('-28430464929152/843*V^15*U^8 + 645486856735952/843*V^13*U^11 - 7214398179761344/843*V^11*U^14 + 46161297264617216/843*V^9*U^17 - 166594477608956672/843*V^7*U^20 + 317563216921916416/843*V^5*U^23 - 92515399043313664/281*V^3*U^26 + 27787364428234752/281*V*U^29', '1'), ('117769810917616/4215*V^15*U^8 - 2673852336113266/4215*V^13*U^11 + 29884784214122552/4215*V^11*U^14 - 191217669641112928/4215*V^9*U^17 + 690097758753431776/4215*V^7*U^20 - 1315467759830246528/4215*V^5*U^23 + 383234008991770112/1405*V^3*U^26 - 115105843775932416/1405*V*U^29', '1'), ('-52752647234144/4215*V^15*U^8 + 1197699036316244/4215*V^13*U^11 - 13386295409941168/4215*V^11*U^14 + 85652156464521152/4215*V^9*U^17 - 309115581836667584/4215*V^7*U^20 + 589237650476983552/4215*V^5*U^23 - 171662061159390208/1405*V^3*U^26 + 51559376074297344/1405*V*U^29', '1'), ('4240437170112/1405*V^15*U^8 - 96275121315912/1405*V^13*U^11 + 1076035945162464/1405*V^11*U^14 - 6885011596864896/1405*V^9*U^17 + 24847761615887232/1405*V^7*U^20 - 47364926048580096/1405*V^5*U^23 + 41396340639025152/1405*V^3*U^26 - 12433553929691136/1405*V*U^29', '1'), ('-2229389731712/7025*V^15*U^8 + 50616188442512/7025*V^13*U^11 - 565720795017664/7025*V^11*U^14 + 3619762194557696/7025*V^9*U^17 - 13063592827864832/7025*V^7*U^20 + 24901885239632896/7025*V^5*U^23 - 21763929766858752/7025*V^3*U^26 + 6536882011815936/7025*V*U^29', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	4	('X-2', 4)	(118,)	"(('-2051880168624/1405*V^16*U^6 + 400150588209944/7025*V^14*U^9 - 16199309691925888/21075*V^12*U^12 + 124104816974363104/21075*V^10*U^15 - 203911100686753152/7025*V^8*U^18 + 1852088453199269824/21075*V^6*U^21 - 120200893684638976/843*V^4*U^24 + 677619632419625984/7025*V^2*U^27 - 121031768952393728/7025*U^30', '1'), ('759796374480/281*V^16*U^6 - 29634573287176/281*V^14*U^9 + 1199697424948352/843*V^12*U^12 - 9191023085510816/843*V^10*U^15 + 15101360926151808/281*V^8*U^18 - 137162989678949696/843*V^6*U^21 + 222547604454137600/843*V^4*U^24 - 50183529024910336/281*V^2*U^27 + 8963437597683712/281*U^30', '1'), ('-629473176618/281*V^16*U^6 + 122757686212733/1405*V^14*U^9 - 4969603530811216/4215*V^12*U^12 + 38072717193244228/4215*V^10*U^15 - 62555586948842064/1405*V^8*U^18 + 568181329416853768/4215*V^6*U^21 - 184375382970664160/843*V^4*U^24 + 207879285096821888/1405*V^2*U^27 - 37129971447236096/1405*U^30', '1'), ('281960004612/281*V^16*U^6 - 54986866885522/1405*V^14*U^9 + 2226035177536544/4215*V^12*U^12 - 17053917329845352/4215*V^10*U^15 + 28020532470290976/1405*V^8*U^18 - 254505539256757712/4215*V^6*U^21 + 82587290076533440/843*V^4*U^24 - 93115396115137792/1405*V^2*U^27 + 16631633101118464/1405*U^30', '1'), ('-67994711928/281*V^16*U^6 + 13260094029468/1405*V^14*U^9 - 178936277205312/1405*V^12*U^12 + 1370851866836496/1405*V^10*U^15 - 6757157051434944/1405*V^8*U^18 + 20458020691807776/1405*V^6*U^21 - 6638647214517120/281*V^4*U^24 + 22454796536206848/1405*V^2*U^27 - 4010721673660416/1405*U^30', '1'), ('35747897328/1405*V^16*U^6 - 6971431549368/7025*V^14*U^9 + 94074899126912/7025*V^12*U^12 - 720718867659296/7025*V^10*U^15 + 3552543273654144/7025*V^8*U^18 - 10755707355584576/7025*V^6*U^21 + 698047457786624/281*V^4*U^24 - 11805502785973248/7025*V^2*U^27 + 2108617898889216/7025*U^30', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
