
=== (99,66)  (8 admissible rows) ===
 # M                      d                    V           d_s  v_s  u_s  v_s/u_s  ell      (n(,m()  6.4 auto
-------------------------------------------------------------------------------------------------------------
38 (-72, 12, 88, 106)     (108, 36, 12, 4, 2)  (3, 1, 3)     4    3    1        3    1      (27,18)      True
39 (-72, 24, 88, 106)     (108, 36, 12, 4, 2)  (1, 1, 3)     4    3    1        3    1      (27,18)      True
40 (-72, 24, 104, 106)    (108, 36, 12, 4, 2)  (1, 7, 3)     4    3    1        3    1      (27,18)      True
41 (-72, 24, 104, 106)    (108, 36, 12, 4, 2)  (1, 8, 3)     4    3    1        3    1      (27,18)      True
42 (-72, 48, 52, 106)     (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
43 (-72, 48, 56, 106)     (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
44 (-72, 48, 64, 106)     (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
45 (-72, 48, 64, 106)     (108, 36, 12, 4, 2)  (2, 9, 3)     4    3    1        3    1      (27,18)      True
46 (-72, 48, 64, 106)     (108, 36, 12, 4, 2)  (5, 9, 3)     4    3    1        3    1      (27,18)      True
47 (-72, 48, 68, 106)     (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
48 (-72, 48, 76, 106)     (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
49 (-72, 48, 80, 106)     (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
50 (-72, 48, 80, 106)     (108, 36, 12, 4, 2)  (2, 9, 3)     4    3    1        3    1      (27,18)      True
51 (-72, 48, 88, 106)     (108, 36, 12, 4, 2)  (1, 1, 3)     4    3    1        3    1      (27,18)      True
52 (-72, 48, 88, 106)     (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
53 (-72, 48, 92, 106)     (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
54 (-72, 48, 92, 106)     (108, 36, 12, 4, 2)  (2, 9, 3)     4    3    1        3    1      (27,18)      True
55 (-72, 48, 100, 106)    (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
56 (-72, 48, 104, 106)    (108, 36, 12, 4, 2)  (1, 5, 3)     4    3    1        3    1      (27,18)      True
57 (-72, 48, 104, 106)    (108, 36, 12, 4, 2)  (1, 7, 3)     4    3    1        3    1      (27,18)      True
58 (-72, 48, 104, 106)    (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
59 (-72, 60, 80, 106)     (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
60 (-72, 60, 80, 106)     (108, 36, 12, 4, 2)  (2, 9, 3)     4    3    1        3    1      (27,18)      True
61 (-72, 60, 80, 106)     (108, 36, 12, 4, 2)  (20, 9, 3)    4    3    1        3    1      (27,18)      True
62 (-72, 60, 88, 106)     (108, 36, 12, 4, 2)  (1, 1, 3)     4    3    1        3    1      (27,18)      True
63 (-72, 60, 88, 106)     (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
64 (-72, 60, 88, 106)     (108, 36, 12, 4, 2)  (2, 9, 3)     4    3    1        3    1      (27,18)      True
65 (-72, 60, 100, 106)    (108, 36, 12, 4, 2)  (1, 4, 3)     4    3    1        3    1      (27,18)      True
66 (-72, 60, 100, 106)    (108, 36, 12, 4, 2)  (9, 4, 3)     4    3    1        3    1      (27,18)      True
67 (-72, 60, 100, 106)    (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
68 (-72, 60, 100, 106)    (108, 36, 12, 4, 2)  (2, 9, 3)     4    3    1        3    1      (27,18)      True
69 (-72, 60, 100, 106)    (108, 36, 12, 4, 2)  (20, 9, 3)    4    3    1        3    1      (27,18)      True
70 (-72, 84, 88, 106)     (108, 36, 12, 4, 2)  (3, 2, 3)     4    3    1        3    1      (27,18)      True
71 (-72, 84, 104, 106)    (108, 36, 12, 4, 2)  (8, 7, 3)     4    3    1        3    1      (27,18)      True
72 (-72, 84, 104, 106)    (108, 36, 12, 4, 2)  (21, 7, 3)    4    3    1        3    1      (27,18)      True
73 (-72, 84, 104, 106)    (108, 36, 12, 4, 2)  (8, 8, 3)     4    3    1        3    1      (27,18)      True
74 (-72, -48, 102, 106)   (108, 36, 12, 6, 2)  (1, 7, 5)     6    5    1        5    3      (18,12)      True
75 (-72, -24, 102, 106)   (108, 36, 12, 6, 2)  (1, 5, 4)     6    4    2        2    1      (36,24)     False
76 (-72, -24, 102, 106)   (108, 36, 12, 6, 2)  (1, 9, 5)     6    5    1        5    3      (18,12)      True
77 (-72, -12, 42, 106)    (108, 36, 12, 6, 2)  (1, 10, 5)    6    5    1        5    3      (18,12)      True
78 (-72, -12, 42, 106)    (108, 36, 12, 6, 2)  (2, 10, 5)    6    5    1        5    3      (18,12)      True
79 (-72, -12, 54, 106)    (108, 36, 12, 6, 2)  (1, 10, 5)    6    5    1        5    3      (18,12)      True
80 (-72, 12, 30, 106)     (108, 36, 12, 6, 2)  (1, 8, 4)     6    4    2        2    1      (36,24)     False
81 (-72, 12, 30, 106)     (108, 36, 12, 6, 2)  (3, 8, 4)     6    4    2        2    1      (36,24)     False
82 (-72, 12, 30, 106)     (108, 36, 12, 6, 2)  (24, 8, 4)    6    4    2        2    1      (36,24)     False
83 (-72, 12, 54, 106)     (108, 36, 12, 6, 2)  (1, 8, 4)     6    4    2        2    1      (36,24)     False
84 (-72, 12, 66, 106)     (108, 36, 12, 6, 2)  (1, 8, 4)     6    4    2        2    1      (36,24)     False
85 (-72, 12, 66, 106)     (108, 36, 12, 6, 2)  (2, 8, 4)     6    4    2        2    1      (36,24)     False
86 (-72, 12, 66, 106)     (108, 36, 12, 6, 2)  (3, 8, 4)     6    4    2        2    1      (36,24)     False
87 (-72, 12, 66, 106)     (108, 36, 12, 6, 2)  (17, 8, 4)    6    4    2        2    1      (36,24)     False
88 (-72, 12, 78, 106)     (108, 36, 12, 6, 2)  (3, 1, 5)     6    5    1        5    3      (18,12)      True
89 (-72, 12, 90, 106)     (108, 36, 12, 6, 2)  (3, 1, 5)     6    5    1        5    3      (18,12)      True
90 (-72, 12, 102, 106)    (108, 36, 12, 6, 2)  (1, 5, 4)     6    4    2        2    1      (36,24)     False
91 (-72, 12, 102, 106)    (108, 36, 12, 6, 2)  (1, 8, 4)     6    4    2        2    1      (36,24)     False
92 (-72, 12, 102, 106)    (108, 36, 12, 6, 2)  (3, 8, 4)     6    4    2        2    1      (36,24)     False
93 (-72, 12, 102, 106)    (108, 36, 12, 6, 2)  (1, 8, 5)     6    5    1        5    3      (18,12)      True
94 (-72, 12, 102, 106)    (108, 36, 12, 6, 2)  (3, 8, 5)     6    5    1        5    3      (18,12)      True
95 (-72, 24, 42, 106)     (108, 36, 12, 6, 2)  (1, 10, 5)    6    5    1        5    3      (18,12)      True
96 (-72, 24, 54, 106)     (108, 36, 12, 6, 2)  (1, 8, 4)     6    4    2        2    1      (36,24)     False
97 (-72, 24, 54, 106)     (108, 36, 12, 6, 2)  (13, 8, 4)    6    4    2        2    1      (36,24)     False
98 (-72, 24, 78, 106)     (108, 36, 12, 6, 2)  (1, 1, 5)     6    5    1        5    3      (18,12)      True
99 (-72, 24, 78, 106)     (108, 36, 12, 6, 2)  (1, 4, 5)     6    5    1        5    3      (18,12)      True
100 (-72, 24, 78, 106)     (108, 36, 12, 6, 2)  (1, 10, 5)    6    5    1        5    3      (18,12)      True
101 (-72, 24, 90, 106)     (108, 36, 12, 6, 2)  (1, 8, 4)     6    4    2        2    1      (36,24)     False
102 (-72, 24, 90, 106)     (108, 36, 12, 6, 2)  (1, 1, 5)     6    5    1        5    3      (18,12)      True
103 (-72, 48, 66, 106)     (108, 36, 12, 6, 2)  (1, 8, 4)     6    4    2        2    1      (36,24)     False
104 (-72, 48, 66, 106)     (108, 36, 12, 6, 2)  (11, 8, 4)    6    4    2        2    1      (36,24)     False
105 (-72, 48, 90, 106)     (108, 36, 12, 6, 2)  (1, 1, 5)     6    5    1        5    3      (18,12)      True
106 (-72, 48, 90, 106)     (108, 36, 12, 6, 2)  (1, 3, 5)     6    5    1        5    3      (18,12)      True
107 (-72, 48, 90, 106)     (108, 36, 12, 6, 2)  (1, 10, 5)    6    5    1        5    3      (18,12)      True
108 (-72, 48, 102, 106)    (108, 36, 12, 6, 2)  (1, 5, 4)     6    4    2        2    1      (36,24)     False
109 (-72, 48, 102, 106)    (108, 36, 12, 6, 2)  (1, 8, 4)     6    4    2        2    1      (36,24)     False
110 (-72, 48, 102, 106)    (108, 36, 12, 6, 2)  (1, 5, 5)     6    5    1        5    3      (18,12)      True
111 (-72, 48, 102, 106)    (108, 36, 12, 6, 2)  (1, 8, 5)     6    5    1        5    3      (18,12)      True
112 (-72, 60, 78, 106)     (108, 36, 12, 6, 2)  (1, 4, 5)     6    5    1        5    3      (18,12)      True
113 (-72, 60, 78, 106)     (108, 36, 12, 6, 2)  (2, 4, 5)     6    5    1        5    3      (18,12)      True
114 (-72, 60, 78, 106)     (108, 36, 12, 6, 2)  (1, 10, 5)    6    5    1        5    3      (18,12)      True
115 (-72, 60, 90, 106)     (108, 36, 12, 6, 2)  (1, 1, 5)     6    5    1        5    3      (18,12)      True
116 (-72, 60, 90, 106)     (108, 36, 12, 6, 2)  (9, 3, 5)     6    5    1        5    3      (18,12)      True
117 (-72, 84, 90, 106)     (108, 36, 12, 6, 2)  (9, 8, 4)     6    4    2        2    1      (36,24)     False
118 (-72, 84, 102, 106)    (108, 36, 12, 6, 2)  (8, 7, 5)     6    5    1        5    3      (18,12)      True
119 (-72, 96, 102, 106)    (108, 36, 12, 6, 2)  (17, 8, 4)    6    4    2        2    1      (36,24)     False
120 (-72, 96, 102, 106)    (108, 36, 12, 6, 2)  (17, 8, 5)    6    5    1        5    3      (18,12)      True
121 (-72, -54, 106)        (108, 36, 18, 2)     (1, 14)      18   14    4      7/2    9      (24,16)     False
122 (-72, -54, 106)        (108, 36, 18, 2)     (1, 17)      18   17    1       17   15        (6,4)      True
123 (-72, 18, 106)         (108, 36, 18, 2)     (1, 17)      18   17    1       17   15        (6,4)      True
124 (-72, 54, 106)         (108, 36, 18, 2)     (1, 13)      18   13    5     13/5    7      (30,20)     False
125 (-72, 54, 106)         (108, 36, 18, 2)     (2, 15)      18   15    3        5   11      (18,12)     False
126 (-72, 54, 106)         (108, 36, 18, 2)     (1, 17)      18   17    1       17   15        (6,4)      True
127 (-72, 90, 106)         (108, 36, 18, 2)     (11, 10)     18   10    8      5/4    1      (48,32)     False
128 (-72, 90, 106)         (108, 36, 18, 2)     (11, 13)     18   13    5     13/5    7      (30,20)     False
129 (-72, 90, 106)         (108, 36, 18, 2)     (17, 16)     18   16    2        8   13       (12,8)     False
130 (-72, -18, 30, 106)    (108, 36, 18, 6, 2)  (1, 15, 5)    6    5    1        5    3      (18,12)      True
131 (-72, -18, 30, 106)    (108, 36, 18, 6, 2)  (2, 15, 5)    6    5    1        5    3      (18,12)      True
132 (-72, -18, 60, 106)    (108, 36, 18, 6, 2)  (2, 15, 5)    6    5    1        5    3      (18,12)      True
133 (-72, -18, 60, 106)    (108, 36, 18, 6, 2)  (11, 15, 5)    6    5    1        5    3      (18,12)      True
134 (-72, -18, 78, 106)    (108, 36, 18, 6, 2)  (2, 1, 5)     6    5    1        5    3      (18,12)      True
135 (-72, -18, 78, 106)    (108, 36, 18, 6, 2)  (2, 15, 5)    6    5    1        5    3      (18,12)      True
136 (-72, -18, 84, 106)    (108, 36, 18, 6, 2)  (4, 15, 5)    6    5    1        5    3      (18,12)      True
137 (-72, -18, 102, 106)   (108, 36, 18, 6, 2)  (2, 7, 5)     6    5    1        5    3      (18,12)      True
138 (-72, -18, 102, 106)   (108, 36, 18, 6, 2)  (1, 11, 5)    6    5    1        5    3      (18,12)      True
139 (-72, -18, 102, 106)   (108, 36, 18, 6, 2)  (2, 13, 5)    6    5    1        5    3      (18,12)      True
140 (-72, 54, 60, 106)     (108, 36, 18, 6, 2)  (2, 15, 5)    6    5    1        5    3      (18,12)      True
141 (-72, 54, 60, 106)     (108, 36, 18, 6, 2)  (8, 15, 5)    6    5    1        5    3      (18,12)      True
142 (-72, 54, 66, 106)     (108, 36, 18, 6, 2)  (2, 15, 5)    6    5    1        5    3      (18,12)      True
143 (-72, 54, 78, 106)     (108, 36, 18, 6, 2)  (2, 3, 5)     6    5    1        5    3      (18,12)      True
144 (-72, 54, 78, 106)     (108, 36, 18, 6, 2)  (3, 3, 5)     6    5    1        5    3      (18,12)      True
145 (-72, 54, 78, 106)     (108, 36, 18, 6, 2)  (1, 15, 5)    6    5    1        5    3      (18,12)      True
146 (-72, 54, 78, 106)     (108, 36, 18, 6, 2)  (2, 15, 5)    6    5    1        5    3      (18,12)      True
147 (-72, 54, 84, 106)     (108, 36, 18, 6, 2)  (1, 12, 4)    6    4    2        2    1      (36,24)     False
148 (-72, 54, 84, 106)     (108, 36, 18, 6, 2)  (2, 12, 4)    6    4    2        2    1      (36,24)     False
149 (-72, 54, 84, 106)     (108, 36, 18, 6, 2)  (3, 12, 4)    6    4    2        2    1      (36,24)     False
150 (-72, 54, 84, 106)     (108, 36, 18, 6, 2)  (17, 12, 4)    6    4    2        2    1      (36,24)     False
151 (-72, 54, 84, 106)     (108, 36, 18, 6, 2)  (2, 15, 5)    6    5    1        5    3      (18,12)      True
152 (-72, 54, 96, 106)     (108, 36, 18, 6, 2)  (3, 5, 4)     6    4    2        2    1      (36,24)     False
153 (-72, 54, 96, 106)     (108, 36, 18, 6, 2)  (1, 12, 4)    6    4    2        2    1      (36,24)     False
154 (-72, 54, 96, 106)     (108, 36, 18, 6, 2)  (2, 12, 4)    6    4    2        2    1      (36,24)     False
155 (-72, 54, 96, 106)     (108, 36, 18, 6, 2)  (3, 12, 4)    6    4    2        2    1      (36,24)     False
156 (-72, 54, 96, 106)     (108, 36, 18, 6, 2)  (2, 15, 5)    6    5    1        5    3      (18,12)      True
157 (-72, 54, 102, 106)    (108, 36, 18, 6, 2)  (1, 9, 4)     6    4    2        2    1      (36,24)     False
158 (-72, 54, 102, 106)    (108, 36, 18, 6, 2)  (3, 5, 5)     6    5    1        5    3      (18,12)      True
159 (-72, 54, 102, 106)    (108, 36, 18, 6, 2)  (3, 11, 5)    6    5    1        5    3      (18,12)      True
160 (-72, 54, 102, 106)    (108, 36, 18, 6, 2)  (2, 15, 5)    6    5    1        5    3      (18,12)      True
161 (-72, 90, 96, 106)     (108, 36, 18, 6, 2)  (3, 5, 4)     6    4    2        2    1      (36,24)     False
162 (-72, 90, 102, 106)    (108, 36, 18, 6, 2)  (11, 7, 5)    6    5    1        5    3      (18,12)      True
163 (-72, -54, -45, 106)   (108, 36, 18, 9, 1)  (1, 14, 7)    9    7    2      7/2    4      (24,16)     False
164 (-72, -54, -27, 106)   (108, 36, 18, 9, 1)  (1, 14, 7)    9    7    2      7/2    4      (24,16)     False
165 (-72, -54, -9, 106)    (108, 36, 18, 9, 1)  (1, 14, 7)    9    7    2      7/2    4      (24,16)     False
166 (-72, -54, 9, 106)     (108, 36, 18, 9, 1)  (1, 14, 7)    9    7    2      7/2    4      (24,16)     False
167 (-72, -54, 27, 106)    (108, 36, 18, 9, 1)  (1, 14, 7)    9    7    2      7/2    4      (24,16)     False
168 (-72, -54, 45, 106)    (108, 36, 18, 9, 1)  (1, 14, 7)    9    7    2      7/2    4      (24,16)     False
169 (-72, -54, 45, 106)    (108, 36, 18, 9, 1)  (1, 16, 8)    9    8    1        8    6       (12,8)      True
170 (-72, -54, 63, 106)    (108, 36, 18, 9, 1)  (1, 14, 7)    9    7    2      7/2    4      (24,16)     False
171 (-72, -54, 63, 106)    (108, 36, 18, 9, 1)  (1, 16, 8)    9    8    1        8    6       (12,8)      True
172 (-72, -54, 63, 106)    (108, 36, 18, 9, 1)  (2, 16, 8)    9    8    1        8    6       (12,8)      True
173 (-72, -54, 81, 106)    (108, 36, 18, 9, 1)  (1, 14, 7)    9    7    2      7/2    4      (24,16)     False
174 (-72, -54, 99, 106)    (108, 36, 18, 9, 1)  (1, 14, 7)    9    7    2      7/2    4      (24,16)     False
175 (-72, -18, 27, 106)    (108, 36, 18, 9, 1)  (20, 10, 5)    9    5    4      5/4    0      (48,32)     False
176 (-72, -18, 81, 106)    (108, 36, 18, 9, 1)  (2, 1, 7)     9    7    2      7/2    4      (24,16)     False
177 (-72, -18, 99, 106)    (108, 36, 18, 9, 1)  (1, 8, 7)     9    7    2      7/2    4      (24,16)     False
178 (-72, -18, 99, 106)    (108, 36, 18, 9, 1)  (2, 15, 8)    9    8    1        8    6       (12,8)      True
179 (-72, 18, 45, 106)     (108, 36, 18, 9, 1)  (1, 14, 7)    9    7    2      7/2    4      (24,16)     False
180 (-72, 18, 45, 106)     (108, 36, 18, 9, 1)  (5, 14, 7)    9    7    2      7/2    4      (24,16)     False
181 (-72, 18, 81, 106)     (108, 36, 18, 9, 1)  (1, 10, 5)    9    5    4      5/4    0      (48,32)     False
182 (-72, 18, 81, 106)     (108, 36, 18, 9, 1)  (1, 10, 7)    9    7    2      7/2    4      (24,16)     False
183 (-72, 18, 99, 106)     (108, 36, 18, 9, 1)  (1, 8, 7)     9    7    2      7/2    4      (24,16)     False
184 (-72, 18, 99, 106)     (108, 36, 18, 9, 1)  (1, 14, 7)    9    7    2      7/2    4      (24,16)     False
185 (-72, 18, 99, 106)     (108, 36, 18, 9, 1)  (1, 8, 8)     9    8    1        8    6       (12,8)      True
186 (-72, 18, 99, 106)     (108, 36, 18, 9, 1)  (1, 14, 8)    9    8    1        8    6       (12,8)      True
187 (-72, 54, 81, 106)     (108, 36, 18, 9, 1)  (24, 12, 6)    9    6    3        2    2      (36,24)     False
188 (-72, 54, 99, 106)     (108, 36, 18, 9, 1)  (2, 7, 6)     9    6    3        2    2      (36,24)     False
189 (-72, 54, 99, 106)     (108, 36, 18, 9, 1)  (3, 7, 6)     9    6    3        2    2      (36,24)     False
190 (-72, 54, 99, 106)     (108, 36, 18, 9, 1)  (1, 12, 6)    9    6    3        2    2      (36,24)     False
191 (-72, 54, 99, 106)     (108, 36, 18, 9, 1)  (2, 12, 6)    9    6    3        2    2      (36,24)     False
192 (-72, 54, 99, 106)     (108, 36, 18, 9, 1)  (3, 12, 6)    9    6    3        2    2      (36,24)     False
193 (-72, 54, 99, 106)     (108, 36, 18, 9, 1)  (17, 12, 6)    9    6    3        2    2      (36,24)     False
194 (-72, 54, 99, 106)     (108, 36, 18, 9, 1)  (3, 7, 8)     9    8    1        8    6       (12,8)      True
195 (-72, 54, 99, 106)     (108, 36, 18, 9, 1)  (1, 12, 8)    9    8    1        8    6       (12,8)      True
196 (-72, 54, 99, 106)     (108, 36, 18, 9, 1)  (3, 12, 8)    9    8    1        8    6       (12,8)      True
197 (-72, 90, 99, 106)     (108, 36, 18, 9, 1)  (11, 10, 5)    9    5    4      5/4    0      (48,32)     False
198 (-72, 90, 99, 106)     (108, 36, 18, 9, 1)  (11, 10, 8)    9    8    1        8    6       (12,8)      True
199 (-72, 90, 99, 106)     (108, 36, 18, 9, 1)  (17, 16, 8)    9    8    1        8    6       (12,8)      True
