k	label	terms	degree	leadcoef	leadmonom	trailcoef	trailmonom
41	define_Hfact_1_9	155	10	162	minor_a2^3*u^7	1	Hfact_1_9
42	define_Hfact_1_10	163	10	-135	minor_a2^2*u^8	1	Hfact_1_10
43	define_Hfact_1_11	131	9	216	minor_a2^3*u^6	1	Hfact_1_11
44	define_Hfact_1_12	110	9	-216	minor_a2^2*u^7	21/2	1
45	define_Hfact_1_13	109	9	-63	minor_a2*u^8	1	Hfact_1_13
46	define_Hfact_1_14	77	8	558	minor_a2^2*u^6	1	Hfact_1_14
47	define_Hfact_1_15	68	8	-306	minor_a2*u^7	1	Hfact_1_15
48	define_Hfact_1_16	56	8	-9	u^8	1	Hfact_1_16
49	define_Hfact_1_17	42	7	-441	minor_a2*u^6	1	Hfact_1_17
50	define_Hfact_1_18	37	7	-72	u^7	1	Hfact_1_18
51	define_Hfact_1_19	27	6	252	minor_a2*u^5	1	Hfact_1_19
52	define_Hfact_1_20	22	6	-252	u^6	1024/9	1
53	define_Hfact_1_21	17	5	1575	minor_a2*u^4	1	Hfact_1_21
54	define_Hfact_1_22	14	5	-504	u^5	1	Hfact_1_22
55	define_Hfact_1_23	10	4	2142	minor_a2*u^3	1	Hfact_1_23
56	define_Hfact_1_24	8	4	-630	u^4	-448/3	1
57	define_Hfact_1_25	6	3	1449	minor_a2*u^2	1	Hfact_1_25
58	define_Hfact_1_26	6	3	-504	u^3	1	Hfact_1_26
59	define_Hfact_1_27	3	2	504	minor_a2*u	1	Hfact_1_27
60	define_Hfact_1_28	3	2	-252	u^2	64	1
61	define_Hfact_1_29	3	1	72	minor_a2	1	Hfact_1_29
62	define_Hfact_1_30	2	1	-72	u	1	Hfact_1_30
63	define_Hfact_2_4	12	4	15/8	E82^3*Hc_11_0	1	Hfact_2_4
64	define_Hfact_2_5	97	8	-63/64	E82^4*Hc_11_0*minor_a2*u^2	1	Hfact_2_5
65	define_Hfact_2_6	189	9	189/128	E82^4*Hc_11_0^2*minor_a2*u^2	1	Hfact_2_6
66	define_Hfact_2_7	248	9	189/128	E82^4*Hc_10_1*Hc_11_0*minor_a2*u^2	-56	1
67	define_Hfact_2_8	536	12	567/128	E82^4*Hc_11_0*minor_a2^2*u^5	1	Hfact_2_8
68	define_Hfact_2_9	465	11	567/128	E82^4*Hc_11_0*minor_a2^3*u^3	1	Hfact_2_9
69	define_Hfact_2_10	242	9	189/128	E82^4*Hc_11_0*Hc_7_4*minor_a2*u^2	1	Hfact_2_10
70	define_Hfact_2_11	430	11	189/128	E82^4*Hc_11_0*minor_a2*u^5	39469/486	1
71	define_Hfact_2_12	281	10	-567/64	E82^4*Hc_11_0*minor_a2^2*u^3	1	Hfact_2_12
72	define_Hfact_2_13	253	10	567/128	E82^4*Hc_11_0*minor_a2*u^4	1	Hfact_2_13
73	define_Hfact_2_14	245	9	-567/128	E82^4*Hc_11_0*minor_a2^2*u^2	1	Hfact_2_14
74	define_Hfact_2_15	163	9	567/128	E82^4*Hc_11_0*minor_a2*u^3	-1510/81	1
75	define_Hfact_2_16	57	7	-693	minor_a2*u^6	1	Hfact_2_16
76	define_Hfact_2_17	140	8	189/128	E82^4*Hc_11_0*minor_a2*u^2	1	Hfact_2_17
77	define_Hfact_2_18	31	6	-378	minor_a2*u^5	1	Hfact_2_18
78	define_Hfact_2_19	24	6	-252	u^6	2560/9	1
79	define_Hfact_2_20	18	5	1890	minor_a2*u^4	1	Hfact_2_20
80	define_Hfact_2_21	15	5	-756	u^5	1	Hfact_2_21
81	define_Hfact_2_22	10	4	4095	minor_a2*u^3	1	Hfact_2_22
82	define_Hfact_2_23	8	4	-1260	u^4	-448	1
83	define_Hfact_2_24	6	3	3591	minor_a2*u^2	1	Hfact_2_24
84	define_Hfact_2_25	6	3	-1260	u^3	1	Hfact_2_25
85	define_Hfact_2_26	3	2	1512	minor_a2*u	1	Hfact_2_26
86	define_Hfact_2_27	3	2	-756	u^2	224	1
87	define_Hfact_2_28	3	1	252	minor_a2	1	Hfact_2_28
88	define_Hfact_2_29	2	1	-252	u	1	Hfact_2_29
89	define_Hfact_3_7	12	4	-15/4	E82^3*Hc_11_0	1	Hfact_3_7
90	define_Hfact_3_8	119	8	441/128	E82^4*Hc_11_0*minor_a2*u^2	1	Hfact_3_8
91	define_Hfact_3_9	321	11	567/128	E82^4*Hc_11_0*minor_a2^2*u^4	1	Hfact_3_9
92	define_Hfact_3_10	324	10	567/128	E82^4*Hc_11_0*minor_a2^3*u^2	63629/486	1
93	define_Hfact_3_11	262	10	-567/64	E82^4*Hc_11_0*minor_a2^2*u^3	1	Hfact_3_11
94	define_Hfact_3_12	242	10	567/128	E82^4*Hc_11_0*minor_a2*u^4	1	Hfact_3_12
95	define_Hfact_3_13	243	9	-567/64	E82^4*Hc_11_0*minor_a2^2*u^2	1	Hfact_3_13
96	define_Hfact_3_14	158	9	567/64	E82^4*Hc_11_0*minor_a2*u^3	-8690/81	1
97	define_Hfact_3_15	64	7	-315	minor_a2*u^6	1	Hfact_3_15
98	define_Hfact_3_16	141	8	567/128	E82^4*Hc_11_0*minor_a2*u^2	1	Hfact_3_16
99	define_Hfact_3_17	40	6	-756	minor_a2*u^5	1	Hfact_3_17
100	define_Hfact_3_18	27	6	-84	u^6	10760/27	1
101	define_Hfact_3_19	24	5	630	minor_a2*u^4	1	Hfact_3_19
102	define_Hfact_3_20	16	5	-504	u^5	1	Hfact_3_20
103	define_Hfact_3_21	11	4	3780	minor_a2*u^3	1	Hfact_3_21
104	define_Hfact_3_22	8	4	-1260	u^4	-2240/3	1
105	define_Hfact_3_23	6	3	4725	minor_a2*u^2	1	Hfact_3_23
106	define_Hfact_3_24	6	3	-1680	u^3	1	Hfact_3_24
107	define_Hfact_3_25	3	2	2520	minor_a2*u	1	Hfact_3_25
108	define_Hfact_3_26	3	2	-1260	u^2	448	1
109	define_Hfact_3_27	3	1	504	minor_a2	1	Hfact_3_27
110	define_Hfact_3_28	2	1	-504	u	1	Hfact_3_28
111	define_Hfact_4_10	12	4	15/4	E82^3*Hc_11_0	1	Hfact_4_10
112	define_Hfact_4_11	119	8	-63/16	E82^4*Hc_11_0*minor_a2*u^2	1	Hfact_4_11
113	define_Hfact_4_12	215	9	-567/128	E82^4*Hc_11_0*minor_a2^2*u^2	1	Hfact_4_12
114	define_Hfact_4_13	145	9	567/128	E82^4*Hc_11_0*minor_a2*u^3	-12850/81	1
115	define_Hfact_4_14	52	6	9/8	E82^3*Hc_11_0*u^2	1	Hfact_4_14
116	define_Hfact_4_15	135	8	567/128	E82^4*Hc_11_0*minor_a2*u^2	1	Hfact_4_15
117	define_Hfact_4_16	37	6	-315	minor_a2*u^5	1	Hfact_4_16
118	define_Hfact_4_17	25	5	360	minor_a2^2*u^3	360	1
119	define_Hfact_4_18	24	5	-315	minor_a2*u^4	1	Hfact_4_18
120	define_Hfact_4_19	16	5	-126	u^5	1	Hfact_4_19
121	define_Hfact_4_20	11	4	1575	minor_a2*u^3	1	Hfact_4_20
122	define_Hfact_4_21	8	4	-630	u^4	-2260/3	1
123	define_Hfact_4_22	6	3	3465	minor_a2*u^2	1	Hfact_4_22
124	define_Hfact_4_23	6	3	-1260	u^3	1	Hfact_4_23
125	define_Hfact_4_24	3	2	2520	minor_a2*u	1	Hfact_4_24
126	define_Hfact_4_25	3	2	-1260	u^2	560	1
127	define_Hfact_4_26	3	1	630	minor_a2	1	Hfact_4_26
128	define_Hfact_4_27	2	1	-630	u	1	Hfact_4_27
129	define_Hfact_5_13	12	4	-15/8	E82^3*Hc_11_0	1	Hfact_5_13
130	define_Hfact_5_14	119	8	189/128	E82^4*Hc_11_0*minor_a2*u^2	1	Hfact_5_14
131	define_Hfact_5_15	30	5	9/8	E82^3*Hc_11_0*u	1	Hfact_5_15
132	define_Hfact_5_16	22	5	324	minor_a2^2*u^3	1864/9	1
133	define_Hfact_5_17	23	5	-189	minor_a2*u^4	1	Hfact_5_17
134	define_Hfact_5_18	15	4	-432	minor_a2^2*u^2	1	Hfact_5_18
135	define_Hfact_5_19	11	4	126	minor_a2*u^3	1	Hfact_5_19
136	define_Hfact_5_20	8	4	-126	u^4	-468	1
137	define_Hfact_5_21	6	3	1323	minor_a2*u^2	1	Hfact_5_21
138	define_Hfact_5_22	6	3	-504	u^3	1	Hfact_5_22
139	define_Hfact_5_23	3	2	1512	minor_a2*u	1	Hfact_5_23
140	define_Hfact_5_24	3	2	-756	u^2	448	1
141	define_Hfact_5_25	3	1	504	minor_a2	1	Hfact_5_25
142	define_Hfact_5_26	2	1	-504	u	1	Hfact_5_26
143	define_Hfact_6_16	12	4	3/8	E82^3*Hc_11_0	1	Hfact_6_16
144	define_Hfact_6_17	13	4	54	minor_a2^2*u^2	1	Hfact_6_17
145	define_Hfact_6_18	11	4	-63	minor_a2*u^3	1	Hfact_6_18
146	define_Hfact_6_19	7	3	-252	minor_a2^2*u	-508/3	1
147	define_Hfact_6_20	6	3	189	minor_a2*u^2	1	Hfact_6_20
148	define_Hfact_6_21	6	3	-84	u^3	1	Hfact_6_21
149	define_Hfact_6_22	3	2	504	minor_a2*u	1	Hfact_6_22
150	define_Hfact_6_23	3	2	-252	u^2	224	1
151	define_Hfact_6_24	3	1	252	minor_a2	1	Hfact_6_24
152	define_Hfact_6_25	2	1	-252	u	1	Hfact_6_25
153	define_Hfact_7_19	6	3	-9	minor_a2*u^2	1	Hfact_7_19
154	define_Hfact_7_20	5	2	-36	minor_a2^2	1	Hfact_7_20
155	define_Hfact_7_21	3	2	72	minor_a2*u	1	Hfact_7_21
156	define_Hfact_7_22	3	2	-36	u^2	64	1
157	define_Hfact_7_23	3	1	72	minor_a2	1	Hfact_7_23
158	define_Hfact_7_24	2	1	-72	u	1	Hfact_7_24
159	define_Hfact_8_22	3	1	9	minor_a2	1	Hfact_8_22
160	define_Hfact_8_23	2	1	-9	u	1	Hfact_8_23
161	inverse_J	13	5	-1/2	B2c_64_0*target_b*Hfact_0_0*Hfact_0_1*Zj	-1	1
162	J_0_1	30	4	-1/2	B2c_63_1*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_1
163	J_1_0	18	4	-1/2	B2c_64_0*target_b*Hfact_0_0*Hfact_1_1	-2	A3c_97_1
164	J_0_2	51	4	-1/2	B2c_62_2*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_2
165	J_1_1	24	4	-1	B2c_64_0*target_b*Hfact_0_1*Hfact_1_1	-4	A3c_96_2
166	J_2_0	6	3	-3/2	B2c_64_0^2*Hfact_1_1	-2	A3c_96_1
167	J_0_3	78	4	-1/2	B2c_61_3*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_3
168	J_1_2	54	4	1/2	B2c_62_2*target_b*Hfact_0_0*Hfact_1_1	-6	A3c_95_3
169	J_2_1	12	4	-1/2	B2c_64_0*target_b*Hfact_1_1^2	-4	A3c_95_2
170	J_0_4	108	4	-1/2	B2c_60_4*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_4
171	J_1_3	78	4	-1	B2c_60_3*target_b*Hfact_0_0*Hfact_0_1	-8	A3c_94_4
172	J_2_2	24	4	-3/2	B2c_64_0*target_b*Hfact_1_1*Hfact_1_2	-6	A3c_94_3
173	J_0_5	144	4	-1/2	B2c_59_5*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_5
174	J_1_4	138	4	-1	B2c_59_4*target_b*Hfact_0_0*Hfact_0_1	-10	A3c_93_5
175	J_2_3	60	4	1/2	B2c_60_3*target_b*Hfact_0_0*Hfact_1_1	48	A3c_97_1
176	J_3_2	6	2	9/2	B2c_60_3*B2c_64_0	-48	A3c_97_0
177	J_0_6	183	4	-1/2	B2c_58_6*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_6
178	J_1_5	177	4	-1	B2c_58_5*target_b*Hfact_0_0*Hfact_0_1	-12	A3c_92_6
179	J_2_4	99	4	1	B2c_59_4*target_b*Hfact_0_0*Hfact_1_1	96	A3c_96_2
180	J_3_3	12	3	2	B2c_60_3*target_b*Hfact_1_1	-8	A3c_92_4
181	J_0_7	228	4	-1/2	B2c_57_7*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_7
182	J_1_6	258	4	-1	B2c_57_6*target_b*Hfact_0_0*Hfact_0_1	-14	A3c_91_7
183	J_2_5	120	4	3/2	B2c_58_5*target_b*Hfact_0_0*Hfact_1_1	144	A3c_95_3
184	J_3_4	30	4	1/2	B2c_60_3*target_b*Hfact_1_1^2	48	A3c_95_2
185	J_0_8	276	4	-1/2	B2c_56_8*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_8
186	J_1_7	312	4	-1	B2c_56_7*target_b*Hfact_0_0*Hfact_0_1	-16	A3c_90_8
187	J_2_6	226	4	21/2	B2c_60_3*target_b*Hfact_0_0*Hfact_0_1	192	A3c_94_4
188	J_3_5	55	4	1	B2c_59_4*target_b*Hfact_1_1^2	96	A3c_94_3
189	J_0_9	330	4	-1/2	B2c_55_9*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_9
190	J_1_8	414	4	-1	B2c_55_8*target_b*Hfact_0_0*Hfact_0_1	-18	A3c_89_9
191	J_2_7	318	4	-3/2	B2c_55_7*target_b*Hfact_0_0*Hfact_0_1	240	A3c_93_5
192	J_3_6	124	4	-21/2	B2c_60_3*target_b*Hfact_0_0*Hfact_1_1	-480	A3c_97_1
193	J_4_5	8	2	9/2	B2c_60_3^2	720	A3c_97_0
194	J_0_10	387	4	-1/2	B2c_54_10*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_10
195	J_1_9	483	4	-1	B2c_54_9*target_b*Hfact_0_0*Hfact_0_1	-20	A3c_88_10
196	J_2_8	379	4	-3/2	B2c_54_8*target_b*Hfact_0_0*Hfact_0_1	288	A3c_92_6
197	J_3_7	148	4	2	B2c_55_7*target_b*Hfact_0_0*Hfact_1_1	-960	A3c_96_2
198	J_4_6	27	3	3/2	B2c_60_3^2*Hfact_1_1	240	A3c_96_1
199	J_0_11	450	4	-1/2	B2c_53_11*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_11
200	J_1_10	606	4	-1	B2c_53_10*target_b*Hfact_0_0*Hfact_0_1	-22	A3c_87_11
201	J_2_9	543	4	-3/2	B2c_53_9*target_b*Hfact_0_0*Hfact_0_1	336	A3c_91_7
202	J_3_8	295	4	5/2	B2c_54_8*target_b*Hfact_0_0*Hfact_1_1	-1440	A3c_95_3
203	J_4_7	59	4	-21/2	B2c_60_3*target_b*Hfact_1_1^2	-240	A3c_95_2
204	J_0_12	516	4	-1/2	B2c_52_12*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_12
205	J_1_11	690	4	-1	B2c_52_11*target_b*Hfact_0_0*Hfact_0_1	-24	A3c_86_12
206	J_2_10	676	4	-3/2	B2c_52_10*target_b*Hfact_0_0*Hfact_0_1	384	A3c_90_8
207	J_3_9	407	4	-42	B2c_60_3*target_b*Hfact_0_0*Hfact_0_1	-1920	A3c_94_4
208	J_4_8	112	4	2	B2c_55_7*target_b*Hfact_1_1^2	-720	A3c_94_3
209	J_0_13	588	4	-1/2	B2c_51_13*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_13
210	J_1_12	834	4	-1	B2c_51_12*target_b*Hfact_0_0*Hfact_0_1	-26	A3c_85_13
211	J_2_11	774	4	-3/2	B2c_51_11*target_b*Hfact_0_0*Hfact_0_1	432	A3c_89_9
212	J_3_10	582	4	-2	B2c_51_10*target_b*Hfact_0_0*Hfact_0_1	-2400	A3c_93_5
213	J_4_9	167	4	105/2	B2c_60_3*target_b*Hfact_0_0*Hfact_1_1	2800	A3c_97_1
214	J_5_8	8	2	-189/2	B2c_60_3^2	-4032	A3c_97_0
215	J_0_14	663	4	-1/2	B2c_50_14*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_14
216	J_1_13	933	4	-1	B2c_50_13*target_b*Hfact_0_0*Hfact_0_1	-28	A3c_84_14
217	J_2_12	991	4	-3/2	B2c_50_12*target_b*Hfact_0_0*Hfact_0_1	480	A3c_88_10
218	J_3_11	670	4	-2	B2c_50_11*target_b*Hfact_0_0*Hfact_0_1	-2880	A3c_92_6
219	J_4_10	343	4	3	B2c_51_10*target_b*Hfact_0_0*Hfact_1_1	5600	A3c_96_2
220	J_5_9	39	3	-42	B2c_60_3^2*Hfact_1_1	-2240	A3c_96_1
221	J_0_15	744	4	-1/2	B2c_49_15*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_15
222	J_1_14	1098	4	-1	B2c_49_14*target_b*Hfact_0_0*Hfact_0_1	-30	A3c_83_15
223	J_2_13	1173	4	-3/2	B2c_49_13*target_b*Hfact_0_0*Hfact_0_1	528	A3c_87_11
224	J_3_12	950	4	-2	B2c_49_12*target_b*Hfact_0_0*Hfact_0_1	-3360	A3c_91_7
225	J_4_11	497	4	7/2	B2c_50_11*target_b*Hfact_0_0*Hfact_1_1	8400	A3c_95_3
226	J_5_10	94	4	105/2	B2c_60_3*target_b*Hfact_1_1^2	560	A3c_95_2
227	J_0_16	828	4	-1/2	B2c_48_16*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_16
228	J_1_15	1212	4	-1	B2c_48_15*target_b*Hfact_0_0*Hfact_0_1	-32	A3c_82_16
229	J_2_14	1300	4	-3/2	B2c_48_14*target_b*Hfact_0_0*Hfact_0_1	576	A3c_86_12
230	J_3_13	1134	4	-2	B2c_48_13*target_b*Hfact_0_0*Hfact_0_1	-3840	A3c_90_8
231	J_4_12	696	4	175/2	B2c_60_3*target_b*Hfact_0_0*Hfact_0_1	11200	A3c_94_4
232	J_5_11	137	4	3	B2c_51_10*target_b*Hfact_1_1^2	3360	A3c_94_3
233	J_0_17	918	4	-1/2	B2c_47_17*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_17
234	J_1_16	1398	4	-1	B2c_47_16*target_b*Hfact_0_0*Hfact_0_1	-34	A3c_81_17
235	J_2_15	1578	4	-3/2	B2c_47_15*target_b*Hfact_0_0*Hfact_0_1	624	A3c_85_13
236	J_3_14	1408	4	-2	B2c_47_14*target_b*Hfact_0_0*Hfact_0_1	-4320	A3c_89_9
237	J_4_13	926	4	-5/2	B2c_47_13*target_b*Hfact_0_0*Hfact_0_1	14000	A3c_93_5
238	J_5_12	339	4	-245/2	B2c_60_3*target_b*Hfact_0_0*Hfact_1_1	-10920	A3c_97_1
239	J_6_11	8	2	945	B2c_60_3^2	3360	A3c_97_0
240	J_0_18	1011	4	-1/2	B2c_46_18*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_18
241	J_1_17	1527	4	-1	B2c_46_17*target_b*Hfact_0_0*Hfact_0_1	-36	A3c_80_18
242	J_2_16	1801	4	-3/2	B2c_46_16*target_b*Hfact_0_0*Hfact_0_1	672	A3c_84_14
243	J_3_15	1558	4	-2	B2c_46_15*target_b*Hfact_0_0*Hfact_0_1	-4800	A3c_88_10
244	J_4_14	1048	4	-5/2	B2c_46_14*target_b*Hfact_0_0*Hfact_0_1	16800	A3c_92_6
245	J_5_13	496	4	4	B2c_47_13*target_b*Hfact_0_0*Hfact_1_1	-21840	A3c_96_2
246	J_6_12	51	3	819/2	B2c_60_3^2*Hfact_1_1	10920	A3c_96_1
247	J_0_19	1110	4	-1/2	B2c_45_19*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_19
248	J_1_18	1734	4	-1	B2c_45_18*target_b*Hfact_0_0*Hfact_0_1	-38	A3c_79_19
249	J_2_17	1965	4	-3/2	B2c_45_17*target_b*Hfact_0_0*Hfact_0_1	720	A3c_83_15
250	J_3_16	1956	4	-2	B2c_45_16*target_b*Hfact_0_0*Hfact_0_1	-5280	A3c_87_11
251	J_4_15	1472	4	-5/2	B2c_45_15*target_b*Hfact_0_0*Hfact_0_1	19600	A3c_91_7
252	J_5_14	692	4	9/2	B2c_46_14*target_b*Hfact_0_0*Hfact_1_1	-32760	A3c_95_3
253	J_6_13	109	4	-245/2	B2c_60_3*target_b*Hfact_1_1^2	3920	A3c_91_5
254	J_0_20	1212	4	-1/2	B2c_44_20*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_20
255	J_1_19	1878	4	-1	B2c_44_19*target_b*Hfact_0_0*Hfact_0_1	-40	A3c_78_20
256	J_2_18	2296	4	-3/2	B2c_44_18*target_b*Hfact_0_0*Hfact_0_1	768	A3c_82_16
257	J_3_17	2221	4	-2	B2c_44_17*target_b*Hfact_0_0*Hfact_0_1	-5760	A3c_86_12
258	J_4_16	1788	4	-5/2	B2c_44_16*target_b*Hfact_0_0*Hfact_0_1	22400	A3c_90_8
259	J_5_15	996	4	-105	B2c_60_3*target_b*Hfact_0_0*Hfact_0_1	-43680	A3c_94_4
260	J_6_14	255	4	4	B2c_47_13*target_b*Hfact_1_1^2	-10920	A3c_94_3
261	J_0_21	1320	4	-1/2	B2c_43_21*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_21
262	J_1_20	2106	4	-1	B2c_43_20*target_b*Hfact_0_0*Hfact_0_1	-42	A3c_77_21
263	J_2_19	2568	4	-3/2	B2c_43_19*target_b*Hfact_0_0*Hfact_0_1	816	A3c_81_17
264	J_3_18	2594	4	-2	B2c_43_18*target_b*Hfact_0_0*Hfact_0_1	-6240	A3c_85_13
265	J_4_17	2144	4	-5/2	B2c_43_17*target_b*Hfact_0_0*Hfact_0_1	25200	A3c_89_9
266	J_5_16	1367	4	12	B2c_47_13*target_b*Hfact_0_0*Hfact_0_1	-54600	A3c_93_5
267	J_6_15	484	4	315/2	B2c_60_3*target_b*Hfact_0_0*Hfact_1_1	30576	A3c_97_1
268	J_7_14	8	2	-5985	B2c_60_3^2	95760	A3c_97_0
269	J_0_22	1431	4	-1/2	B2c_42_22*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_22
270	J_1_21	2265	4	-1	B2c_42_21*target_b*Hfact_0_0*Hfact_0_1	-44	A3c_76_22
271	J_2_20	2761	4	-3/2	B2c_42_20*target_b*Hfact_0_0*Hfact_0_1	864	A3c_80_18
272	J_3_19	2804	4	-2	B2c_42_19*target_b*Hfact_0_0*Hfact_0_1	-6720	A3c_84_14
273	J_4_18	2523	4	-5/2	B2c_42_18*target_b*Hfact_0_0*Hfact_0_1	28000	A3c_88_10
274	J_5_17	1538	4	-3	B2c_42_17*target_b*Hfact_0_0*Hfact_0_1	-65520	A3c_92_6
275	J_6_16	752	4	-20	B2c_47_13*target_b*Hfact_0_0*Hfact_1_1	61152	A3c_96_2
276	J_7_15	56	3	-2184	B2c_60_3^2*Hfact_1_1	-34944	A3c_96_1
277	J_0_23	1548	4	-1/2	B2c_41_23*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_23
278	J_1_22	2514	4	-1	B2c_41_22*target_b*Hfact_0_0*Hfact_0_1	-46	A3c_75_23
279	J_2_21	3153	4	-3/2	B2c_41_21*target_b*Hfact_0_0*Hfact_0_1	912	A3c_79_19
280	J_3_20	3322	4	-2	B2c_41_20*target_b*Hfact_0_0*Hfact_0_1	-7200	A3c_83_15
281	J_4_19	2753	4	-5/2	B2c_41_19*target_b*Hfact_0_0*Hfact_0_1	30800	A3c_87_11
282	J_5_18	2141	4	-3	B2c_41_18*target_b*Hfact_0_0*Hfact_0_1	-76440	A3c_91_7
283	J_6_17	1076	4	11/2	B2c_42_17*target_b*Hfact_0_0*Hfact_1_1	91728	A3c_95_3
284	J_7_16	183	4	315/2	B2c_60_3*target_b*Hfact_1_1^2	-4368	A3c_95_2
285	J_0_24	1668	4	-1/2	B2c_40_24*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_24
286	J_1_23	2688	4	-1	B2c_40_23*target_b*Hfact_0_0*Hfact_0_1	-48	A3c_74_24
287	J_2_22	3466	4	-3/2	B2c_40_22*target_b*Hfact_0_0*Hfact_0_1	960	A3c_78_20
