T 2 H=300*q5_1**2 - 180*q5_1 + 24
P	0	00	scalar_chain	b1	70*q7_1 - 11	28028	6	0
T 4 H=972*q9_1**2 - 540*q9_1 + 70
P	8	01	top_endpoint	a9_0	1	1	49	0
P	8	00	scalar_chain	a5_0	18*q9_1 - 1	13932	50	0
P	7	12	Q_chain	q6_1	18*q9_1 - 5	-1620	41	0
P	7	00	scalar_chain	a6_0	9*q9_1 - 1	1782	45	0
P	6	12	Q_chain	q7_1	18*q9_1 - 5	-1620	36	0
P	6	00	scalar_chain	a7_0	6*q9_1 - 1	252	40	0
P	5	12	Q_chain	q8_1	18*q9_1 - 5	-1620	31	0
P	5	00	scalar_chain	a8_0	9*q9_1 - 2	-162	35	0
P	4	12	Q_chain	q4_0	27*q9_1 - 7	-3402	25	0
P	4	00	scalar_chain	b2	4*q9_1 - 1	-68	30	0
P	3	12	Q_chain	q5_0	180*q9_1 - 47	-153252	19	0
P	3	11	low_P_chain	a1_0	81*q9_1 - 13	54918	20	0
P	3	00	scalar_chain	a10_0	q9_1	70	24	0
P	2	12	Q_chain	q6_0	432*q9_1 - 115	-908820	13	0
P	2	11	low_P_chain	a2_0	720*q9_1 - 119	3785292	14	0
P	2	00	scalar_chain	a11_0	q9_1	70	18	0
P	1	12	Q_chain	q7_0	864*q9_1 - 245	-3708180	7	0
P	1	11	low_P_chain	a3_0	630*q9_1 - 107	2510028	8	0
P	1	00	scalar_chain	a12_0	q9_1	70	12	0
P	0	12	Q_chain	q8_0	9*q9_1 - 5	5670	0	0
P	0	11	endpoint_A	q9_0	54*q9_1 - 5	82620	1	0
P	0	00	scalar_chain	b1	45*q9_1 - 7	19278	6	0
T 5 H=1452*q11_1**2 - 792*q11_1 + 102
P	10	01	top_endpoint	a11_0	1	1	60	0
P	10	00	scalar_chain	a6_0	22*q11_1 - 1	33396	61	0
P	9	12	Q_chain	q7_1	11*q11_1 - 3	-726	52	0
P	9	00	scalar_chain	a7_0	11*q11_1 - 1	5082	56	0
P	8	12	Q_chain	q8_1	11*q11_1 - 3	-726	47	0
P	8	00	scalar_chain	a8_0	22*q11_1 - 3	10164	51	0
P	7	12	Q_chain	q9_1	11*q11_1 - 3	-726	42	0
P	7	00	scalar_chain	a9_0	11*q11_1 - 2	726	46	0
P	6	12	Q_chain	q10_1	11*q11_1 - 3	-726	37	0
P	6	00	scalar_chain	a10_0	22*q11_1 - 5	-1452	41	0
P	5	12	Q_chain	q5_0	66*q11_1 - 17	-24684	31	0
P	5	00	scalar_chain	b2	4*q11_1 - 1	-84	36	0
P	4	12	Q_chain	q6_0	143*q11_1 - 37	-116886	25	0
P	4	11	low_P_chain	a1_0	605*q11_1 - 96	4716822	26	0
P	4	00	scalar_chain	a12_0	q11_1	102	30	0
P	3	12	Q_chain	q7_0	88*q11_1 - 23	-45012	19	0
P	3	11	low_P_chain	a2_0	1100*q11_1 - 179	13998732	20	0
P	3	00	scalar_chain	a13_0	q11_1	102	24	0
P	2	12	Q_chain	q8_0	198*q11_1 - 53	-233772	13	0
P	2	11	low_P_chain	a3_0	6*q11_1 - 1	372	14	0
P	2	00	scalar_chain	a14_0	q11_1	102	18	0
P	1	12	Q_chain	q9_0	66*q11_1 - 19	-24684	7	0
P	1	11	low_P_chain	a4_0	88*q11_1 - 15	71148	8	0
P	1	00	scalar_chain	a15_0	q11_1	102	12	0
P	0	12	Q_chain	q10_0	11*q11_1 - 7	22506	0	0
P	0	11	endpoint_A	q11_0	11*q11_1 - 1	5082	1	0
P	0	00	scalar_chain	b1	110*q11_1 - 17	172788	6	0
T 6 H=2028*q13_1**2 - 1092*q13_1 + 140
P	12	01	top_endpoint	a13_0	1	1	71	0
P	12	00	scalar_chain	a7_0	26*q13_1 - 1	68276	72	0
P	11	12	Q_chain	q8_1	26*q13_1 - 7	-4732	63	0
P	11	00	scalar_chain	a8_0	13*q13_1 - 1	11492	67	0
P	10	12	Q_chain	q9_1	26*q13_1 - 7	-4732	58	0
P	10	00	scalar_chain	a9_0	26*q13_1 - 3	27716	62	0
P	9	12	Q_chain	q10_1	26*q13_1 - 7	-4732	53	0
P	9	00	scalar_chain	a10_0	13*q13_1 - 2	3380	57	0
P	8	12	Q_chain	q11_1	26*q13_1 - 7	-4732	48	0
P	8	00	scalar_chain	a11_0	26*q13_1 - 5	3380	52	0
P	7	12	Q_chain	q12_1	26*q13_1 - 7	-4732	43	0
P	7	00	scalar_chain	a12_0	13*q13_1 - 3	-676	47	0
P	6	12	Q_chain	q6_0	39*q13_1 - 10	-10140	37	0
P	6	00	scalar_chain	b2	4*q13_1 - 1	-100	42	0
P	5	12	Q_chain	q7_0	416*q13_1 - 107	-1160692	31	0
P	5	11	low_P_chain	a1_0	845*q13_1 - 133	13112372	32	0
P	5	00	scalar_chain	a14_0	q13_1	140	36	0
P	4	12	Q_chain	q8_0	1677*q13_1 - 434	-19065228	25	0
P	4	11	low_P_chain	a2_0	1560*q13_1 - 251	40886508	26	0
P	4	00	scalar_chain	a15_0	q13_1	140	30	0
P	3	12	Q_chain	q9_0	4836*q13_1 - 1267	-161223972	19	0
P	3	11	low_P_chain	a3_0	286*q13_1 - 47	1252628	20	0
P	3	00	scalar_chain	a16_0	q13_1	140	24	0
P	2	12	Q_chain	q10_0	26*q13_1 - 7	-4732	13	0
P	2	11	low_P_chain	a4_0	650*q13_1 - 109	5876468	14	0
P	2	00	scalar_chain	a17_0	q13_1	140	18	0
P	1	12	Q_chain	q11_0	24*q13_1 - 7	-3444	7	0
P	1	11	low_P_chain	a5_0	117*q13_1 - 20	172380	8	0
P	1	00	scalar_chain	a18_0	q13_1	140	12	0
P	0	12	Q_chain	q12_0	39*q13_1 - 28	610428	0	0
P	0	11	endpoint_A	q13_0	78*q13_1 - 7	354900	1	0
P	0	00	scalar_chain	b1	13*q13_1 - 2	3380	6	0
