Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
57	:	1788354991.589	     0.069	0	0	0	0	run_cell 2 58
58	:	1788354991.591	     0.067	0	0	0	0	run_cell 2 59
59	:	1788354991.593	     0.069	0	0	0	0	run_cell 2 60
60	:	1788354991.595	     0.068	0	0	0	0	run_cell 2 61
61	:	1788354991.598	     0.067	0	0	0	0	run_cell 2 62
62	:	1788354991.600	     0.069	0	0	0	0	run_cell 2 63
63	:	1788354991.602	     0.068	0	0	0	0	run_cell 2 64
64	:	1788354991.604	     0.070	0	0	0	0	run_cell 2 65
65	:	1788354991.607	     0.067	0	0	0	0	run_cell 2 66
66	:	1788354991.609	     0.069	0	0	0	0	run_cell 2 67
67	:	1788354991.612	     0.069	0	0	0	0	run_cell 2 68
68	:	1788354991.614	     0.069	0	0	0	0	run_cell 2 69
69	:	1788354991.616	     0.070	0	0	0	0	run_cell 2 70
71	:	1788354991.620	     0.070	0	0	0	0	run_cell 2 72
70	:	1788354991.618	     0.073	0	0	0	0	run_cell 2 71
72	:	1788354991.623	     0.070	0	0	0	0	run_cell 2 73
73	:	1788354991.625	     0.068	0	0	0	0	run_cell 2 74
74	:	1788354991.628	     0.068	0	0	0	0	run_cell 2 75
75	:	1788354991.630	     0.067	0	0	0	0	run_cell 2 76
76	:	1788354991.632	     0.069	0	0	0	0	run_cell 2 77
77	:	1788354991.635	     0.068	0	0	0	0	run_cell 2 78
80	:	1788354991.642	     0.069	0	0	0	0	run_cell 2 81
79	:	1788354991.640	     0.072	0	0	0	0	run_cell 2 80
82	:	1788354991.647	     0.069	0	0	0	0	run_cell 2 83
83	:	1788354991.651	     0.068	0	0	0	0	run_cell 2 84
81	:	1788354991.645	     0.078	0	0	0	0	run_cell 2 82
78	:	1788354991.638	     0.085	0	0	0	0	run_cell 2 79
84	:	1788354991.654	     0.069	0	0	0	0	run_cell 2 85
85	:	1788354991.656	     0.070	0	0	0	0	run_cell 2 86
86	:	1788354991.659	     0.069	0	0	0	0	run_cell 2 87
87	:	1788354991.662	     0.068	0	0	0	0	run_cell 2 88
88	:	1788354991.666	     0.069	0	0	0	0	run_cell 2 89
89	:	1788354991.669	     0.068	0	0	0	0	run_cell 2 90
90	:	1788354991.672	     0.068	0	0	0	0	run_cell 2 91
91	:	1788354991.675	     0.068	0	0	0	0	run_cell 2 92
92	:	1788354991.678	     0.069	0	0	0	0	run_cell 2 93
93	:	1788354991.681	     0.066	0	0	0	0	run_cell 2 94
94	:	1788354991.683	     0.069	0	0	0	0	run_cell 2 95
95	:	1788354991.686	     0.069	0	0	0	0	run_cell 2 96
96	:	1788354991.690	     0.067	0	0	0	0	run_cell 2 97
97	:	1788354991.692	     0.068	0	0	0	0	run_cell 2 98
98	:	1788354991.696	     0.066	0	0	0	0	run_cell 2 99
99	:	1788354991.698	     0.068	0	0	0	0	run_cell 2 100
100	:	1788354991.701	     0.066	0	0	0	0	run_cell 2 101
101	:	1788354991.703	     0.067	0	0	0	0	run_cell 2 102
102	:	1788354991.706	     0.069	0	0	0	0	run_cell 2 103
103	:	1788354991.709	     0.067	0	0	0	0	run_cell 2 104
104	:	1788354991.711	     0.068	0	0	0	0	run_cell 2 105
105	:	1788354991.713	     0.072	0	0	0	0	run_cell 2 106
106	:	1788354991.717	     0.068	0	0	0	0	run_cell 2 107
107	:	1788354991.719	     0.067	0	0	0	0	run_cell 2 108
108	:	1788354991.723	     0.069	0	0	0	0	run_cell 2 109
109	:	1788354991.726	     0.066	0	0	0	0	run_cell 2 110
110	:	1788354991.728	     0.067	0	0	0	0	run_cell 2 111
111	:	1788354991.730	     0.069	0	0	0	0	run_cell 2 112
112	:	1788354991.733	     0.065	0	0	0	0	run_cell 2 113
113	:	1788354991.735	     0.068	0	0	0	0	run_cell 2 114
114	:	1788354991.737	     0.069	0	0	0	0	run_cell 2 115
115	:	1788354991.740	     0.068	0	0	0	0	run_cell 2 116
116	:	1788354991.743	     0.069	0	0	0	0	run_cell 2 117
117	:	1788354991.746	     0.066	0	0	0	0	run_cell 2 118
118	:	1788354991.750	     0.069	0	0	0	0	run_cell 2 119
119	:	1788354991.752	     0.069	0	0	0	0	run_cell 2 120
120	:	1788354991.755	     0.066	0	0	0	0	run_cell 2 121
121	:	1788354991.757	     0.068	0	0	0	0	run_cell 2 122
123	:	1788354991.763	     0.069	0	0	0	0	run_cell 2 124
122	:	1788354991.760	     0.075	0	0	0	0	run_cell 2 123
124	:	1788354991.766	     0.070	0	0	0	0	run_cell 2 125
125	:	1788354991.768	     0.069	0	0	0	0	run_cell 2 126
126	:	1788354991.771	     0.070	0	0	0	0	run_cell 2 127
127	:	1788354991.774	     0.067	0	0	0	0	run_cell 2 128
128	:	1788354991.776	     0.069	0	0	0	0	run_cell 2 129
129	:	1788354991.779	     0.067	0	0	0	0	run_cell 2 130
130	:	1788354991.781	     0.069	0	0	0	0	run_cell 2 131
131	:	1788354991.783	     0.068	0	0	0	0	run_cell 2 132
132	:	1788354991.785	     0.067	0	0	0	0	run_cell 2 133
133	:	1788354991.787	     0.068	0	0	0	0	run_cell 2 134
134	:	1788354991.790	     0.069	0	0	0	0	run_cell 2 135
135	:	1788354991.792	     0.067	0	0	0	0	run_cell 2 136
136	:	1788354991.795	     0.066	0	0	0	0	run_cell 2 137
137	:	1788354991.797	     0.069	0	0	0	0	run_cell 2 138
138	:	1788354991.799	     0.069	0	0	0	0	run_cell 2 139
139	:	1788354991.803	     0.068	0	0	0	0	run_cell 2 140
140	:	1788354991.806	     0.069	0	0	0	0	run_cell 2 141
141	:	1788354991.808	     0.067	0	0	0	0	run_cell 2 142
142	:	1788354991.810	     0.070	0	0	0	0	run_cell 2 143
143	:	1788354991.812	     0.068	0	0	0	0	run_cell 2 144
144	:	1788354991.815	     0.069	0	0	0	0	run_cell 2 145
145	:	1788354991.817	     0.070	0	0	0	0	run_cell 2 146
146	:	1788354991.819	     0.068	0	0	0	0	run_cell 2 147
147	:	1788354991.821	     0.069	0	0	0	0	run_cell 2 148
148	:	1788354991.825	     0.072	0	0	0	0	run_cell 2 149
149	:	1788354991.827	     0.072	0	0	0	0	run_cell 2 150
150	:	1788354991.829	     0.069	0	0	0	0	run_cell 2 151
151	:	1788354991.831	     0.072	0	0	0	0	run_cell 2 152
152	:	1788354991.833	     0.070	0	0	0	0	run_cell 2 153
153	:	1788354991.837	     0.068	0	0	0	0	run_cell 2 154
154	:	1788354991.841	     0.069	0	0	0	0	run_cell 2 155
155	:	1788354991.843	     0.070	0	0	0	0	run_cell 2 156
156	:	1788354991.845	     0.068	0	0	0	0	run_cell 2 157
158	:	1788354991.850	     0.069	0	0	0	0	run_cell 2 159
157	:	1788354991.847	     0.072	0	0	0	0	run_cell 2 158
159	:	1788354991.853	     0.068	0	0	0	0	run_cell 2 160
160	:	1788354991.855	     0.068	0	0	0	0	run_cell 2 161
161	:	1788354991.858	     0.068	0	0	0	0	run_cell 2 162
162	:	1788354991.860	     0.071	0	0	0	0	run_cell 2 163
163	:	1788354991.862	     0.069	0	0	0	0	run_cell 2 164
164	:	1788354991.866	     0.069	0	0	0	0	run_cell 2 165
165	:	1788354991.868	     0.069	0	0	0	0	run_cell 2 166
166	:	1788354991.870	     0.071	0	0	0	0	run_cell 2 167
167	:	1788354991.873	     0.069	0	0	0	0	run_cell 2 168
169	:	1788354991.877	     0.071	0	0	0	0	run_cell 2 170
170	:	1788354991.879	     0.069	0	0	0	0	run_cell 2 171
168	:	1788354991.875	     0.075	0	0	0	0	run_cell 2 169
171	:	1788354991.882	     0.072	0	0	0	0	run_cell 2 172
172	:	1788354991.884	     0.072	0	0	0	0	run_cell 2 173
173	:	1788354991.887	     0.069	0	0	0	0	run_cell 2 174
175	:	1788354991.891	     0.066	0	0	0	0	run_cell 2 176
174	:	1788354991.889	     0.072	0	0	0	0	run_cell 2 175
177	:	1788354991.895	     0.069	0	0	0	0	run_cell 2 178
176	:	1788354991.893	     0.071	0	0	0	0	run_cell 2 177
178	:	1788354991.897	     0.070	0	0	0	0	run_cell 2 179
179	:	1788354991.901	     0.072	0	0	0	0	run_cell 2 180
180	:	1788354991.903	     0.071	0	0	0	0	run_cell 2 181
182	:	1788354991.908	     0.069	0	0	0	0	run_cell 2 183
183	:	1788354991.910	     0.069	0	0	0	0	run_cell 2 184
181	:	1788354991.905	     0.074	0	0	0	0	run_cell 2 182
184	:	1788354991.913	     0.069	0	0	0	0	run_cell 2 185
185	:	1788354991.916	     0.068	0	0	0	0	run_cell 2 186
186	:	1788354991.918	     0.068	0	0	0	0	run_cell 2 187
187	:	1788354991.921	     0.068	0	0	0	0	run_cell 2 188
188	:	1788354991.923	     0.069	0	0	0	0	run_cell 2 189
189	:	1788354991.926	     0.069	0	0	0	0	run_cell 2 190
190	:	1788354991.929	     0.068	0	0	0	0	run_cell 2 191
191	:	1788354991.931	     0.071	0	0	0	0	run_cell 2 192
192	:	1788354991.933	     0.069	0	0	0	0	run_cell 2 193
193	:	1788354991.935	     0.070	0	0	0	0	run_cell 2 194
194	:	1788354991.939	     0.069	0	0	0	0	run_cell 2 195
195	:	1788354991.941	     0.069	0	0	0	0	run_cell 2 196
196	:	1788354991.945	     0.067	0	0	0	0	run_cell 2 197
197	:	1788354991.947	     0.069	0	0	0	0	run_cell 2 198
198	:	1788354991.949	     0.069	0	0	0	0	run_cell 2 199
199	:	1788354991.951	     0.069	0	0	0	0	run_cell 2 200
200	:	1788354991.955	     0.069	0	0	0	0	run_cell 3 2
201	:	1788354991.958	     0.068	0	0	0	0	run_cell 3 3
202	:	1788354991.961	     0.067	0	0	0	0	run_cell 3 4
203	:	1788354991.964	     0.069	0	0	0	0	run_cell 3 5
204	:	1788354991.966	     0.069	0	0	0	0	run_cell 3 6
205	:	1788354991.968	     0.068	0	0	0	0	run_cell 3 7
206	:	1788354991.971	     0.068	0	0	0	0	run_cell 3 8
207	:	1788354991.973	     0.069	0	0	0	0	run_cell 3 9
208	:	1788354991.975	     0.069	0	0	0	0	run_cell 3 10
209	:	1788354991.979	     0.069	0	0	0	0	run_cell 3 11
210	:	1788354991.981	     0.068	0	0	0	0	run_cell 3 12
211	:	1788354991.983	     0.068	0	0	0	0	run_cell 3 13
212	:	1788354991.986	     0.066	0	0	0	0	run_cell 3 14
213	:	1788354991.989	     0.066	0	0	0	0	run_cell 3 15
214	:	1788354991.992	     0.066	0	0	0	0	run_cell 3 16
215	:	1788354991.996	     0.067	0	0	0	0	run_cell 3 17
216	:	1788354991.999	     0.066	0	0	0	0	run_cell 3 18
217	:	1788354992.002	     0.067	0	0	0	0	run_cell 3 19
218	:	1788354992.005	     0.068	0	0	0	0	run_cell 3 20
219	:	1788354992.008	     0.069	0	0	0	0	run_cell 3 21
220	:	1788354992.010	     0.069	0	0	0	0	run_cell 3 22
221	:	1788354992.012	     0.069	0	0	0	0	run_cell 3 23
222	:	1788354992.014	     0.068	0	0	0	0	run_cell 3 24
223	:	1788354992.017	     0.069	0	0	0	0	run_cell 3 25
224	:	1788354992.021	     0.070	0	0	0	0	run_cell 3 26
225	:	1788354992.024	     0.067	0	0	0	0	run_cell 3 27
226	:	1788354992.026	     0.066	0	0	0	0	run_cell 3 28
227	:	1788354992.028	     0.069	0	0	0	0	run_cell 3 29
228	:	1788354992.031	     0.069	0	0	0	0	run_cell 3 30
229	:	1788354992.033	     0.069	0	0	0	0	run_cell 3 31
230	:	1788354992.036	     0.066	0	0	0	0	run_cell 3 32
231	:	1788354992.039	     0.069	0	0	0	0	run_cell 3 33
232	:	1788354992.041	     0.069	0	0	0	0	run_cell 3 34
233	:	1788354992.043	     0.069	0	0	0	0	run_cell 3 35
234	:	1788354992.046	     0.068	0	0	0	0	run_cell 3 36
235	:	1788354992.049	     0.066	0	0	0	0	run_cell 3 37
236	:	1788354992.051	     0.067	0	0	0	0	run_cell 3 38
237	:	1788354992.053	     0.068	0	0	0	0	run_cell 3 39
238	:	1788354992.056	     0.068	0	0	0	0	run_cell 3 40
239	:	1788354992.059	     0.069	0	0	0	0	run_cell 3 41
240	:	1788354992.061	     0.067	0	0	0	0	run_cell 3 42
241	:	1788354992.064	     0.069	0	0	0	0	run_cell 3 43
242	:	1788354992.066	     0.068	0	0	0	0	run_cell 3 44
244	:	1788354992.070	     0.069	0	0	0	0	run_cell 3 46
243	:	1788354992.068	     0.073	0	0	0	0	run_cell 3 45
245	:	1788354992.074	     0.068	0	0	0	0	run_cell 3 47
246	:	1788354992.077	     0.068	0	0	0	0	run_cell 3 48
247	:	1788354992.079	     0.069	0	0	0	0	run_cell 3 49
248	:	1788354992.081	     0.069	0	0	0	0	run_cell 3 50
249	:	1788354992.084	     0.069	0	0	0	0	run_cell 3 51
250	:	1788354992.086	     0.067	0	0	0	0	run_cell 3 52
251	:	1788354992.089	     0.066	0	0	0	0	run_cell 3 53
252	:	1788354992.091	     0.066	0	0	0	0	run_cell 3 54
253	:	1788354992.093	     0.071	0	0	0	0	run_cell 3 55
254	:	1788354992.095	     0.069	0	0	0	0	run_cell 3 56
255	:	1788354992.098	     0.066	0	0	0	0	run_cell 3 57
256	:	1788354992.100	     0.068	0	0	0	0	run_cell 3 58
257	:	1788354992.103	     0.069	0	0	0	0	run_cell 3 59
258	:	1788354992.105	     0.071	0	0	0	0	run_cell 3 60
259	:	1788354992.107	     0.069	0	0	0	0	run_cell 3 61
260	:	1788354992.109	     0.072	0	0	0	0	run_cell 3 62
261	:	1788354992.112	     0.069	0	0	0	0	run_cell 3 63
262	:	1788354992.114	     0.066	0	0	0	0	run_cell 3 64
263	:	1788354992.116	     0.068	0	0	0	0	run_cell 3 65
264	:	1788354992.119	     0.068	0	0	0	0	run_cell 3 66
266	:	1788354992.124	     0.067	0	0	0	0	run_cell 3 68
267	:	1788354992.126	     0.068	0	0	0	0	run_cell 3 69
268	:	1788354992.128	     0.068	0	0	0	0	run_cell 3 70
269	:	1788354992.131	     0.067	0	0	0	0	run_cell 3 71
265	:	1788354992.121	     0.078	0	0	0	0	run_cell 3 67
270	:	1788354992.133	     0.070	0	0	0	0	run_cell 3 72
271	:	1788354992.136	     0.069	0	0	0	0	run_cell 3 73
272	:	1788354992.139	     0.068	0	0	0	0	run_cell 3 74
273	:	1788354992.142	     0.068	0	0	0	0	run_cell 3 75
274	:	1788354992.145	     0.066	0	0	0	0	run_cell 3 76
275	:	1788354992.149	     0.068	0	0	0	0	run_cell 3 77
276	:	1788354992.151	     0.066	0	0	0	0	run_cell 3 78
277	:	1788354992.156	     0.068	0	0	0	0	run_cell 3 79
278	:	1788354992.158	     0.065	0	0	0	0	run_cell 3 80
279	:	1788354992.161	     0.066	0	0	0	0	run_cell 3 81
280	:	1788354992.164	     0.068	0	0	0	0	run_cell 3 82
281	:	1788354992.168	     0.069	0	0	0	0	run_cell 3 83
282	:	1788354992.172	     0.069	0	0	0	0	run_cell 3 84
283	:	1788354992.174	     0.069	0	0	0	0	run_cell 3 85
284	:	1788354992.176	     0.070	0	0	0	0	run_cell 3 86
285	:	1788354992.179	     0.069	0	0	0	0	run_cell 3 87
286	:	1788354992.181	     0.069	0	0	0	0	run_cell 3 88
287	:	1788354992.184	     0.071	0	0	0	0	run_cell 3 89
288	:	1788354992.187	     0.068	0	0	0	0	run_cell 3 90
289	:	1788354992.190	     0.066	0	0	0	0	run_cell 3 91
290	:	1788354992.192	     0.068	0	0	0	0	run_cell 3 92
291	:	1788354992.194	     0.068	0	0	0	0	run_cell 3 93
292	:	1788354992.196	     0.069	0	0	0	0	run_cell 3 94
294	:	1788354992.202	     0.068	0	0	0	0	run_cell 3 96
293	:	1788354992.199	     0.076	0	0	0	0	run_cell 3 95
295	:	1788354992.205	     0.070	0	0	0	0	run_cell 3 97
296	:	1788354992.207	     0.068	0	0	0	0	run_cell 3 98
297	:	1788354992.210	     0.066	0	0	0	0	run_cell 3 99
298	:	1788354992.212	     0.068	0	0	0	0	run_cell 3 100
299	:	1788354992.215	     0.067	0	0	0	0	run_cell 3 101
300	:	1788354992.217	     0.068	0	0	0	0	run_cell 3 102
301	:	1788354992.220	     0.068	0	0	0	0	run_cell 3 103
302	:	1788354992.222	     0.068	0	0	0	0	run_cell 3 104
303	:	1788354992.224	     0.068	0	0	0	0	run_cell 3 105
304	:	1788354992.227	     0.069	0	0	0	0	run_cell 3 106
305	:	1788354992.230	     0.066	0	0	0	0	run_cell 3 107
306	:	1788354992.232	     0.067	0	0	0	0	run_cell 3 108
307	:	1788354992.234	     0.069	0	0	0	0	run_cell 3 109
308	:	1788354992.237	     0.068	0	0	0	0	run_cell 3 110
309	:	1788354992.241	     0.069	0	0	0	0	run_cell 3 111
310	:	1788354992.243	     0.069	0	0	0	0	run_cell 3 112
311	:	1788354992.247	     0.068	0	0	0	0	run_cell 3 113
312	:	1788354992.250	     0.068	0	0	0	0	run_cell 3 114
313	:	1788354992.252	     0.069	0	0	0	0	run_cell 3 115
314	:	1788354992.255	     0.067	0	0	0	0	run_cell 3 116
315	:	1788354992.257	     0.071	0	0	0	0	run_cell 3 117
316	:	1788354992.260	     0.068	0	0	0	0	run_cell 3 118
317	:	1788354992.262	     0.067	0	0	0	0	run_cell 3 119
318	:	1788354992.266	     0.069	0	0	0	0	run_cell 3 120
319	:	1788354992.268	     0.068	0	0	0	0	run_cell 3 121
320	:	1788354992.270	     0.068	0	0	0	0	run_cell 3 122
321	:	1788354992.273	     0.068	0	0	0	0	run_cell 3 123
322	:	1788354992.275	     0.067	0	0	0	0	run_cell 3 124
323	:	1788354992.277	     0.068	0	0	0	0	run_cell 3 125
324	:	1788354992.280	     0.068	0	0	0	0	run_cell 3 126
325	:	1788354992.282	     0.067	0	0	0	0	run_cell 3 127
326	:	1788354992.285	     0.067	0	0	0	0	run_cell 3 128
327	:	1788354992.288	     0.067	0	0	0	0	run_cell 3 129
328	:	1788354992.290	     0.068	0	0	0	0	run_cell 3 130
329	:	1788354992.292	     0.067	0	0	0	0	run_cell 3 131
330	:	1788354992.294	     0.071	0	0	0	0	run_cell 3 132
331	:	1788354992.297	     0.069	0	0	0	0	run_cell 3 133
332	:	1788354992.300	     0.069	0	0	0	0	run_cell 3 134
333	:	1788354992.303	     0.066	0	0	0	0	run_cell 3 135
334	:	1788354992.305	     0.069	0	0	0	0	run_cell 3 136
335	:	1788354992.308	     0.069	0	0	0	0	run_cell 3 137
336	:	1788354992.310	     0.068	0	0	0	0	run_cell 3 138
337	:	1788354992.312	     0.068	0	0	0	0	run_cell 3 139
338	:	1788354992.315	     0.067	0	0	0	0	run_cell 3 140
339	:	1788354992.318	     0.066	0	0	0	0	run_cell 3 141
340	:	1788354992.321	     0.065	0	0	0	0	run_cell 3 142
341	:	1788354992.323	     0.068	0	0	0	0	run_cell 3 143
342	:	1788354992.325	     0.069	0	0	0	0	run_cell 3 144
343	:	1788354992.328	     0.065	0	0	0	0	run_cell 3 145
344	:	1788354992.330	     0.068	0	0	0	0	run_cell 3 146
345	:	1788354992.333	     0.068	0	0	0	0	run_cell 3 147
346	:	1788354992.336	     0.069	0	0	0	0	run_cell 3 148
347	:	1788354992.338	     0.067	0	0	0	0	run_cell 3 149
348	:	1788354992.340	     0.068	0	0	0	0	run_cell 3 150
349	:	1788354992.343	     0.070	0	0	0	0	run_cell 3 151
350	:	1788354992.345	     0.069	0	0	0	0	run_cell 3 152
351	:	1788354992.348	     0.067	0	0	0	0	run_cell 3 153
352	:	1788354992.350	     0.068	0	0	0	0	run_cell 3 154
353	:	1788354992.353	     0.068	0	0	0	0	run_cell 3 155
354	:	1788354992.356	     0.067	0	0	0	0	run_cell 3 156
355	:	1788354992.358	     0.068	0	0	0	0	run_cell 3 157
356	:	1788354992.360	     0.068	0	0	0	0	run_cell 3 158
357	:	1788354992.363	     0.067	0	0	0	0	run_cell 3 159
358	:	1788354992.365	     0.069	0	0	0	0	run_cell 3 160
359	:	1788354992.368	     0.069	0	0	0	0	run_cell 3 161
360	:	1788354992.370	     0.068	0	0	0	0	run_cell 3 162
361	:	1788354992.372	     0.069	0	0	0	0	run_cell 3 163
362	:	1788354992.375	     0.071	0	0	0	0	run_cell 3 164
363	:	1788354992.377	     0.069	0	0	0	0	run_cell 3 165
364	:	1788354992.380	     0.068	0	0	0	0	run_cell 3 166
365	:	1788354992.383	     0.068	0	0	0	0	run_cell 3 167
366	:	1788354992.385	     0.069	0	0	0	0	run_cell 3 168
367	:	1788354992.387	     0.069	0	0	0	0	run_cell 3 169
368	:	1788354992.389	     0.068	0	0	0	0	run_cell 3 170
369	:	1788354992.391	     0.068	0	0	0	0	run_cell 3 171
370	:	1788354992.394	     0.067	0	0	0	0	run_cell 3 172
371	:	1788354992.396	     0.069	0	0	0	0	run_cell 3 173
372	:	1788354992.398	     0.069	0	0	0	0	run_cell 3 174
373	:	1788354992.401	     0.069	0	0	0	0	run_cell 3 175
374	:	1788354992.403	     0.069	0	0	0	0	run_cell 3 176
375	:	1788354992.405	     0.071	0	0	0	0	run_cell 3 177
376	:	1788354992.408	     0.069	0	0	0	0	run_cell 3 178
377	:	1788354992.411	     0.069	0	0	0	0	run_cell 3 179
378	:	1788354992.413	     0.069	0	0	0	0	run_cell 3 180
379	:	1788354992.416	     0.070	0	0	0	0	run_cell 3 181
380	:	1788354992.418	     0.068	0	0	0	0	run_cell 3 182
381	:	1788354992.421	     0.069	0	0	0	0	run_cell 3 183
382	:	1788354992.423	     0.069	0	0	0	0	run_cell 3 184
383	:	1788354992.426	     0.067	0	0	0	0	run_cell 3 185
384	:	1788354992.428	     0.069	0	0	0	0	run_cell 3 186
385	:	1788354992.430	     0.069	0	0	0	0	run_cell 3 187
386	:	1788354992.432	     0.069	0	0	0	0	run_cell 3 188
387	:	1788354992.435	     0.069	0	0	0	0	run_cell 3 189
388	:	1788354992.437	     0.069	0	0	0	0	run_cell 3 190
389	:	1788354992.440	     0.069	0	0	0	0	run_cell 3 191
390	:	1788354992.444	     0.066	0	0	0	0	run_cell 3 192
391	:	1788354992.446	     0.070	0	0	0	0	run_cell 3 193
392	:	1788354992.449	     0.070	0	0	0	0	run_cell 3 194
393	:	1788354992.451	     0.068	0	0	0	0	run_cell 3 195
394	:	1788354992.454	     0.066	0	0	0	0	run_cell 3 196
395	:	1788354992.456	     0.070	0	0	0	0	run_cell 3 197
396	:	1788354992.459	     0.069	0	0	0	0	run_cell 3 198
397	:	1788354992.461	     0.069	0	0	0	0	run_cell 3 199
398	:	1788354992.464	     0.068	0	0	0	0	run_cell 3 200
399	:	1788354992.468	     0.067	0	0	0	0	run_cell 4 2
400	:	1788354992.470	     0.066	0	0	0	0	run_cell 4 3
401	:	1788354992.473	     0.067	0	0	0	0	run_cell 4 4
402	:	1788354992.476	     0.066	0	0	0	0	run_cell 4 5
403	:	1788354992.478	     0.084	0	0	0	0	run_cell 4 6
404	:	1788354992.482	     0.125	0	0	0	0	run_cell 4 7
405	:	1788354992.484	     0.896	0	0	0	0	run_cell 4 8
406	:	1788354992.486	     3.141	0	0	0	0	run_cell 4 9
407	:	1788354992.488	     9.357	0	0	0	0	run_cell 4 10
408	:	1788354992.490	    48.318	0	0	0	0	run_cell 4 11
409	:	1788354992.494	   115.102	0	0	0	0	run_cell 4 12
457	:	1788355107.600	   392.847	0	0	0	0	run_cell 4 60
410	:	1788354992.497	   545.148	0	0	0	0	run_cell 4 13
412	:	1788354992.501	   559.815	0	0	0	0	run_cell 4 15
411	:	1788354992.499	   853.802	0	0	0	0	run_cell 4 14
461	:	1788355846.306	    82.892	0	0	0	0	run_cell 4 64
460	:	1788355552.320	   414.626	0	0	0	0	run_cell 4 63
459	:	1788355537.649	   431.799	0	0	0	0	run_cell 4 62
462	:	1788355929.203	    65.741	0	0	0	0	run_cell 4 65
463	:	1788355966.949	    41.706	0	0	0	0	run_cell 4 66
464	:	1788355969.453	    65.452	0	0	0	0	run_cell 4 67
466	:	1788356008.659	    41.493	0	0	0	0	run_cell 4 69
465	:	1788355994.949	    58.180	0	0	0	0	run_cell 4 68
