denominator	multiplicity	first_label	factorization
C^19*V^2 - 25/2*C^18*V^2 + 62*C^17*V^2 - 156*C^16*V^2 + 212*C^15*V^2 - 154*C^14*V^2 + 56*C^13*V^2 - 8*C^12*V^2	13	P12_first_multipliers	[('2*C - 1', 1), ('C', 12), ('C - 2', 2), ('C^2 - 4*C + 2', 2), ('V', 2)]
C^2	2116	current_13_first_only_multipliers	[('C', 2)]
C^2 - 1/2*C	2	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 1)]
C^2 - 4*C + 2	80	current_13_first_only_multipliers	[('C^2 - 4*C + 2', 1)]
C^2*V - 2*C*V	10	current_13_previous_reduced_rows	[('C', 1), ('C - 2', 1), ('V', 1)]
C^2*V - 4*C*V + 2*V	10	current_13_first_only_multipliers	[('C^2 - 4*C + 2', 1), ('V', 1)]
C^2*V^2 - 4*C*V^2 + 2*V^2	22	current_13_first_only_multipliers	[('C^2 - 4*C + 2', 1), ('V', 2)]
C^2*V^2 - 4*C*V^2 + 4*V^2	245	current_13_first_only_multipliers	[('C - 2', 2), ('V', 2)]
C^20 - 4*C^19 + 2*C^18	90	previous_('X-1', 0)_raw_row	[('C', 18), ('C^2 - 4*C + 2', 1)]
C^20*V^2 - 25/2*C^19*V^2 + 62*C^18*V^2 - 156*C^17*V^2 + 212*C^16*V^2 - 154*C^15*V^2 + 56*C^14*V^2 - 8*C^13*V^2	14	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 13), ('C - 2', 2), ('C^2 - 4*C + 2', 2), ('V', 2)]
C^3	2721	current_13_first_only_multipliers	[('C', 3)]
C^3 - 4*C^2 + 2*C	203	current_13_first_only_multipliers	[('C', 1), ('C^2 - 4*C + 2', 1)]
C^3 - 9/2*C^2 + 4*C - 1	26	current_13_first_only_multipliers	[('2*C - 1', 1), ('C^2 - 4*C + 2', 1)]
C^3*V - 2*C^2*V	45	current_13_first_only_multipliers	[('C', 2), ('C - 2', 1), ('V', 1)]
C^3*V - 4*C^2*V + 2*C*V	24	current_13_first_only_multipliers	[('C', 1), ('C^2 - 4*C + 2', 1), ('V', 1)]
C^3*V - 9/2*C^2*V + 4*C*V - V	20	current_13_first_only_multipliers	[('2*C - 1', 1), ('C^2 - 4*C + 2', 1), ('V', 1)]
C^3*V^4 - 6*C^2*V^4 + 10*C*V^4 - 4*V^4	8	current_13_first_only_multipliers	[('C - 2', 1), ('C^2 - 4*C + 2', 1), ('V', 4)]
C^30*V^5 - 41/2*C^29*V^5 + 184*C^28*V^5 - 951*C^27*V^5 + 3132*C^26*V^5 - 6870*C^25*V^5 + 10192*C^24*V^5 - 10180*C^23*V^5 + 6688*C^22*V^5 - 2752*C^21*V^5 + 640*C^20*V^5 - 64*C^19*V^5	1	V44_P12_termwise_clear	[('2*C - 1', 1), ('C', 19), ('C - 2', 4), ('C^2 - 4*C + 2', 3), ('V', 5)]
C^4	2882	current_13_first_only_multipliers	[('C', 4)]
C^4 - 4*C^3 + 2*C^2	390	current_13_first_only_multipliers	[('C', 2), ('C^2 - 4*C + 2', 1)]
C^4 - 9/2*C^3 + 4*C^2 - C	94	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 1), ('C^2 - 4*C + 2', 1)]
C^4*V^2 - 8*C^3*V^2 + 22*C^2*V^2 - 24*C*V^2 + 8*V^2	10	current_13_first_only_multipliers	[('C - 2', 2), ('C^2 - 4*C + 2', 1), ('V', 2)]
C^4*V^3 - 8*C^3*V^3 + 22*C^2*V^3 - 24*C*V^3 + 8*V^3	20	current_13_first_only_multipliers	[('C - 2', 2), ('C^2 - 4*C + 2', 1), ('V', 3)]
C^4*V^4 - 8*C^3*V^4 + 22*C^2*V^4 - 24*C*V^4 + 8*V^4	4	current_13_first_only_multipliers	[('C - 2', 2), ('C^2 - 4*C + 2', 1), ('V', 4)]
C^5	2926	current_13_first_only_multipliers	[('C', 5)]
C^5 - 17/2*C^4 + 24*C^3 - 26*C^2 + 12*C - 2	78	current_13_first_only_multipliers	[('2*C - 1', 1), ('C^2 - 4*C + 2', 2)]
C^5 - 4*C^4 + 2*C^3	633	current_13_first_only_multipliers	[('C', 3), ('C^2 - 4*C + 2', 1)]
C^5 - 8*C^4 + 22*C^3 - 24*C^2 + 8*C	2	current_13_first_only_multipliers	[('C', 1), ('C - 2', 2), ('C^2 - 4*C + 2', 1)]
C^5 - 9/2*C^4 + 4*C^3 - C^2	161	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 2), ('C^2 - 4*C + 2', 1)]
C^5*V - 17/2*C^4*V + 24*C^3*V - 26*C^2*V + 12*C*V - 2*V	29	current_13_first_only_multipliers	[('2*C - 1', 1), ('C^2 - 4*C + 2', 2), ('V', 1)]
C^5*V - 17/2*C^4*V + 26*C^3*V - 35*C^2*V + 20*C*V - 4*V	4	current_13_first_only_multipliers	[('2*C - 1', 1), ('C - 2', 2), ('C^2 - 4*C + 2', 1), ('V', 1)]
C^5*V - 8*C^4*V + 22*C^3*V - 24*C^2*V + 8*C*V	8	current_13_first_only_multipliers	[('C', 1), ('C - 2', 2), ('C^2 - 4*C + 2', 1), ('V', 1)]
C^5*V^2 - 17/2*C^4*V^2 + 24*C^3*V^2 - 26*C^2*V^2 + 12*C*V^2 - 2*V^2	16	current_13_first_only_multipliers	[('2*C - 1', 1), ('C^2 - 4*C + 2', 2), ('V', 2)]
C^5*V^2 - 17/2*C^4*V^2 + 26*C^3*V^2 - 35*C^2*V^2 + 20*C*V^2 - 4*V^2	20	current_13_first_only_multipliers	[('2*C - 1', 1), ('C - 2', 2), ('C^2 - 4*C + 2', 1), ('V', 2)]
C^5*V^3 - 17/2*C^4*V^3 + 26*C^3*V^3 - 35*C^2*V^3 + 20*C*V^3 - 4*V^3	12	current_13_first_only_multipliers	[('2*C - 1', 1), ('C - 2', 2), ('C^2 - 4*C + 2', 1), ('V', 3)]
C^5*V^5 - 10*C^4*V^5 + 38*C^3*V^5 - 68*C^2*V^5 + 56*C*V^5 - 16*V^5	2	current_13_first_only_multipliers	[('C - 2', 3), ('C^2 - 4*C + 2', 1), ('V', 5)]
C^6	2489	current_13_first_only_multipliers	[('C', 6)]
C^6 - 17/2*C^5 + 24*C^4 - 26*C^3 + 12*C^2 - 2*C	172	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 1), ('C^2 - 4*C + 2', 2)]
C^6 - 17/2*C^5 + 26*C^4 - 35*C^3 + 20*C^2 - 4*C	8	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 1), ('C - 2', 2), ('C^2 - 4*C + 2', 1)]
C^6 - 4*C^5 + 2*C^4	970	current_13_first_only_multipliers	[('C', 4), ('C^2 - 4*C + 2', 1)]
C^6 - 8*C^5 + 22*C^4 - 24*C^3 + 8*C^2	1	current_13_first_only_multipliers	[('C', 2), ('C - 2', 2), ('C^2 - 4*C + 2', 1)]
C^6 - 9/2*C^5 + 4*C^4 - C^3	280	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 3), ('C^2 - 4*C + 2', 1)]
C^6*V - 17/2*C^5*V + 24*C^4*V - 26*C^3*V + 12*C^2*V - 2*C*V	24	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 1), ('C^2 - 4*C + 2', 2), ('V', 1)]
C^6*V - 17/2*C^5*V + 26*C^4*V - 35*C^3*V + 20*C^2*V - 4*C*V	6	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 1), ('C - 2', 2), ('C^2 - 4*C + 2', 1), ('V', 1)]
C^6*V^3 - 12*C^5*V^3 + 58*C^4*V^3 - 144*C^3*V^3 + 192*C^2*V^3 - 128*C*V^3 + 32*V^3	2	current_13_first_only_multipliers	[('C - 2', 4), ('C^2 - 4*C + 2', 1), ('V', 3)]
C^6*V^4 - 12*C^5*V^4 + 58*C^4*V^4 - 144*C^3*V^4 + 192*C^2*V^4 - 128*C*V^4 + 32*V^4	2	current_13_first_only_multipliers	[('C - 2', 4), ('C^2 - 4*C + 2', 1), ('V', 4)]
C^6*V^5 - 12*C^5*V^5 + 58*C^4*V^5 - 144*C^3*V^5 + 192*C^2*V^5 - 128*C*V^5 + 32*V^5	8	current_13_first_only_multipliers	[('C - 2', 4), ('C^2 - 4*C + 2', 1), ('V', 5)]
C^6*V^6 - 12*C^5*V^6 + 58*C^4*V^6 - 144*C^3*V^6 + 192*C^2*V^6 - 128*C*V^6 + 32*V^6	4	current_13_first_only_multipliers	[('C - 2', 4), ('C^2 - 4*C + 2', 1), ('V', 6)]
C^7	2284	current_13_first_rows	[('C', 7)]
C^7 - 17/2*C^6 + 24*C^5 - 26*C^4 + 12*C^3 - 2*C^2	372	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 2), ('C^2 - 4*C + 2', 2)]
C^7 - 17/2*C^6 + 26*C^5 - 35*C^4 + 20*C^3 - 4*C^2	6	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 2), ('C - 2', 2), ('C^2 - 4*C + 2', 1)]
C^7 - 4*C^6 + 2*C^5	1169	current_13_first_only_multipliers	[('C', 5), ('C^2 - 4*C + 2', 1)]
C^7 - 9/2*C^6 + 4*C^5 - C^4	323	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 4), ('C^2 - 4*C + 2', 1)]
C^7*V^2 - 25/2*C^6*V^2 + 62*C^5*V^2 - 156*C^4*V^2 + 212*C^3*V^2 - 154*C^2*V^2 + 56*C*V^2 - 8*V^2	17	current_13_first_only_multipliers	[('2*C - 1', 1), ('C - 2', 2), ('C^2 - 4*C + 2', 2), ('V', 2)]
C^7*V^2 - 25/2*C^6*V^2 + 64*C^5*V^2 - 173*C^4*V^2 + 264*C^3*V^2 - 224*C^2*V^2 + 96*C*V^2 - 16*V^2	2	current_13_first_only_multipliers	[('2*C - 1', 1), ('C - 2', 4), ('C^2 - 4*C + 2', 1), ('V', 2)]
C^7*V^3 - 25/2*C^6*V^3 + 62*C^5*V^3 - 156*C^4*V^3 + 212*C^3*V^3 - 154*C^2*V^3 + 56*C*V^3 - 8*V^3	17	current_13_first_only_multipliers	[('2*C - 1', 1), ('C - 2', 2), ('C^2 - 4*C + 2', 2), ('V', 3)]
C^7*V^3 - 25/2*C^6*V^3 + 64*C^5*V^3 - 173*C^4*V^3 + 264*C^3*V^3 - 224*C^2*V^3 + 96*C*V^3 - 16*V^3	2	current_13_first_only_multipliers	[('2*C - 1', 1), ('C - 2', 4), ('C^2 - 4*C + 2', 1), ('V', 3)]
C^7*V^4 - 25/2*C^6*V^4 + 62*C^5*V^4 - 156*C^4*V^4 + 212*C^3*V^4 - 154*C^2*V^4 + 56*C*V^4 - 8*V^4	4	current_13_first_only_multipliers	[('2*C - 1', 1), ('C - 2', 2), ('C^2 - 4*C + 2', 2), ('V', 4)]
C^7*V^4 - 25/2*C^6*V^4 + 64*C^5*V^4 - 173*C^4*V^4 + 264*C^3*V^4 - 224*C^2*V^4 + 96*C*V^4 - 16*V^4	10	current_13_first_only_multipliers	[('2*C - 1', 1), ('C - 2', 4), ('C^2 - 4*C + 2', 1), ('V', 4)]
C^7*V^5 - 25/2*C^6*V^5 + 64*C^5*V^5 - 173*C^4*V^5 + 264*C^3*V^5 - 224*C^2*V^5 + 96*C*V^5 - 16*V^5	4	current_13_first_only_multipliers	[('2*C - 1', 1), ('C - 2', 4), ('C^2 - 4*C + 2', 1), ('V', 5)]
C^8	2030	current_13_first_rows	[('C', 8)]
C^8 - 17/2*C^7 + 24*C^6 - 26*C^5 + 12*C^4 - 2*C^3	670	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 3), ('C^2 - 4*C + 2', 2)]
C^8 - 25/2*C^7 + 62*C^6 - 156*C^5 + 212*C^4 - 154*C^3 + 56*C^2 - 8*C	4	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 1), ('C - 2', 2), ('C^2 - 4*C + 2', 2)]
C^8 - 4*C^7 + 2*C^6	1352	current_13_first_only_multipliers	[('C', 6), ('C^2 - 4*C + 2', 1)]
C^8 - 9/2*C^7 + 4*C^6 - C^5	327	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 5), ('C^2 - 4*C + 2', 1)]
C^8*V - 25/2*C^7*V + 62*C^6*V - 156*C^5*V + 212*C^4*V - 154*C^3*V + 56*C^2*V - 8*C*V	4	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 1), ('C - 2', 2), ('C^2 - 4*C + 2', 2), ('V', 1)]
C^8*V^7 - 16*C^7*V^7 + 110*C^6*V^7 - 424*C^5*V^7 + 1000*C^4*V^7 - 1472*C^3*V^7 + 1312*C^2*V^7 - 640*C*V^7 + 128*V^7	2	current_13_first_only_multipliers	[('C - 2', 6), ('C^2 - 4*C + 2', 1), ('V', 7)]
C^9	1541	current_13_first_only_multipliers	[('C', 9)]
C^9 - 17/2*C^8 + 24*C^7 - 26*C^6 + 12*C^5 - 2*C^4	1073	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 4), ('C^2 - 4*C + 2', 2)]
C^9 - 25/2*C^8 + 62*C^7 - 156*C^6 + 212*C^5 - 154*C^4 + 56*C^3 - 8*C^2	16	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 2), ('C - 2', 2), ('C^2 - 4*C + 2', 2)]
C^9 - 4*C^8 + 2*C^7	1231	current_13_first_only_multipliers	[('C', 7), ('C^2 - 4*C + 2', 1)]
C^9 - 9/2*C^8 + 4*C^7 - C^6	355	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 6), ('C^2 - 4*C + 2', 1)]
C^9*V^4 - 33/2*C^8*V^4 + 116*C^7*V^4 - 454*C^6*V^4 + 1084*C^5*V^4 - 1626*C^4*V^4 + 1520*C^3*V^4 - 848*C^2*V^4 + 256*C*V^4 - 32*V^4	2	current_13_first_only_multipliers	[('2*C - 1', 1), ('C - 2', 4), ('C^2 - 4*C + 2', 2), ('V', 4)]
C^9*V^5 - 33/2*C^8*V^5 + 116*C^7*V^5 - 454*C^6*V^5 + 1084*C^5*V^5 - 1626*C^4*V^5 + 1520*C^3*V^5 - 848*C^2*V^5 + 256*C*V^5 - 32*V^5	2	current_13_first_only_multipliers	[('2*C - 1', 1), ('C - 2', 4), ('C^2 - 4*C + 2', 2), ('V', 5)]
C^9*V^6 - 33/2*C^8*V^6 + 118*C^7*V^6 - 479*C^6*V^6 + 1212*C^5*V^6 - 1972*C^4*V^6 + 2048*C^3*V^6 - 1296*C^2*V^6 + 448*C*V^6 - 64*V^6	2	current_13_first_only_multipliers	[('2*C - 1', 1), ('C - 2', 6), ('C^2 - 4*C + 2', 1), ('V', 6)]
