CONDITIONAL on EXACT-N	D	m	M_tuple	V_s	u	e	branch_type_count	distinct_weight_count	distinct_weights
CONDITIONAL on EXACT-N	105	42	70,103	4	12	5	12	12	10/57,140/247,18/19,680/513,550/323,1620/779,140/57,592/209,1890/589,4700/1311,1430/361,360/83
CONDITIONAL on EXACT-N	105	42	70,103	5	15	5	15	15	5/12,35/26,9/4,85/27,275/68,405/82,35/6,74/11,945/124,1175/138,715/76,855/83,403/36,2345/194,675/52
CONDITIONAL on EXACT-N	105	42	70,103	6	18	5	18	18	50/87,700/377,90/29,3400/783,2750/493,8100/1189,700/87,2960/319,9450/899,23500/2001,7150/551,34200/2407,4030/261,46900/2813,6750/377,61600/3219,34850/1711,108/5
CONDITIONAL on EXACT-N	105	42	77,103	4	12	5	12	12	1/9,20/39,9/10,104/81,5/3,84/41,175/72,464/165,99/31,740/207,451/114,360/83
CONDITIONAL on EXACT-N	105	42	77,103	5	15	5	15	15	5/19,300/247,81/38,520/171,75/19,3780/779,875/152,1392/209,4455/589,3700/437,6765/722,16200/1577,637/57,22260/1843,675/52
CONDITIONAL on EXACT-N	105	42	77,103	6	18	5	18	18	25/69,500/299,135/46,2600/621,125/23,6300/943,4375/552,2320/253,7425/713,18500/1587,11275/874,27000/1909,3185/207,37100/2231,21375/1196,48800/2553,27625/1357,108/5
CONDITIONAL on EXACT-N	105	42	91,103	4	12	5	11	11	20/91,9/14,200/189,25/17,540/287,55/24,208/77,675/217,1700/483,55/14,360/83
CONDITIONAL on EXACT-N	105	42	91,103	5	15	5	14	14	20/39,3/2,200/81,175/51,180/41,385/72,208/33,225/31,1700/207,55/6,840/83,299/27,3500/291,675/52
CONDITIONAL on EXACT-N	105	42	91,103	6	18	5	17	17	100/143,45/22,1000/297,875/187,2700/451,175/24,1040/121,3375/341,8500/759,25/2,12600/913,1495/99,17500/1067,10125/572,23200/1221,13175/649,108/5
CONDITIONAL on EXACT-N	105	42	98,103	4	12	5	9	9	40/81,50/51,60/41,35/18,80/33,90/31,700/207,220/57,360/83
CONDITIONAL on EXACT-N	105	42	98,103	5	15	5	12	12	10/9,75/34,135/41,35/8,60/11,405/62,175/23,165/19,810/83,65/6,1155/97,675/52
CONDITIONAL on EXACT-N	105	42	98,103	6	18	5	15	15	40/27,50/17,180/41,35/6,80/11,270/31,700/69,220/19,1080/83,130/9,1540/97,225/13,2080/111,1190/59,108/5
CONDITIONAL on EXACT-N	105	63	-56,103	4	12	5	12	12	300/637,86/91,2970/2093,5340/2821,400/169,12150/4277,474/143,7240/1911,27540/6461,34050/7189,13750/2639,108/19
CONDITIONAL on EXACT-N	105	63	-56,103	5	15	5	15	15	150/133,43/19,1485/437,2670/589,1400/247,6075/893,1659/209,3620/399,13770/1349,17025/1501,6875/551,4914/361,28860/1957,11165/703,2025/119
CONDITIONAL on EXACT-N	105	63	-56,103	6	18	5	18	18	1500/959,430/137,14850/3151,26700/4247,14000/1781,60750/6439,16590/1507,36200/2877,137700/9727,170250/10823,68750/3973,49140/2603,288600/14111,111650/5069,384750/16303,438000/17399,32980/1233,4050/143
CONDITIONAL on EXACT-N	105	63	-49,103	4	12	5	12	12	95/203,82/87,945/667,1700/899,2675/1131,3870/1363,1057/319,6920/1827,8775/2059,10850/2291,13145/2523,108/19
CONDITIONAL on EXACT-N	105	63	-49,103	5	15	5	15	15	855/763,246/109,8505/2507,15300/3379,8025/1417,34830/5123,9513/1199,6920/763,78975/7739,97650/8611,39435/3161,28188/2071,165555/11227,64050/4033,2025/119
CONDITIONAL on EXACT-N	105	63	-49,103	6	18	5	18	18	1425/917,410/131,14175/3013,25500/4061,13375/1703,58050/6157,15855/1441,34600/2751,131625/9301,162750/10349,65725/3799,46980/2489,275925/13493,106750/4847,367875/15589,418800/16637,31535/1179,4050/143
CONDITIONAL on EXACT-N	105	63	-35,103	4	12	5	12	12	255/553,74/79,2565/1817,4620/2449,2425/1027,10530/3713,2877/869,6280/1659,23895/5609,29550/6241,11935/2291,108/19
CONDITIONAL on EXACT-N	105	63	-35,103	5	15	5	15	15	85/77,74/33,855/253,140/31,2425/429,3510/517,959/121,6280/693,7965/781,9850/869,1085/87,2844/209,16705/1133,19390/1221,2025/119
CONDITIONAL on EXACT-N	105	63	-35,103	6	18	5	18	18	75/49,370/119,12825/2737,3300/527,12125/1547,52650/5593,2055/187,31400/2499,119475/8449,147750/9401,8525/493,42660/2261,250575/12257,13850/629,334125/14161,380400/15113,1685/63,4050/143
CONDITIONAL on EXACT-N	105	63	-28,103	4	12	5	12	12	16/35,14/15,162/115,292/155,92/39,666/235,182/55,1192/315,1512/355,374/79,2266/435,108/19
CONDITIONAL on EXACT-N	105	63	-28,103	5	15	5	15	15	360/329,105/47,3645/1081,6570/1457,3450/611,14985/2209,4095/517,2980/329,34020/3337,42075/3713,16995/1363,12150/893,71370/4841,27615/1739,2025/119
CONDITIONAL on EXACT-N	105	63	-28,103	6	18	5	18	18	1200/791,350/113,12150/2599,21900/3503,11500/1469,49950/5311,13650/1243,29800/2373,113400/8023,140250/8927,56650/3277,40500/2147,237900/11639,92050/4181,317250/13447,361200/14351,27200/1017,4050/143
CONDITIONAL on EXACT-N	105	63	-14,103	4	12	5	12	12	30/67,62/67,2160/1541,3900/2077,2050/871,8910/3149,2436/737,760/201,20250/4757,25050/5293,10120/1943,108/19
CONDITIONAL on EXACT-N	105	63	-14,103	5	15	5	15	15	15/14,31/14,540/161,975/217,1025/182,4455/658,87/11,190/21,10125/994,12525/1106,2530/203,1809/133,21255/1442,1175/74,2025/119
CONDITIONAL on EXACT-N	105	63	-14,103	6	18	5	18	18	150/101,310/101,10800/2323,19500/3131,10250/1313,44550/4747,12180/1111,3800/303,101250/7171,125250/7979,50600/2929,36180/1919,212550/10403,82250/3737,40500/1717,322800/12827,24310/909,4050/143
CONDITIONAL on EXACT-N	105	63	-7,103	4	12	5	12	12	65/147,58/63,225/161,1220/651,275/117,930/329,109/33,5000/1323,2115/497,7850/1659,9515/1827,108/19
CONDITIONAL on EXACT-N	105	63	-7,103	5	15	5	15	15	585/553,174/79,6075/1817,10980/2449,5775/1027,25110/3713,6867/869,5000/553,57105/5609,70650/6241,28545/2291,20412/1501,119925/8137,46410/2923,2025/119
CONDITIONAL on EXACT-N	105	63	-7,103	6	18	5	18	18	195/133,58/19,2025/437,3660/589,1925/247,8370/893,2289/209,5000/399,19035/1349,23550/1501,9515/551,6804/361,39975/1957,15470/703,53325/2261,60720/2413,4573/171,4050/143
CONDITIONAL on EXACT-N	105	63	7,103	4	12	5	12	12	3/7,10/11,351/253,636/341,335/143,1458/517,399/121,872/231,3321/781,4110/869,151/29,108/19
CONDITIONAL on EXACT-N	105	63	7,103	5	15	5	15	15	165/161,50/23,1755/529,3180/713,1675/299,7290/1081,1995/253,4360/483,16605/1633,20550/1817,8305/667,5940/437,34905/2369,13510/851,2025/119
CONDITIONAL on EXACT-N	105	63	7,103	6	18	5	18	18	825/581,250/83,8775/1909,15900/2573,8375/1079,36450/3901,9975/913,21800/1743,83025/5893,102750/6557,41525/2407,29700/1577,174525/8549,67550/3071,232875/9877,265200/10541,19975/747,4050/143
CONDITIONAL on EXACT-N	105	63	14,103	4	12	5	12	12	50/119,46/51,540/391,980/527,1550/663,2250/799,56/17,4040/1071,5130/1207,6350/1343,7700/1479,108/19
CONDITIONAL on EXACT-N	105	63	14,103	5	15	5	15	15	225/224,69/32,1215/368,2205/496,2325/416,10125/1504,63/8,505/56,23085/2272,28575/2528,5775/464,4131/304,48555/3296,18795/1184,2025/119
CONDITIONAL on EXACT-N	105	63	14,103	6	18	5	18	18	750/539,230/77,8100/1771,2100/341,7750/1001,33750/3619,120/11,20200/1617,76950/5467,95250/6083,500/29,27540/1463,161850/7931,8950/407,216000/9163,246000/9779,18530/693,4050/143
CONDITIONAL on EXACT-N	105	63	28,103	4	12	5	12	12	120/301,38/43,1350/989,2460/1333,100/43,5670/2021,1554/473,3400/903,12960/3053,16050/3397,6490/1247,108/19
CONDITIONAL on EXACT-N	105	63	28,103	5	15	5	15	15	20/21,19/9,75/23,410/93,50/9,315/47,259/33,1700/189,720/71,2675/237,3245/261,258/19,4550/309,5285/333,2025/119
CONDITIONAL on EXACT-N	105	63	28,103	6	18	5	18	18	120/91,38/13,1350/299,2460/403,100/13,5670/611,1554/143,3400/273,12960/923,16050/1027,6490/377,4644/247,2100/103,10570/481,36450/1547,41520/1651,3128/117,4050/143
CONDITIONAL on EXACT-N	105	63	35,103	4	12	5	12	12	5/13,34/39,405/299,740/403,1175/507,1710/611,469/143,440/117,3915/923,4850/1027,5885/1131,108/19
CONDITIONAL on EXACT-N	105	63	35,103	5	15	5	15	15	45/49,102/49,3645/1127,6660/1519,3525/637,15390/2303,603/77,440/49,35235/3479,43650/3871,17655/1421,12636/931,74295/5047,4110/259,2025/119
CONDITIONAL on EXACT-N	105	63	35,103	6	18	5	18	18	75/59,170/59,6075/1357,11100/1829,5875/767,25650/2773,7035/649,2200/177,58725/4189,72750/4661,29425/1711,21060/1121,123825/6077,47950/2183,23625/1003,188400/7493,14195/531,4050/143
CONDITIONAL on EXACT-N	105	63	49,103	4	12	5	12	12	75/217,26/31,945/713,1740/961,925/403,4050/1457,1113/341,2440/651,9315/2201,11550/2449,4675/899,108/19
CONDITIONAL on EXACT-N	105	63	49,103	5	15	5	15	15	75/91,2,945/299,1740/403,925/169,4050/611,1113/143,2440/273,9315/923,11550/1027,4675/377,3348/247,1515/103,7630/481,2025/119
CONDITIONAL on EXACT-N	105	63	49,103	6	18	5	18	18	375/329,130/47,4725/1081,8700/1457,4625/611,20250/2209,5565/517,12200/987,46575/3337,57750/3713,23375/1363,16740/893,98475/4841,38150/1739,131625/5593,150000/5969,11305/423,4050/143
CONDITIONAL on EXACT-N	105	63	56,103	4	12	5	12	12	20/63,22/27,30/23,500/279,800/351,130/47,322/99,2120/567,300/71,3350/711,4070/783,108/19
CONDITIONAL on EXACT-N	105	63	56,103	5	15	5	15	15	90/119,33/17,1215/391,2250/527,1200/221,5265/799,1449/187,1060/119,12150/1207,15075/1343,6105/493,4374/323,25740/1751,9975/629,2025/119
CONDITIONAL on EXACT-N	105	63	56,103	6	18	5	18	18	300/287,110/41,4050/943,7500/1271,4000/533,17550/1927,4830/451,10600/861,40500/2911,50250/3239,20350/1189,14580/779,85800/4223,33250/1517,6750/287,130800/5207,9860/369,4050/143
CONDITIONAL on EXACT-N	105	63	70,103	4	12	5	12	12	30/133,14/19,540/437,1020/589,550/247,2430/893,672/209,1480/399,5670/1349,7050/1501,2860/551,108/19
CONDITIONAL on EXACT-N	105	63	70,103	5	15	5	15	15	15/28,7/4,135/46,255/62,275/52,1215/188,84/11,185/21,2835/284,3525/316,715/58,27/2,6045/412,2345/148,2025/119
CONDITIONAL on EXACT-N	105	63	70,103	6	18	5	18	18	150/203,70/29,2700/667,5100/899,2750/377,12150/1363,3360/319,7400/609,28350/2059,35250/2291,14300/841,540/29,60450/2987,23450/1073,81000/3451,92400/3683,6970/261,4050/143
CONDITIONAL on EXACT-N	105	63	77,103	4	12	5	12	12	1/7,2/3,27/23,52/31,85/39,126/47,35/11,232/63,297/71,370/79,451/87,108/19
CONDITIONAL on EXACT-N	105	63	77,103	5	15	5	15	15	45/133,30/19,1215/437,2340/589,1275/247,5670/893,1575/209,1160/133,13365/1349,16650/1501,6765/551,4860/361,28665/1957,11130/703,2025/119
CONDITIONAL on EXACT-N	105	63	77,103	6	18	5	18	18	75/161,50/23,2025/529,3900/713,2125/299,9450/1081,2625/253,5800/483,22275/1633,27750/1817,11275/667,8100/437,47775/2369,18550/851,64125/2737,73200/2921,5525/207,4050/143
CONDITIONAL on EXACT-N	105	63	91,103	4	12	5	11	11	2/7,135/161,300/217,25/13,810/329,3,520/147,2025/497,2550/553,1045/203,108/19
CONDITIONAL on EXACT-N	105	63	91,103	5	15	5	14	14	2/3,45/23,100/31,175/39,270/47,7,520/63,675/71,850/79,1045/87,252/19,1495/103,1750/111,2025/119
CONDITIONAL on EXACT-N	105	63	91,103	6	18	5	17	17	10/11,675/253,1500/341,875/143,4050/517,105/11,2600/231,10125/781,12750/869,475/29,3780/209,22425/1133,8750/407,30375/1309,34800/1397,2635/99,4050/143
CONDITIONAL on EXACT-N	105	63	98,103	4	12	5	9	9	20/31,50/39,90/47,28/11,200/63,270/71,350/79,440/87,108/19
CONDITIONAL on EXACT-N	105	63	98,103	5	15	5	12	12	45/31,75/26,405/94,63/11,50/7,1215/142,1575/158,330/29,243/19,2925/206,1155/74,2025/119
CONDITIONAL on EXACT-N	105	63	98,103	6	18	5	15	15	60/31,50/13,270/47,84/11,200/21,810/71,1050/79,440/29,324/19,1950/103,770/37,2700/119,3120/127,238/9,4050/143
CONDITIONAL on EXACT-N	105	84	-77,103	4	12	5	12	12	115/206,1960/1751,2250/1339,1616/721,3175/1133,18360/5459,12530/3193,32800/7313,2079/412,51400/9167,31130/5047,720/107
CONDITIONAL on EXACT-N	105	84	-77,103	5	15	5	15	15	115/86,1960/731,2250/559,1616/301,3175/473,18360/2279,12530/1333,32800/3053,2079/172,51400/3827,31130/2107,74160/4601,21775/1247,20216/1075,1350/67
CONDITIONAL on EXACT-N	105	84	-77,103	6	18	5	18	18	115/62,1960/527,2250/403,1616/217,3175/341,18360/1643,12530/961,32800/2201,2079/124,51400/2759,31130/1519,74160/3317,21775/899,20216/775,58050/2077,132160/4433,37315/1178,5400/161
CONDITIONAL on EXACT-N	105	84	-70,103	4	12	5	12	12	5/9,1880/1683,240/143,1552/693,3050/1089,1960/583,12040/3069,31520/7029,111/22,49400/8811,2720/441,720/107
CONDITIONAL on EXACT-N	105	84	-70,103	5	15	5	15	15	165/124,1410/527,1620/403,1164/217,4575/682,13230/1643,9030/961,23640/2201,2997/248,37050/2759,22440/1519,53460/3317,31395/1798,14574/775,1350/67
CONDITIONAL on EXACT-N	105	84	-70,103	6	18	5	18	18	275/149,9400/2533,10800/1937,7760/1043,15250/1639,88200/7897,60200/4619,157600/10579,4995/298,247000/13261,149600/7301,356400/15943,104650/4321,19432/745,279000/9983,635200/21307,89675/2831,5400/161
CONDITIONAL on EXACT-N	105	84	-56,103	4	12	5	12	12	50/91,1720/1547,1980/1183,1424/637,400/143,16200/4823,1580/403,28960/6461,459/91,45400/8099,27500/4459,720/107
CONDITIONAL on EXACT-N	105	84	-56,103	5	15	5	15	15	25/19,860/323,990/247,712/133,1400/209,8100/1007,5530/589,14480/1349,459/38,22700/1691,13750/931,32760/2033,9620/551,8932/475,1350/67
CONDITIONAL on EXACT-N	105	84	-56,103	6	18	5	18	18	250/137,8600/2329,9900/1781,7120/959,14000/1507,81000/7261,55300/4247,144800/9727,2295/137,227000/12193,137500/6713,327600/14659,96200/3973,17864/685,256500/9179,584000/19591,82450/2603,5400/161
CONDITIONAL on EXACT-N	105	84	-49,103	4	12	5	12	12	95/174,1640/1479,630/377,1360/609,2675/957,5160/1537,10570/2697,27680/6177,585/116,43400/7743,26290/4263,720/107
CONDITIONAL on EXACT-N	105	84	-49,103	5	15	5	15	15	285/218,4920/1853,5670/1417,4080/763,8025/1199,46440/5777,31710/3379,83040/7739,5265/436,130200/9701,78870/5341,187920/11663,55185/3161,10248/545,1350/67
CONDITIONAL on EXACT-N	105	84	-49,103	6	18	5	18	18	475/262,8200/2227,9450/1703,6800/917,13375/1441,77400/6943,52850/4061,138400/9301,8775/524,217000/11659,131450/6419,313200/14017,91975/3799,3416/131,245250/8777,558400/18733,157675/4978,5400/161
CONDITIONAL on EXACT-N	105	84	-35,103	4	12	5	12	12	85/158,1480/1343,1710/1027,176/79,2425/869,14040/4187,9590/2449,25120/5609,1593/316,39400/7031,3410/553,720/107
CONDITIONAL on EXACT-N	105	84	-35,103	5	15	5	15	15	85/66,1480/561,570/143,16/3,2425/363,4680/583,9590/1023,25120/2343,531/44,39400/2937,310/21,18960/1177,16705/957,15512/825,1350/67
CONDITIONAL on EXACT-N	105	84	-35,103	6	18	5	18	18	25/14,7400/2023,8550/1547,880/119,12125/1309,70200/6307,6850/527,125600/8449,7965/476,197000/10591,17050/833,284400/12733,83525/3451,2216/85,222750/7973,507200/17017,8425/266,5400/161
CONDITIONAL on EXACT-N	105	84	-28,103	4	12	5	12	12	8/15,56/51,108/65,1168/525,92/33,888/265,364/93,4768/1065,126/25,1496/267,4532/735,720/107
CONDITIONAL on EXACT-N	105	84	-28,103	5	15	5	15	15	60/47,2100/799,2430/611,1752/329,3450/517,19980/2491,13650/1457,35760/3337,567/47,56100/4183,33990/2303,81000/5029,23790/1363,22092/1175,1350/67
CONDITIONAL on EXACT-N	105	84	-28,103	6	18	5	18	18	200/113,7000/1921,8100/1469,5840/791,11500/1243,66600/5989,45500/3503,119200/8023,1890/113,187000/10057,113300/5537,270000/12091,79300/3277,14728/565,211500/7571,481600/16159,68000/2147,5400/161
CONDITIONAL on EXACT-N	105	84	-14,103	4	12	5	12	12	35/67,1240/1139,1440/871,1040/469,2050/737,11880/3551,8120/2077,21280/4757,675/134,33400/5963,20240/3283,720/107
CONDITIONAL on EXACT-N	105	84	-14,103	5	15	5	15	15	5/4,310/119,360/91,260/49,1025/154,2970/371,290/31,760/71,675/56,8350/623,5060/343,12060/749,7085/406,94/5,1350/67
CONDITIONAL on EXACT-N	105	84	-14,103	6	18	5	18	18	175/101,6200/1717,7200/1313,5200/707,10250/1111,59400/5353,40600/3131,106400/7171,3375/202,167000/8989,101200/4949,241200/10807,70850/2929,2632/101,189000/6767,430400/14443,60775/1919,5400/161
CONDITIONAL on EXACT-N	105	84	-7,103	4	12	5	12	12	65/126,1160/1071,150/91,976/441,25/9,1240/371,1090/279,20000/4473,141/28,31400/5607,19030/3087,720/107
CONDITIONAL on EXACT-N	105	84	-7,103	5	15	5	15	15	195/158,3480/1343,4050/1027,2928/553,525/79,33480/4187,22890/2449,60000/5609,3807/316,94200/7031,57090/3871,136080/8453,39975/2291,37128/1975,1350/67
CONDITIONAL on EXACT-N	105	84	-7,103	6	18	5	18	18	65/38,1160/323,1350/247,976/133,175/19,11160/1007,7630/589,20000/1349,1269/76,31400/1691,19030/931,45360/2033,13325/551,12376/475,35550/1273,7360/247,22865/722,5400/161
CONDITIONAL on EXACT-N	105	84	7,103	4	12	5	12	12	1/2,200/187,18/11,848/385,335/121,1944/583,1330/341,3488/781,1107/220,5480/979,302/49,720/107
CONDITIONAL on EXACT-N	105	84	7,103	5	15	5	15	15	55/46,1000/391,90/23,848/161,1675/253,9720/1219,6650/713,17440/1633,1107/92,27400/2047,16610/1127,39600/2461,11635/667,10808/575,1350/67
CONDITIONAL on EXACT-N	105	84	7,103	6	18	5	18	18	275/166,5000/1411,450/83,4240/581,8375/913,48600/4399,33250/2573,87200/5893,5535/332,137000/7387,83050/4067,198000/8881,58175/2407,10808/415,155250/5561,27200/913,99875/3154,5400/161
CONDITIONAL on EXACT-N	105	84	14,103	4	12	5	12	12	25/51,920/867,360/221,112/51,1550/561,3000/901,6160/1581,16160/3621,171/34,25400/4539,2200/357,720/107
CONDITIONAL on EXACT-N	105	84	14,103	5	15	5	15	15	75/64,345/136,405/104,21/4,2325/352,3375/424,1155/124,1515/142,1539/128,9525/712,825/56,6885/428,16185/928,3759/200,1350/67
CONDITIONAL on EXACT-N	105	84	14,103	6	18	5	18	18	125/77,4600/1309,5400/1001,80/11,7750/847,45000/4081,400/31,80800/5467,2565/154,127000/6853,1000/49,183600/8239,53950/2233,1432/55,144000/5159,328000/11011,46325/1463,5400/161
CONDITIONAL on EXACT-N	105	84	28,103	4	12	5	12	12	20/43,760/731,900/559,656/301,1300/473,7560/2279,5180/1333,13600/3053,216/43,21400/3827,12980/2107,720/107
CONDITIONAL on EXACT-N	105	84	28,103	5	15	5	15	15	10/9,380/153,50/13,328/63,650/99,420/53,2590/279,6800/639,12,10700/801,6490/441,1720/107,4550/261,4228/225,1350/67
CONDITIONAL on EXACT-N	105	84	28,103	6	18	5	18	18	20/13,760/221,900/169,656/91,100/11,7560/689,5180/403,13600/923,216/13,21400/1157,12980/637,30960/1391,700/29,8456/325,24300/871,55360/1859,7820/247,5400/161
CONDITIONAL on EXACT-N	105	84	35,103	4	12	5	12	12	35/78,40/39,270/169,592/273,1175/429,2280/689,4690/1209,12320/2769,261/52,19400/3471,11770/1911,720/107
CONDITIONAL on EXACT-N	105	84	35,103	5	15	5	15	15	15/14,120/49,2430/637,1776/343,3525/539,20520/2597,2010/217,5280/497,2349/196,58200/4361,35310/2401,84240/5243,24765/1421,3288/175,1350/67
CONDITIONAL on EXACT-N	105	84	35,103	6	18	5	18	18	175/118,200/59,4050/767,2960/413,5875/649,34200/3127,23450/1829,61600/4189,3915/236,97000/5251,58850/2891,140400/6313,41275/1711,7672/295,110250/3953,251200/8437,70975/2242,5400/161
CONDITIONAL on EXACT-N	105	84	49,103	4	12	5	12	12	25/62,520/527,630/403,464/217,925/341,5400/1643,3710/961,9760/2201,621/124,15400/2759,9350/1519,720/107
