step|row_slot|variable|unit|row_terms|rhs_terms|rhs
31|176|A2_5_6|90|28|27|27944/1594323*h_0_8*h_1_7^5*A1_0_8-3464/59049*h_0_8*h_1_7^3*h_2_5*A1_0_8-1232/177147*h_1_7^5*A1_0_7-1520/177147*h_1_7^4*h_1_6*A1_0_8+712/6561*h_0_8*h_1_7^2*h_3_3*A1_0_8-152/6561*h_0_8*h_1_7*h_2_5^2*A1_0_8+539/19683*h_1_7^3*h_2_5*A1_0_7+320/19683*h_1_7^3*h_2_4*A1_0_8-40/6561*h_1_7^2*h_1_6*h_2_5*A1_0_8-152/243*h_0_8*h_1_7*h_4_1*A1_0_8+40/243*h_0_8*h_2_5*h_3_3*A1_0_8-49/729*h_1_7^2*h_3_3*A1_0_7-32/729*h_1_7^2*h_3_2*A1_0_8+8/729*h_1_7*h_1_6*h_3_3*A1_0_8+14/729*h_1_7*h_2_5^2*A1_0_7+8/729*h_1_7*h_2_5*h_2_4*A1_0_8+40/729*h_1_6*h_2_5^2*A1_0_8-113/81*h_0_8*A1_0_8*B2_5_8+49/81*h_1_7*h_4_1*A1_0_7+64/81*h_1_7*h_4_0*A1_0_8-8/81*h_1_6*h_4_1*A1_0_8-14/81*h_2_5*h_3_3*A1_0_7-8/81*h_2_5*h_3_2*A1_0_8-8/81*h_2_4*h_3_3*A1_0_8+13/9*A1_0_8*B2_5_7+25/18*A1_0_7*B2_5_8+3/2*B2_5_6
32|288|A3_9_8|162|31|30|-15118015/31381059609*h_1_7^9*A1_0_8+2198984/387420489*h_1_7^7*h_2_5*A1_0_8-334628/43046721*h_1_7^6*h_3_3*A1_0_8-334628/14348907*h_1_7^5*h_2_5^2*A1_0_8+18088/1594323*h_1_7^5*h_4_1*A1_0_8+90440/1594323*h_1_7^4*h_2_5*h_3_3*A1_0_8+180880/4782969*h_1_7^3*h_2_5^3*A1_0_8+8645/177147*h_1_7^4*A1_0_8*B2_5_8-12920/177147*h_1_7^3*h_2_5*h_4_1*A1_0_8-6460/177147*h_1_7^3*h_3_3^2*A1_0_8-6460/59049*h_1_7^2*h_2_5^2*h_3_3*A1_0_8-3230/177147*h_1_7*h_2_5^4*A1_0_8-1235/19683*h_1_7^3*A1_0_8*B2_6_6-1235/6561*h_1_7^2*h_2_5*A1_0_8*B2_5_8+680/6561*h_1_7^2*h_3_3*h_4_1*A1_0_8+680/6561*h_1_7*h_2_5^2*h_4_1*A1_0_8+680/6561*h_1_7*h_2_5*h_3_3^2*A1_0_8+680/19683*h_2_5^3*h_3_3*A1_0_8+65/729*h_1_7^2*A1_0_8*B2_7_4+130/729*h_1_7*h_2_5*A1_0_8*B2_6_6+130/729*h_1_7*h_3_3*A1_0_8*B2_5_8-68/729*h_1_7*h_4_1^2*A1_0_8+65/729*h_2_5^2*A1_0_8*B2_5_8-136/729*h_2_5*h_3_3*h_4_1*A1_0_8-68/2187*h_3_3^3*A1_0_8-13/81*h_1_7*A1_0_8*B2_8_2-13/81*h_2_5*A1_0_8*B2_7_4-13/81*h_3_3*A1_0_8*B2_6_6-13/81*h_4_1*A1_0_8*B2_5_8+13/9*A1_0_8*B2_9_0
33|74|A1_2_1|36|32|31|20480/59049*h_0_8^3*h_1_7^2*A1_0_8-4096/6561*h_0_8^3*h_2_5*A1_0_8-224/729*h_0_8^2*h_1_7^2*A1_0_7-1024/2187*h_0_8^2*h_1_7*h_1_6*A1_0_8-1120/2187*h_0_8*h_0_7*h_1_7^2*A1_0_8+448/729*h_0_8^2*h_2_5*A1_0_7+512/729*h_0_8^2*h_2_4*A1_0_8+896/729*h_0_8*h_0_7*h_2_5*A1_0_8+56/243*h_0_8*h_1_7^2*A1_0_6+280/729*h_0_8*h_1_7*h_1_6*A1_0_7+64/243*h_0_8*h_1_7*h_1_5*A1_0_8+32/243*h_0_8*h_1_6^2*A1_0_8+49/243*h_0_7*h_1_7^2*A1_0_7+224/729*h_0_7*h_1_7*h_1_6*A1_0_8+40/243*h_1_7^2*h_0_6*A1_0_8-16/27*h_0_8*h_2_5*A1_0_6-56/81*h_0_8*h_2_4*A1_0_7-64/81*h_0_8*h_2_3*A1_0_8-49/81*h_0_7*h_2_5*A1_0_7-56/81*h_0_7*h_2_4*A1_0_8-10/81*h_1_7^2*A1_0_5-2/9*h_1_7*h_1_6*A1_0_6-14/81*h_1_7*h_1_5*A1_0_7-8/81*h_1_7*h_1_4*A1_0_8-16/27*h_0_6*h_2_5*A1_0_8-7/81*h_1_6^2*A1_0_7-8/81*h_1_6*h_1_5*A1_0_8+5/9*h_2_5*A1_0_5+2/3*h_2_4*A1_0_6+7/9*h_2_3*A1_0_7+8/9*h_2_2*A1_0_8
34|205|A2_6_4|108|43|42|-53060/4782969*h_0_8*h_1_7^6*A1_0_8+139720/1594323*h_0_8*h_1_7^4*h_2_5*A1_0_8+17864/4782969*h_1_7^6*A1_0_7+18088/1594323*h_1_7^5*h_1_6*A1_0_8-3464/59049*h_0_8*h_1_7^3*h_3_3*A1_0_8-3796/19683*h_0_8*h_1_7^2*h_2_5^2*A1_0_8-6160/177147*h_1_7^4*h_2_5*A1_0_7-1520/177147*h_1_7^4*h_2_4*A1_0_8-12920/177147*h_1_7^3*h_1_6*h_2_5*A1_0_8+712/6561*h_0_8*h_1_7^2*h_4_1*A1_0_8+1424/6561*h_0_8*h_1_7*h_2_5*h_3_3*A1_0_8+1576/19683*h_0_8*h_2_5^3*A1_0_8+539/19683*h_1_7^3*h_3_3*A1_0_7+320/19683*h_1_7^3*h_3_2*A1_0_8+320/6561*h_1_7^2*h_1_6*h_3_3*A1_0_8+616/6561*h_1_7^2*h_2_5^2*A1_0_7+320/6561*h_1_7^2*h_2_5*h_2_4*A1_0_8+680/6561*h_1_7*h_1_6*h_2_5^2*A1_0_8+110/243*h_0_8*h_1_7*A1_0_8*B2_5_8-152/243*h_0_8*h_2_5*h_4_1*A1_0_8+20/243*h_0_8*h_3_3^2*A1_0_8-49/729*h_1_7^2*h_4_1*A1_0_7-32/729*h_1_7^2*h_4_0*A1_0_8-64/729*h_1_7*h_1_6*h_4_1*A1_0_8-98/729*h_1_7*h_2_5*h_3_3*A1_0_7-64/729*h_1_7*h_2_5*h_3_2*A1_0_8+8/729*h_1_7*h_2_4*h_3_3*A1_0_8-64/729*h_1_6*h_2_5*h_3_3*A1_0_8-112/2187*h_2_5^3*A1_0_7-32/729*h_2_5^2*h_2_4*A1_0_8-113/81*h_0_8*A1_0_8*B2_6_6-13/81*h_1_7*A1_0_8*B2_5_7-25/81*h_1_7*A1_0_7*B2_5_8-13/81*h_1_6*A1_0_8*B2_5_8+49/81*h_2_5*h_4_1*A1_0_7+64/81*h_2_5*h_4_0*A1_0_8-8/81*h_2_4*h_4_1*A1_0_8-7/81*h_3_3^2*A1_0_7-8/81*h_3_3*h_3_2*A1_0_8+13/9*A1_0_8*B2_6_5+25/18*A1_0_7*B2_6_6+3/2*B2_6_4
35|309|A3_10_6|180|44|43|-39306839/282429536481*h_1_7^10*A1_0_8+4672841/3486784401*h_1_7^8*h_2_5*A1_0_8-812668/387420489*h_1_7^7*h_3_3*A1_0_8-1338512/387420489*h_1_7^6*h_2_5^2*A1_0_8+153748/43046721*h_1_7^6*h_4_1*A1_0_8+144704/14348907*h_1_7^5*h_2_5*h_3_3*A1_0_8-45220/43046721*h_1_7^4*h_2_5^3*A1_0_8+13832/1594323*h_1_7^5*A1_0_8*B2_5_8-25840/1594323*h_1_7^4*h_2_5*h_4_1*A1_0_8-12920/1594323*h_1_7^4*h_3_3^2*A1_0_8+6460/1594323*h_1_7^3*h_2_5^2*h_3_3*A1_0_8+16150/1594323*h_1_7^2*h_2_5^4*A1_0_8-2470/177147*h_1_7^4*A1_0_8*B2_6_6+1235/177147*h_1_7^3*h_2_5*A1_0_8*B2_5_8+5440/177147*h_1_7^3*h_3_3*h_4_1*A1_0_8-340/59049*h_1_7^2*h_2_5^2*h_4_1*A1_0_8-340/59049*h_1_7^2*h_2_5*h_3_3^2*A1_0_8-6800/177147*h_1_7*h_2_5^3*h_3_3*A1_0_8-646/177147*h_2_5^5*A1_0_8+520/19683*h_1_7^3*A1_0_8*B2_7_4-65/6561*h_1_7^2*h_2_5*A1_0_8*B2_6_6-65/6561*h_1_7^2*h_3_3*A1_0_8*B2_5_8-272/6561*h_1_7^2*h_4_1^2*A1_0_8-650/6561*h_1_7*h_2_5^2*A1_0_8*B2_5_8+136/6561*h_1_7*h_2_5*h_3_3*h_4_1*A1_0_8+68/19683*h_1_7*h_3_3^3*A1_0_8+680/19683*h_2_5^3*h_4_1*A1_0_8+340/6561*h_2_5^2*h_3_3^2*A1_0_8-52/729*h_1_7^2*A1_0_8*B2_8_2+13/729*h_1_7*h_2_5*A1_0_8*B2_7_4+13/729*h_1_7*h_3_3*A1_0_8*B2_6_6+13/729*h_1_7*h_4_1*A1_0_8*B2_5_8+65/729*h_2_5^2*A1_0_8*B2_6_6+130/729*h_2_5*h_3_3*A1_0_8*B2_5_8-68/729*h_2_5*h_4_1^2*A1_0_8-68/729*h_3_3^2*h_4_1*A1_0_8-3/8*h_0_8*B2_5_8^2+104/81*h_1_7*A1_0_8*B2_9_0-13/81*h_2_5*A1_0_8*B2_8_2-13/81*h_3_3*A1_0_8*B2_7_4-13/81*h_4_1*A1_0_8*B2_6_6+26/81*A1_0_8*B2_5_8^2+3/4*B2_5_8*B2_5_7
36|37|A1_1_1|18|46|45|-262144/531441*h_0_8^5*h_1_7*A1_0_8+28672/59049*h_0_8^4*h_1_7*A1_0_7+32768/59049*h_0_8^4*h_1_6*A1_0_8+114688/59049*h_0_8^3*h_0_7*h_1_7*A1_0_8-1024/2187*h_0_8^3*h_1_7*A1_0_6-3584/6561*h_0_8^3*h_1_6*A1_0_7-4096/6561*h_0_8^3*h_1_5*A1_0_8-3136/2187*h_0_8^2*h_0_7*h_1_7*A1_0_7-3584/2187*h_0_8^2*h_0_7*h_1_6*A1_0_8-1024/729*h_0_8^2*h_1_7*h_0_6*A1_0_8-3136/2187*h_0_8*h_0_7^2*h_1_7*A1_0_8+320/729*h_0_8^2*h_1_7*A1_0_5+128/243*h_0_8^2*h_1_6*A1_0_6+448/729*h_0_8^2*h_1_5*A1_0_7+512/729*h_0_8^2*h_1_4*A1_0_8+224/243*h_0_8*h_0_7*h_1_7*A1_0_6+784/729*h_0_8*h_0_7*h_1_6*A1_0_7+896/729*h_0_8*h_0_7*h_1_5*A1_0_8+224/243*h_0_8*h_1_7*h_0_6*A1_0_7+640/729*h_0_8*h_1_7*h_0_5*A1_0_8+256/243*h_0_8*h_0_6*h_1_6*A1_0_8+343/729*h_0_7^2*h_1_7*A1_0_7+392/729*h_0_7^2*h_1_6*A1_0_8+224/243*h_0_7*h_1_7*h_0_6*A1_0_8-32/81*h_0_8*h_1_7*A1_0_4-40/81*h_0_8*h_1_6*A1_0_5-16/27*h_0_8*h_1_5*A1_0_6-56/81*h_0_8*h_1_4*A1_0_7-64/81*h_0_8*h_1_3*A1_0_8-35/81*h_0_7*h_1_7*A1_0_5-14/27*h_0_7*h_1_6*A1_0_6-49/81*h_0_7*h_1_5*A1_0_7-56/81*h_0_7*h_1_4*A1_0_8-4/9*h_1_7*h_0_6*A1_0_6-35/81*h_1_7*h_0_5*A1_0_7-32/81*h_1_7*h_0_4*A1_0_8-14/27*h_0_6*h_1_6*A1_0_7-16/27*h_0_6*h_1_5*A1_0_8-40/81*h_1_6*h_0_5*A1_0_8+1/3*h_1_7*A1_0_3+4/9*h_1_6*A1_0_4+5/9*h_1_5*A1_0_5+2/3*h_1_4*A1_0_6+7/9*h_1_3*A1_0_7+8/9*h_1_2*A1_0_8
37|141|A2_4_7|72|48|47|-16240/177147*h_0_8^2*h_1_7^4*A1_0_8+17056/59049*h_0_8^2*h_1_7^2*h_2_5*A1_0_8+11669/177147*h_0_8*h_1_7^4*A1_0_7+8920/59049*h_0_8*h_1_7^3*h_1_6*A1_0_8+9856/177147*h_0_7*h_1_7^4*A1_0_8-448/2187*h_0_8^2*h_1_7*h_3_3*A1_0_8-224/2187*h_0_8^2*h_2_5^2*A1_0_8-1603/6561*h_0_8*h_1_7^2*h_2_5*A1_0_7-1016/6561*h_0_8*h_1_7^2*h_2_4*A1_0_8-2032/6561*h_0_8*h_1_7*h_1_6*h_2_5*A1_0_8-1624/6561*h_0_7*h_1_7^2*h_2_5*A1_0_8-7/243*h_1_7^4*A1_0_6-1540/19683*h_1_7^3*h_1_6*A1_0_7-760/19683*h_1_7^3*h_1_5*A1_0_8-380/6561*h_1_7^2*h_1_6^2*A1_0_8-64/729*h_0_8^2*h_4_1*A1_0_8+154/729*h_0_8*h_1_7*h_3_3*A1_0_7+40/243*h_0_8*h_1_7*h_3_2*A1_0_8+40/243*h_0_8*h_1_6*h_3_3*A1_0_8+77/729*h_0_8*h_2_5^2*A1_0_7+40/243*h_0_8*h_2_5*h_2_4*A1_0_8+224/729*h_0_7*h_1_7*h_3_3*A1_0_8+112/729*h_0_7*h_2_5^2*A1_0_8+4/27*h_1_7^2*h_2_5*A1_0_6+77/729*h_1_7^2*h_2_4*A1_0_7+40/729*h_1_7^2*h_2_3*A1_0_8+154/729*h_1_7*h_1_6*h_2_5*A1_0_7+80/729*h_1_7*h_1_6*h_2_4*A1_0_8+80/729*h_1_7*h_1_5*h_2_5*A1_0_8+40/729*h_1_6^2*h_2_5*A1_0_8+7/81*h_0_8*h_4_1*A1_0_7+8/81*h_0_8*h_4_0*A1_0_8-56/81*h_0_7*h_4_1*A1_0_8-2/9*h_1_7*h_3_3*A1_0_6-14/81*h_1_7*h_3_2*A1_0_7-8/81*h_1_7*h_3_1*A1_0_8-14/81*h_1_6*h_3_3*A1_0_7-8/81*h_1_6*h_3_2*A1_0_8-8/81*h_1_5*h_3_3*A1_0_8-1/9*h_2_5^2*A1_0_6-14/81*h_2_5*h_2_4*A1_0_7-8/81*h_2_5*h_2_3*A1_0_8-4/81*h_2_4^2*A1_0_8+2/3*h_4_1*A1_0_6+7/9*h_4_0*A1_0_7+13/9*A1_0_8*B2_4_8+3/2*B2_4_7
38|107|A2_3_8|54|59|58|-501760/1594323*h_0_8^3*h_1_7^3*A1_0_8+40960/59049*h_0_8^3*h_1_7*h_2_5*A1_0_8+44576/177147*h_0_8^2*h_1_7^3*A1_0_7+29440/59049*h_0_8^2*h_1_7^2*h_1_6*A1_0_8+66304/177147*h_0_8*h_0_7*h_1_7^3*A1_0_8-4096/6561*h_0_8^3*h_3_3*A1_0_8-448/729*h_0_8^2*h_1_7*h_2_5*A1_0_7-1024/2187*h_0_8^2*h_1_7*h_2_4*A1_0_8-1024/2187*h_0_8^2*h_1_6*h_2_5*A1_0_8-2240/2187*h_0_8*h_0_7*h_1_7*h_2_5*A1_0_8-1016/6561*h_0_8*h_1_7^3*A1_0_6-2296/6561*h_0_8*h_1_7^2*h_1_6*A1_0_7-1376/6561*h_0_8*h_1_7^2*h_1_5*A1_0_8-1376/6561*h_0_8*h_1_7*h_1_6^2*A1_0_8-2450/19683*h_0_7*h_1_7^3*A1_0_7-1624/6561*h_0_7*h_1_7^2*h_1_6*A1_0_8-200/2187*h_1_7^3*h_0_6*A1_0_8+448/729*h_0_8^2*h_3_3*A1_0_7+512/729*h_0_8^2*h_3_2*A1_0_8+896/729*h_0_8*h_0_7*h_3_3*A1_0_8+112/243*h_0_8*h_1_7*h_2_5*A1_0_6+280/729*h_0_8*h_1_7*h_2_4*A1_0_7+64/243*h_0_8*h_1_7*h_2_3*A1_0_8+280/729*h_0_8*h_1_6*h_2_5*A1_0_7+64/243*h_0_8*h_1_6*h_2_4*A1_0_8+64/243*h_0_8*h_1_5*h_2_5*A1_0_8+98/243*h_0_7*h_1_7*h_2_5*A1_0_7+224/729*h_0_7*h_1_7*h_2_4*A1_0_8+224/729*h_0_7*h_1_6*h_2_5*A1_0_8+130/2187*h_1_7^3*A1_0_5+4/27*h_1_7^2*h_1_6*A1_0_6+77/729*h_1_7^2*h_1_5*A1_0_7+40/729*h_1_7^2*h_1_4*A1_0_8+80/243*h_1_7*h_0_6*h_2_5*A1_0_8+77/729*h_1_7*h_1_6^2*A1_0_7+80/729*h_1_7*h_1_6*h_1_5*A1_0_8+40/2187*h_1_6^3*A1_0_8-16/27*h_0_8*h_3_3*A1_0_6-56/81*h_0_8*h_3_2*A1_0_7-64/81*h_0_8*h_3_1*A1_0_8-49/81*h_0_7*h_3_3*A1_0_7-56/81*h_0_7*h_3_2*A1_0_8-20/81*h_1_7*h_2_5*A1_0_5-2/9*h_1_7*h_2_4*A1_0_6-14/81*h_1_7*h_2_3*A1_0_7-8/81*h_1_7*h_2_2*A1_0_8-16/27*h_0_6*h_3_3*A1_0_8-2/9*h_1_6*h_2_5*A1_0_6-14/81*h_1_6*h_2_4*A1_0_7-8/81*h_1_6*h_2_3*A1_0_8-14/81*h_1_5*h_2_5*A1_0_7-8/81*h_1_5*h_2_4*A1_0_8-8/81*h_2_5*h_1_4*A1_0_8+5/9*h_3_3*A1_0_5+2/3*h_3_2*A1_0_6+7/9*h_3_1*A1_0_7+8/9*h_3_0*A1_0_8+3/2*B2_3_8
39|72|A1_2_0|36|61|60|-81920/177147*h_0_8^4*h_1_7^2*A1_0_8+32768/59049*h_0_8^4*h_2_5*A1_0_8+25088/59049*h_0_8^3*h_1_7^2*A1_0_7+40960/59049*h_0_8^3*h_1_7*h_1_6*A1_0_8+7168/6561*h_0_8^2*h_0_7*h_1_7^2*A1_0_8-3584/6561*h_0_8^3*h_2_5*A1_0_7-4096/6561*h_0_8^3*h_2_4*A1_0_8-3584/2187*h_0_8^2*h_0_7*h_2_5*A1_0_8-256/729*h_0_8^2*h_1_7^2*A1_0_6-448/729*h_0_8^2*h_1_7*h_1_6*A1_0_7-1024/2187*h_0_8^2*h_1_7*h_1_5*A1_0_8-512/2187*h_0_8^2*h_1_6^2*A1_0_8-1372/2187*h_0_8*h_0_7*h_1_7^2*A1_0_7-2240/2187*h_0_8*h_0_7*h_1_7*h_1_6*A1_0_8-128/243*h_0_8*h_1_7^2*h_0_6*A1_0_8-196/729*h_0_7^2*h_1_7^2*A1_0_8+128/243*h_0_8^2*h_2_5*A1_0_6+448/729*h_0_8^2*h_2_4*A1_0_7+512/729*h_0_8^2*h_2_3*A1_0_8+784/729*h_0_8*h_0_7*h_2_5*A1_0_7+896/729*h_0_8*h_0_7*h_2_4*A1_0_8+20/81*h_0_8*h_1_7^2*A1_0_5+112/243*h_0_8*h_1_7*h_1_6*A1_0_6+280/729*h_0_8*h_1_7*h_1_5*A1_0_7+64/243*h_0_8*h_1_7*h_1_4*A1_0_8+256/243*h_0_8*h_0_6*h_2_5*A1_0_8+140/729*h_0_8*h_1_6^2*A1_0_7+64/243*h_0_8*h_1_6*h_1_5*A1_0_8+392/729*h_0_7^2*h_2_5*A1_0_8+56/243*h_0_7*h_1_7^2*A1_0_6+98/243*h_0_7*h_1_7*h_1_6*A1_0_7+224/729*h_0_7*h_1_7*h_1_5*A1_0_8+112/729*h_0_7*h_1_6^2*A1_0_8+49/243*h_1_7^2*h_0_6*A1_0_7+40/243*h_1_7^2*h_0_5*A1_0_8+80/243*h_1_7*h_0_6*h_1_6*A1_0_8-40/81*h_0_8*h_2_5*A1_0_5-16/27*h_0_8*h_2_4*A1_0_6-56/81*h_0_8*h_2_3*A1_0_7-64/81*h_0_8*h_2_2*A1_0_8-14/27*h_0_7*h_2_5*A1_0_6-49/81*h_0_7*h_2_4*A1_0_7-56/81*h_0_7*h_2_3*A1_0_8-10/81*h_1_7^2*A1_0_4-20/81*h_1_7*h_1_6*A1_0_5-2/9*h_1_7*h_1_5*A1_0_6-14/81*h_1_7*h_1_4*A1_0_7-8/81*h_1_7*h_1_3*A1_0_8-14/27*h_0_6*h_2_5*A1_0_7-16/27*h_0_6*h_2_4*A1_0_8-1/9*h_1_6^2*A1_0_6-14/81*h_1_6*h_1_5*A1_0_7-8/81*h_1_6*h_1_4*A1_0_8-40/81*h_0_5*h_2_5*A1_0_8-4/81*h_1_5^2*A1_0_8+4/9*h_2_5*A1_0_4+5/9*h_2_4*A1_0_5+2/3*h_2_3*A1_0_6+7/9*h_2_2*A1_0_7+8/9*h_2_1*A1_0_8
40|326|A3_11_4|198|61|60|228694336/2541865828329*h_1_7^11*A1_0_8-393068390/282429536481*h_1_7^9*h_2_5*A1_0_8+4672841/3486784401*h_1_7^8*h_3_3*A1_0_8+28586792/3486784401*h_1_7^7*h_2_5^2*A1_0_8-812668/387420489*h_1_7^7*h_4_1*A1_0_8-5688676/387420489*h_1_7^6*h_2_5*h_3_3*A1_0_8-8700328/387420489*h_1_7^5*h_2_5^3*A1_0_8-255892/43046721*h_1_7^6*A1_0_8*B2_5_8+307496/14348907*h_1_7^5*h_2_5*h_4_1*A1_0_8+72352/14348907*h_1_7^5*h_3_3^2*A1_0_8+768740/14348907*h_1_7^4*h_2_5^2*h_3_3*A1_0_8+1175720/43046721*h_1_7^3*h_2_5^4*A1_0_8+13832/1594323*h_1_7^5*A1_0_8*B2_6_6+69160/1594323*h_1_7^4*h_2_5*A1_0_8*B2_5_8-25840/1594323*h_1_7^4*h_3_3*h_4_1*A1_0_8-109820/1594323*h_1_7^3*h_2_5^2*h_4_1*A1_0_8-51680/1594323*h_1_7^3*h_2_5*h_3_3^2*A1_0_8-109820/1594323*h_1_7^2*h_2_5^3*h_3_3*A1_0_8-16796/1594323*h_1_7*h_2_5^5*A1_0_8-2470/177147*h_1_7^4*A1_0_8*B2_7_4-9880/177147*h_1_7^3*h_2_5*A1_0_8*B2_6_6+1235/177147*h_1_7^3*h_3_3*A1_0_8*B2_5_8+2720/177147*h_1_7^3*h_4_1^2*A1_0_8-4940/59049*h_1_7^2*h_2_5^2*A1_0_8*B2_5_8+5440/59049*h_1_7^2*h_2_5*h_3_3*h_4_1*A1_0_8-340/177147*h_1_7^2*h_3_3^3*A1_0_8+11560/177147*h_1_7*h_2_5^3*h_4_1*A1_0_8+2720/59049*h_1_7*h_2_5^2*h_3_3^2*A1_0_8+2890/177147*h_2_5^4*h_3_3*A1_0_8+520/19683*h_1_7^3*A1_0_8*B2_8_2+520/6561*h_1_7^2*h_2_5*A1_0_8*B2_7_4-65/6561*h_1_7^2*h_3_3*A1_0_8*B2_6_6-65/6561*h_1_7^2*h_4_1*A1_0_8*B2_5_8+520/6561*h_1_7*h_2_5^2*A1_0_8*B2_6_6-130/6561*h_1_7*h_2_5*h_3_3*A1_0_8*B2_5_8-544/6561*h_1_7*h_2_5*h_4_1^2*A1_0_8+68/6561*h_1_7*h_3_3^2*h_4_1*A1_0_8+520/19683*h_2_5^3*A1_0_8*B2_5_8-544/6561*h_2_5^2*h_3_3*h_4_1*A1_0_8+68/19683*h_2_5*h_3_3^3*A1_0_8+3/4*h_0_8*h_1_7*B2_5_8^2-52/729*h_1_7^2*A1_0_8*B2_9_0-104/729*h_1_7*h_2_5*A1_0_8*B2_8_2+13/729*h_1_7*h_3_3*A1_0_8*B2_7_4+13/729*h_1_7*h_4_1*A1_0_8*B2_6_6-260/729*h_1_7*A1_0_8*B2_5_8^2-52/729*h_2_5^2*A1_0_8*B2_7_4+13/729*h_2_5*h_3_3*A1_0_8*B2_6_6+13/729*h_2_5*h_4_1*A1_0_8*B2_5_8+65/729*h_3_3^2*A1_0_8*B2_5_8-68/729*h_3_3*h_4_1^2*A1_0_8-3/4*h_0_8*B2_5_8*B2_6_6-3/4*h_1_7*B2_5_8*B2_5_7-3/8*h_1_6*B2_5_8^2+104/81*h_2_5*A1_0_8*B2_9_0-13/81*h_3_3*A1_0_8*B2_8_2-13/81*h_4_1*A1_0_8*B2_7_4+52/81*A1_0_8*B2_5_8*B2_6_6+3/4*B2_5_8*B2_6_5+3/4*B2_5_7*B2_6_6
41|229|A2_7_2|126|62|61|2974792/387420489*h_0_8*h_1_7^7*A1_0_8-106120/1594323*h_0_8*h_1_7^5*h_2_5*A1_0_8-96976/43046721*h_1_7^7*A1_0_7-334628/43046721*h_1_7^6*h_1_6*A1_0_8+139720/1594323*h_0_8*h_1_7^4*h_3_3*A1_0_8+279440/1594323*h_0_8*h_1_7^3*h_2_5^2*A1_0_8+35728/1594323*h_1_7^5*h_2_5*A1_0_7+18088/1594323*h_1_7^5*h_2_4*A1_0_8+90440/1594323*h_1_7^4*h_1_6*h_2_5*A1_0_8-3464/59049*h_0_8*h_1_7^3*h_4_1*A1_0_8-7592/19683*h_0_8*h_1_7^2*h_2_5*h_3_3*A1_0_8-7592/59049*h_0_8*h_1_7*h_2_5^3*A1_0_8-6160/177147*h_1_7^4*h_3_3*A1_0_7-1520/177147*h_1_7^4*h_3_2*A1_0_8-12920/177147*h_1_7^3*h_1_6*h_3_3*A1_0_8-12320/177147*h_1_7^3*h_2_5^2*A1_0_7-12920/177147*h_1_7^3*h_2_5*h_2_4*A1_0_8-6460/59049*h_1_7^2*h_1_6*h_2_5^2*A1_0_8-2335/6561*h_0_8*h_1_7^2*A1_0_8*B2_5_8+1424/6561*h_0_8*h_1_7*h_2_5*h_4_1*A1_0_8+1576/6561*h_0_8*h_1_7*h_3_3^2*A1_0_8+1576/6561*h_0_8*h_2_5^2*h_3_3*A1_0_8+539/19683*h_1_7^3*h_4_1*A1_0_7+320/19683*h_1_7^3*h_4_0*A1_0_8+320/6561*h_1_7^2*h_1_6*h_4_1*A1_0_8+1232/6561*h_1_7^2*h_2_5*h_3_3*A1_0_7+320/6561*h_1_7^2*h_2_5*h_3_2*A1_0_8+680/6561*h_1_7^2*h_2_4*h_3_3*A1_0_8+1360/6561*h_1_7*h_1_6*h_2_5*h_3_3*A1_0_8+1232/19683*h_1_7*h_2_5^3*A1_0_7+680/6561*h_1_7*h_2_5^2*h_2_4*A1_0_8+680/19683*h_1_6*h_2_5^3*A1_0_8+110/243*h_0_8*h_1_7*A1_0_8*B2_6_6+110/243*h_0_8*h_2_5*A1_0_8*B2_5_8-152/243*h_0_8*h_3_3*h_4_1*A1_0_8+65/729*h_1_7^2*A1_0_8*B2_5_7+275/1458*h_1_7^2*A1_0_7*B2_5_8+130/729*h_1_7*h_1_6*A1_0_8*B2_5_8-98/729*h_1_7*h_2_5*h_4_1*A1_0_7-64/729*h_1_7*h_2_5*h_4_0*A1_0_8-64/729*h_1_7*h_2_4*h_4_1*A1_0_8-112/729*h_1_7*h_3_3^2*A1_0_7-64/729*h_1_7*h_3_3*h_3_2*A1_0_8-64/729*h_1_6*h_2_5*h_4_1*A1_0_8-68/729*h_1_6*h_3_3^2*A1_0_8-112/729*h_2_5^2*h_3_3*A1_0_7-32/729*h_2_5^2*h_3_2*A1_0_8-136/729*h_2_5*h_2_4*h_3_3*A1_0_8-113/81*h_0_8*A1_0_8*B2_7_4-13/81*h_1_7*A1_0_8*B2_6_5-25/81*h_1_7*A1_0_7*B2_6_6-13/81*h_1_6*A1_0_8*B2_6_6-13/81*h_2_5*A1_0_8*B2_5_7-25/81*h_2_5*A1_0_7*B2_5_8-13/81*h_2_4*A1_0_8*B2_5_8+49/81*h_3_3*h_4_1*A1_0_7+64/81*h_3_3*h_4_0*A1_0_8-8/81*h_3_2*h_4_1*A1_0_8+13/9*A1_0_8*B2_7_3+25/18*A1_0_7*B2_7_4+3/2*B2_7_2
